date,value
2019-10-01 00:00:00,
2019-10-01 00:15:00,
2019-10-01 00:30:00,
2019-10-01 00:45:00,
2019-10-01 01:00:00,
2019-10-01 01:15:00,
2019-10-01 01:30:00,
2019-10-01 01:45:00,
2019-10-01 02:00:00,
2019-10-01 02:15:00,
2019-10-01 02:30:00,
2019-10-01 02:45:00,
2019-10-01 03:00:00,
2019-10-01 03:15:00,
2019-10-01 03:30:00,
2019-10-01 03:45:00,
2019-10-01 04:00:00,
2019-10-01 04:15:00,
2019-10-01 04:30:00,
2019-10-01 04:45:00,
2019-10-01 05:00:00,
2019-10-01 05:15:00,
2019-10-01 05:30:00,
2019-10-01 05:45:00,
2019-10-01 06:00:00,
2019-10-01 06:15:00,0.0
2019-10-01 06:30:00,9.0
2019-10-01 06:45:00,73.0
2019-10-01 07:00:00,209.0
2019-10-01 07:15:00,379.0
2019-10-01 07:30:00,658.0
2019-10-01 07:45:00,1047.0
2019-10-01 08:00:00,1574.0
2019-10-01 08:15:00,2057.0
2019-10-01 08:30:00,2456.0
2019-10-01 08:45:00,2797.0
2019-10-01 09:00:00,3105.0
2019-10-01 09:15:00,3396.0
2019-10-01 09:30:00,3669.0
2019-10-01 09:45:00,3885.0
2019-10-01 10:00:00,4075.0
2019-10-01 10:15:00,4285.0
2019-10-01 10:30:00,4489.0
2019-10-01 10:45:00,4619.0
2019-10-01 11:00:00,4778.0
2019-10-01 11:15:00,4925.0
2019-10-01 11:30:00,5012.0
2019-10-01 11:45:00,5093.0
2019-10-01 12:00:00,5094.0
2019-10-01 12:15:00,5200.0
2019-10-01 12:30:00,5228.0
2019-10-01 12:45:00,5200.0
2019-10-01 13:00:00,5177.0
2019-10-01 13:15:00,5163.0
2019-10-01 13:30:00,5158.0
2019-10-01 13:45:00,5031.0
2019-10-01 14:00:00,4884.0
2019-10-01 14:15:00,4644.0
2019-10-01 14:30:00,4454.0
2019-10-01 14:45:00,4237.0
2019-10-01 15:00:00,3847.0
2019-10-01 15:15:00,3422.0
2019-10-01 15:30:00,2940.0
2019-10-01 15:45:00,2572.0
2019-10-01 16:00:00,2245.0
2019-10-01 16:15:00,1935.0
2019-10-01 16:30:00,1533.0
2019-10-01 16:45:00,1023.0
2019-10-01 17:00:00,564.0
2019-10-01 17:15:00,287.0
2019-10-01 17:30:00,183.0
2019-10-01 17:45:00,83.0
2019-10-01 18:00:00,9.0
2019-10-01 18:15:00,0.0
2019-10-01 18:30:00,
2019-10-01 18:45:00,
2019-10-01 19:00:00,
2019-10-01 19:15:00,
2019-10-01 19:30:00,
2019-10-01 19:45:00,
2019-10-01 20:00:00,
2019-10-01 20:15:00,0.0
2019-10-01 20:30:00,
2019-10-01 20:45:00,
2019-10-01 21:00:00,
2019-10-01 21:15:00,
2019-10-01 21:30:00,
2019-10-01 21:45:00,
2019-10-01 22:00:00,
2019-10-01 22:15:00,
2019-10-01 22:30:00,
2019-10-01 22:45:00,
2019-10-01 23:00:00,
2019-10-01 23:15:00,
2019-10-01 23:30:00,
2019-10-01 23:45:00,
2019-10-02 00:00:00,
2019-10-02 00:15:00,
2019-10-02 00:30:00,
2019-10-02 00:45:00,
2019-10-02 01:00:00,
2019-10-02 01:15:00,
2019-10-02 01:30:00,
2019-10-02 01:45:00,
2019-10-02 02:00:00,
2019-10-02 02:15:00,
2019-10-02 02:30:00,
2019-10-02 02:45:00,
2019-10-02 03:00:00,
2019-10-02 03:15:00,
2019-10-02 03:30:00,
2019-10-02 03:45:00,
2019-10-02 04:00:00,
2019-10-02 04:15:00,
2019-10-02 04:30:00,
2019-10-02 04:45:00,
2019-10-02 05:00:00,
2019-10-02 05:15:00,
2019-10-02 05:30:00,
2019-10-02 05:45:00,
2019-10-02 06:00:00,
2019-10-02 06:15:00,0.0
2019-10-02 06:30:00,8.0
2019-10-02 06:45:00,73.0
2019-10-02 07:00:00,207.0
2019-10-02 07:15:00,383.0
2019-10-02 07:30:00,668.0
2019-10-02 07:45:00,1049.0
2019-10-02 08:00:00,1566.0
2019-10-02 08:15:00,2037.0
2019-10-02 08:30:00,2439.0
2019-10-02 08:45:00,2784.0
2019-10-02 09:00:00,3086.0
2019-10-02 09:15:00,3376.0
2019-10-02 09:30:00,3633.0
2019-10-02 09:45:00,3858.0
2019-10-02 10:00:00,4090.0
2019-10-02 10:15:00,4305.0
2019-10-02 10:30:00,4478.0
2019-10-02 10:45:00,4630.0
2019-10-02 11:00:00,4778.0
2019-10-02 11:15:00,4888.0
2019-10-02 11:30:00,4984.0
2019-10-02 11:45:00,5060.0
2019-10-02 12:00:00,5102.0
2019-10-02 12:15:00,5148.0
2019-10-02 12:30:00,5159.0
2019-10-02 12:45:00,5124.0
2019-10-02 13:00:00,5090.0
2019-10-02 13:15:00,5042.0
2019-10-02 13:30:00,4981.0
2019-10-02 13:45:00,4885.0
2019-10-02 14:00:00,4785.0
2019-10-02 14:15:00,4632.0
2019-10-02 14:30:00,4429.0
2019-10-02 14:45:00,4212.0
2019-10-02 15:00:00,3858.0
2019-10-02 15:15:00,3390.0
2019-10-02 15:30:00,2930.0
2019-10-02 15:45:00,2556.0
2019-10-02 16:00:00,2220.0
2019-10-02 16:15:00,1908.0
2019-10-02 16:30:00,1501.0
2019-10-02 16:45:00,966.0
2019-10-02 17:00:00,541.0
2019-10-02 17:15:00,274.0
2019-10-02 17:30:00,173.0
2019-10-02 17:45:00,73.0
2019-10-02 18:00:00,4.0
2019-10-02 18:15:00,0.0
2019-10-02 18:30:00,
2019-10-02 18:45:00,
2019-10-02 19:00:00,
2019-10-02 19:15:00,
2019-10-02 19:30:00,
2019-10-02 19:45:00,
2019-10-02 20:00:00,
2019-10-02 20:15:00,0.0
2019-10-02 20:30:00,
2019-10-02 20:45:00,
2019-10-02 21:00:00,
2019-10-02 21:15:00,
2019-10-02 21:30:00,
2019-10-02 21:45:00,
2019-10-02 22:00:00,
2019-10-02 22:15:00,
2019-10-02 22:30:00,
2019-10-02 22:45:00,
2019-10-02 23:00:00,
2019-10-02 23:15:00,
2019-10-02 23:30:00,
2019-10-02 23:45:00,
2019-10-03 00:00:00,
2019-10-03 00:15:00,
2019-10-03 00:30:00,
2019-10-03 00:45:00,
2019-10-03 01:00:00,
2019-10-03 01:15:00,
2019-10-03 01:30:00,
2019-10-03 01:45:00,
2019-10-03 02:00:00,
2019-10-03 02:15:00,
2019-10-03 02:30:00,
2019-10-03 02:45:00,
2019-10-03 03:00:00,
2019-10-03 03:15:00,
2019-10-03 03:30:00,
2019-10-03 03:45:00,
2019-10-03 04:00:00,
2019-10-03 04:15:00,
2019-10-03 04:30:00,
2019-10-03 04:45:00,
2019-10-03 05:00:00,
2019-10-03 05:15:00,
2019-10-03 05:30:00,
2019-10-03 05:45:00,
2019-10-03 06:00:00,
2019-10-03 06:15:00,0.0
2019-10-03 06:30:00,6.0
2019-10-03 06:45:00,63.0
2019-10-03 07:00:00,188.0
2019-10-03 07:15:00,365.0
2019-10-03 07:30:00,653.0
2019-10-03 07:45:00,1030.0
2019-10-03 08:00:00,1541.0
2019-10-03 08:15:00,1985.0
2019-10-03 08:30:00,2365.0
2019-10-03 08:45:00,2695.0
2019-10-03 09:00:00,2970.0
2019-10-03 09:15:00,3268.0
2019-10-03 09:30:00,3550.0
2019-10-03 09:45:00,3797.0
2019-10-03 10:00:00,4016.0
2019-10-03 10:15:00,4226.0
2019-10-03 10:30:00,4392.0
2019-10-03 10:45:00,4516.0
2019-10-03 11:00:00,4658.0
2019-10-03 11:15:00,4754.0
2019-10-03 11:30:00,4847.0
2019-10-03 11:45:00,4924.0
2019-10-03 12:00:00,4968.0
2019-10-03 12:15:00,4998.0
2019-10-03 12:30:00,5032.0
2019-10-03 12:45:00,5012.0
2019-10-03 13:00:00,5041.0
2019-10-03 13:15:00,5009.0
2019-10-03 13:30:00,4951.0
2019-10-03 13:45:00,4884.0
2019-10-03 14:00:00,4764.0
2019-10-03 14:15:00,4558.0
2019-10-03 14:30:00,4346.0
2019-10-03 14:45:00,4096.0
2019-10-03 15:00:00,3732.0
2019-10-03 15:15:00,3295.0
2019-10-03 15:30:00,2856.0
2019-10-03 15:45:00,2489.0
2019-10-03 16:00:00,2152.0
2019-10-03 16:15:00,1835.0
2019-10-03 16:30:00,1412.0
2019-10-03 16:45:00,875.0
2019-10-03 17:00:00,503.0
2019-10-03 17:15:00,251.0
2019-10-03 17:30:00,157.0
2019-10-03 17:45:00,61.0
2019-10-03 18:00:00,0.0
2019-10-03 18:15:00,0.0
2019-10-03 18:30:00,
2019-10-03 18:45:00,
2019-10-03 19:00:00,
2019-10-03 19:15:00,
2019-10-03 19:30:00,
2019-10-03 19:45:00,
2019-10-03 20:00:00,0.0
2019-10-03 20:15:00,0.0
2019-10-03 20:30:00,
2019-10-03 20:45:00,
2019-10-03 21:00:00,
2019-10-03 21:15:00,
2019-10-03 21:30:00,
2019-10-03 21:45:00,
2019-10-03 22:00:00,
2019-10-03 22:15:00,
2019-10-03 22:30:00,
2019-10-03 22:45:00,
2019-10-03 23:00:00,
2019-10-03 23:15:00,
2019-10-03 23:30:00,
2019-10-03 23:45:00,
2019-10-04 00:00:00,
2019-10-04 00:15:00,
2019-10-04 00:30:00,
2019-10-04 00:45:00,
2019-10-04 01:00:00,
2019-10-04 01:15:00,
2019-10-04 01:30:00,
2019-10-04 01:45:00,
2019-10-04 02:00:00,
2019-10-04 02:15:00,
2019-10-04 02:30:00,
2019-10-04 02:45:00,
2019-10-04 03:00:00,
2019-10-04 03:15:00,
2019-10-04 03:30:00,
2019-10-04 03:45:00,
2019-10-04 04:00:00,
2019-10-04 04:15:00,
2019-10-04 04:30:00,
2019-10-04 04:45:00,
2019-10-04 05:00:00,
2019-10-04 05:15:00,
2019-10-04 05:30:00,
2019-10-04 05:45:00,
2019-10-04 06:00:00,
2019-10-04 06:15:00,0.0
2019-10-04 06:30:00,6.0
2019-10-04 06:45:00,73.0
2019-10-04 07:00:00,189.0
2019-10-04 07:15:00,359.0
2019-10-04 07:30:00,654.0
2019-10-04 07:45:00,1003.0
2019-10-04 08:00:00,1476.0
2019-10-04 08:15:00,1910.0
2019-10-04 08:30:00,2294.0
2019-10-04 08:45:00,2642.0
2019-10-04 09:00:00,2938.0
2019-10-04 09:15:00,3216.0
2019-10-04 09:30:00,3480.0
2019-10-04 09:45:00,3697.0
2019-10-04 10:00:00,3910.0
2019-10-04 10:15:00,4087.0
2019-10-04 10:30:00,4310.0
2019-10-04 10:45:00,4483.0
2019-10-04 11:00:00,4627.0
2019-10-04 11:15:00,4750.0
2019-10-04 11:30:00,4886.0
2019-10-04 11:45:00,5003.0
2019-10-04 12:00:00,5067.0
2019-10-04 12:15:00,5003.0
2019-10-04 12:30:00,5158.0
2019-10-04 12:45:00,5231.0
2019-10-04 13:00:00,4473.0
2019-10-04 13:15:00,5135.0
2019-10-04 13:30:00,5248.0
2019-10-04 13:45:00,5146.0
2019-10-04 14:00:00,4836.0
2019-10-04 14:15:00,4653.0
2019-10-04 14:30:00,4397.0
2019-10-04 14:45:00,4077.0
2019-10-04 15:00:00,3675.0
2019-10-04 15:15:00,3251.0
2019-10-04 15:30:00,2824.0
2019-10-04 15:45:00,2462.0
2019-10-04 16:00:00,2142.0
2019-10-04 16:15:00,1823.0
2019-10-04 16:30:00,1380.0
2019-10-04 16:45:00,868.0
2019-10-04 17:00:00,508.0
2019-10-04 17:15:00,269.0
2019-10-04 17:30:00,164.0
2019-10-04 17:45:00,63.0
2019-10-04 18:00:00,1.0
2019-10-04 18:15:00,0.0
2019-10-04 18:30:00,
2019-10-04 18:45:00,
2019-10-04 19:00:00,
2019-10-04 19:15:00,
2019-10-04 19:30:00,
2019-10-04 19:45:00,
2019-10-04 20:00:00,
2019-10-04 20:15:00,0.0
2019-10-04 20:30:00,
2019-10-04 20:45:00,
2019-10-04 21:00:00,
2019-10-04 21:15:00,
2019-10-04 21:30:00,
2019-10-04 21:45:00,
2019-10-04 22:00:00,
2019-10-04 22:15:00,
2019-10-04 22:30:00,
2019-10-04 22:45:00,
2019-10-04 23:00:00,
2019-10-04 23:15:00,
2019-10-04 23:30:00,
2019-10-04 23:45:00,
2019-10-05 00:00:00,
2019-10-05 00:15:00,
2019-10-05 00:30:00,
2019-10-05 00:45:00,
2019-10-05 01:00:00,
2019-10-05 01:15:00,
2019-10-05 01:30:00,
2019-10-05 01:45:00,
2019-10-05 02:00:00,
2019-10-05 02:15:00,
2019-10-05 02:30:00,
2019-10-05 02:45:00,
2019-10-05 03:00:00,
2019-10-05 03:15:00,
2019-10-05 03:30:00,
2019-10-05 03:45:00,
2019-10-05 04:00:00,
2019-10-05 04:15:00,
2019-10-05 04:30:00,
2019-10-05 04:45:00,
2019-10-05 05:00:00,
2019-10-05 05:15:00,
2019-10-05 05:30:00,
2019-10-05 05:45:00,
2019-10-05 06:00:00,0.0
2019-10-05 06:15:00,0.0
2019-10-05 06:30:00,3.0
2019-10-05 06:45:00,54.0
2019-10-05 07:00:00,170.0
2019-10-05 07:15:00,359.0
2019-10-05 07:30:00,656.0
2019-10-05 07:45:00,1034.0
2019-10-05 08:00:00,1503.0
2019-10-05 08:15:00,1949.0
2019-10-05 08:30:00,2325.0
2019-10-05 08:45:00,2656.0
2019-10-05 09:00:00,2949.0
2019-10-05 09:15:00,3235.0
2019-10-05 09:30:00,3494.0
2019-10-05 09:45:00,3707.0
2019-10-05 10:00:00,3901.0
2019-10-05 10:15:00,4087.0
2019-10-05 10:30:00,4239.0
2019-10-05 10:45:00,4405.0
2019-10-05 11:00:00,4543.0
2019-10-05 11:15:00,4643.0
2019-10-05 11:30:00,4746.0
2019-10-05 11:45:00,4804.0
2019-10-05 12:00:00,4865.0
2019-10-05 12:15:00,4903.0
2019-10-05 12:30:00,4922.0
2019-10-05 12:45:00,4913.0
2019-10-05 13:00:00,4886.0
2019-10-05 13:15:00,4842.0
2019-10-05 13:30:00,4790.0
2019-10-05 13:45:00,4710.0
2019-10-05 14:00:00,4615.0
2019-10-05 14:15:00,4456.0
2019-10-05 14:30:00,4254.0
2019-10-05 14:45:00,4012.0
2019-10-05 15:00:00,3650.0
2019-10-05 15:15:00,3226.0
2019-10-05 15:30:00,2806.0
2019-10-05 15:45:00,2443.0
2019-10-05 16:00:00,2118.0
2019-10-05 16:15:00,1790.0
2019-10-05 16:30:00,1325.0
2019-10-05 16:45:00,821.0
2019-10-05 17:00:00,481.0
2019-10-05 17:15:00,248.0
2019-10-05 17:30:00,150.0
2019-10-05 17:45:00,51.0
2019-10-05 18:00:00,0.0
2019-10-05 18:15:00,0.0
2019-10-05 18:30:00,
2019-10-05 18:45:00,
2019-10-05 19:00:00,
2019-10-05 19:15:00,
2019-10-05 19:30:00,
2019-10-05 19:45:00,
2019-10-05 20:00:00,0.0
2019-10-05 20:15:00,0.0
2019-10-05 20:30:00,
2019-10-05 20:45:00,
2019-10-05 21:00:00,
2019-10-05 21:15:00,
2019-10-05 21:30:00,
2019-10-05 21:45:00,
2019-10-05 22:00:00,
2019-10-05 22:15:00,
2019-10-05 22:30:00,
2019-10-05 22:45:00,
2019-10-05 23:00:00,
2019-10-05 23:15:00,
2019-10-05 23:30:00,
2019-10-05 23:45:00,
2019-10-06 00:00:00,
2019-10-06 00:15:00,
2019-10-06 00:30:00,
2019-10-06 00:45:00,
2019-10-06 01:00:00,
2019-10-06 01:15:00,
2019-10-06 01:30:00,
2019-10-06 01:45:00,
2019-10-06 02:00:00,
2019-10-06 02:15:00,
2019-10-06 02:30:00,
2019-10-06 02:45:00,
2019-10-06 03:00:00,
2019-10-06 03:15:00,
2019-10-06 03:30:00,
2019-10-06 03:45:00,
2019-10-06 04:00:00,
2019-10-06 04:15:00,
2019-10-06 04:30:00,
2019-10-06 04:45:00,
2019-10-06 05:00:00,
2019-10-06 05:15:00,
2019-10-06 05:30:00,
2019-10-06 05:45:00,
2019-10-06 06:00:00,0.0
2019-10-06 06:15:00,0.0
2019-10-06 06:30:00,1.0
2019-10-06 06:45:00,53.0
2019-10-06 07:00:00,165.0
2019-10-06 07:15:00,352.0
2019-10-06 07:30:00,647.0
2019-10-06 07:45:00,1019.0
2019-10-06 08:00:00,1494.0
2019-10-06 08:15:00,1911.0
2019-10-06 08:30:00,2280.0
2019-10-06 08:45:00,2627.0
2019-10-06 09:00:00,2919.0
2019-10-06 09:15:00,3197.0
2019-10-06 09:30:00,3459.0
2019-10-06 09:45:00,3673.0
2019-10-06 10:00:00,3877.0
2019-10-06 10:15:00,4064.0
2019-10-06 10:30:00,4209.0
2019-10-06 10:45:00,4375.0
2019-10-06 11:00:00,4521.0
2019-10-06 11:15:00,4638.0
2019-10-06 11:30:00,4746.0
2019-10-06 11:45:00,4807.0
2019-10-06 12:00:00,4857.0
2019-10-06 12:15:00,4876.0
2019-10-06 12:30:00,4923.0
2019-10-06 12:45:00,4913.0
2019-10-06 13:00:00,4870.0
2019-10-06 13:15:00,4816.0
2019-10-06 13:30:00,4766.0
2019-10-06 13:45:00,4659.0
2019-10-06 14:00:00,4530.0
2019-10-06 14:15:00,4387.0
2019-10-06 14:30:00,4235.0
2019-10-06 14:45:00,3969.0
2019-10-06 15:00:00,3606.0
2019-10-06 15:15:00,3181.0
2019-10-06 15:30:00,2763.0
2019-10-06 15:45:00,2415.0
2019-10-06 16:00:00,2094.0
2019-10-06 16:15:00,1759.0
2019-10-06 16:30:00,1272.0
2019-10-06 16:45:00,792.0
2019-10-06 17:00:00,467.0
2019-10-06 17:15:00,244.0
2019-10-06 17:30:00,139.0
2019-10-06 17:45:00,44.0
2019-10-06 18:00:00,0.0
2019-10-06 18:15:00,0.0
2019-10-06 18:30:00,
2019-10-06 18:45:00,
2019-10-06 19:00:00,
2019-10-06 19:15:00,
2019-10-06 19:30:00,
2019-10-06 19:45:00,
2019-10-06 20:00:00,0.0
2019-10-06 20:15:00,
2019-10-06 20:30:00,
2019-10-06 20:45:00,
2019-10-06 21:00:00,
2019-10-06 21:15:00,
2019-10-06 21:30:00,
2019-10-06 21:45:00,
2019-10-06 22:00:00,0.0
2019-10-06 22:15:00,
2019-10-06 22:30:00,
2019-10-06 22:45:00,
2019-10-06 23:00:00,
2019-10-06 23:15:00,
2019-10-06 23:30:00,
2019-10-06 23:45:00,
2019-10-07 00:00:00,
2019-10-07 00:15:00,
2019-10-07 00:30:00,
2019-10-07 00:45:00,
2019-10-07 01:00:00,
2019-10-07 01:15:00,
2019-10-07 01:30:00,
2019-10-07 01:45:00,
