date,value
2015-04-01 00:00:00,
2015-04-01 00:15:00,
2015-04-01 00:30:00,
2015-04-01 00:45:00,
2015-04-01 01:00:00,
2015-04-01 01:15:00,
2015-04-01 01:30:00,
2015-04-01 01:45:00,
2015-04-01 02:00:00,
2015-04-01 02:15:00,
2015-04-01 02:30:00,
2015-04-01 02:45:00,
2015-04-01 03:00:00,
2015-04-01 03:15:00,
2015-04-01 03:30:00,
2015-04-01 03:45:00,
2015-04-01 04:00:00,
2015-04-01 04:15:00,
2015-04-01 04:30:00,
2015-04-01 04:45:00,
2015-04-01 05:00:00,
2015-04-01 05:15:00,
2015-04-01 05:30:00,
2015-04-01 05:45:00,
2015-04-01 06:00:00,0.0
2015-04-01 06:15:00,3.2840228
2015-04-01 06:30:00,33.686714
2015-04-01 06:45:00,55.434708
2015-04-01 07:00:00,82.118164
2015-04-01 07:15:00,183.2793
2015-04-01 07:30:00,363.5031
2015-04-01 07:45:00,504.49243
2015-04-01 08:00:00,507.48962
2015-04-01 08:15:00,501.53003
2015-04-01 08:30:00,942.6708
2015-04-01 08:45:00,939.6902
2015-04-01 09:00:00,1113.8168
2015-04-01 09:15:00,1341.2812
2015-04-01 09:30:00,1457.1417
2015-04-01 09:45:00,1587.6973
2015-04-01 10:00:00,1705.7313
2015-04-01 10:15:00,1822.2108
2015-04-01 10:30:00,1921.4258
2015-04-01 10:45:00,1982.2974
2015-04-01 11:00:00,2046.2761
2015-04-01 11:15:00,2098.7236
2015-04-01 11:30:00,2109.098
2015-04-01 11:45:00,2139.7083
2015-04-01 12:00:00,2190.8682
2015-04-01 12:15:00,2215.9966
2015-04-01 12:30:00,2205.9985
2015-04-01 12:45:00,2195.6824
2015-04-01 13:00:00,2183.1252
2015-04-01 13:15:00,2171.9602
2015-04-01 13:30:00,2044.5742
2015-04-01 13:45:00,2130.3218
2015-04-01 14:00:00,2070.5898
2015-04-01 14:15:00,1922.9818
2015-04-01 14:30:00,1774.9072
2015-04-01 14:45:00,1677.0332
2015-04-01 15:00:00,1627.9553
2015-04-01 15:15:00,1514.4702
2015-04-01 15:30:00,1467.3597
2015-04-01 15:45:00,1365.6875
2015-04-01 16:00:00,1075.1389
2015-04-01 16:15:00,1112.8185
2015-04-01 16:30:00,1045.5908
2015-04-01 16:45:00,959.791
2015-04-01 17:00:00,725.88043
2015-04-01 17:15:00,586.6534
