date,value
2018-05-01 00:00:00,
2018-05-01 00:15:00,
2018-05-01 00:30:00,
2018-05-01 00:45:00,
2018-05-01 01:00:00,
2018-05-01 01:15:00,
2018-05-01 01:30:00,
2018-05-01 01:45:00,
2018-05-01 02:00:00,
2018-05-01 02:15:00,
2018-05-01 02:30:00,
2018-05-01 02:45:00,
2018-05-01 03:00:00,
2018-05-01 03:15:00,
2018-05-01 03:30:00,
2018-05-01 03:45:00,
2018-05-01 04:00:00,
2018-05-01 04:15:00,
2018-05-01 04:30:00,
2018-05-01 04:45:00,
2018-05-01 05:00:00,
2018-05-01 05:15:00,
2018-05-01 05:30:00,
2018-05-01 05:45:00,
2018-05-01 06:00:00,0.0
2018-05-01 06:15:00,0.0
2018-05-01 06:30:00,15.0
2018-05-01 06:45:00,126.0
2018-05-01 07:00:00,108.0
2018-05-01 07:15:00,161.0
2018-05-01 07:30:00,299.0
2018-05-01 07:45:00,251.0
2018-05-01 08:00:00,326.0
2018-05-01 08:15:00,107.0
2018-05-01 08:30:00,207.0
2018-05-01 08:45:00,815.0
2018-05-01 09:00:00,1464.0
2018-05-01 09:15:00,1535.0
2018-05-01 09:30:00,1011.0
2018-05-01 09:45:00,1844.0
2018-05-01 10:00:00,1944.0
2018-05-01 10:15:00,2076.0
2018-05-01 10:30:00,2096.0
2018-05-01 10:45:00,2145.0
2018-05-01 11:00:00,2229.0
2018-05-01 11:15:00,2289.0
2018-05-01 11:30:00,2265.0
2018-05-01 11:45:00,2266.0
2018-05-01 12:00:00,2252.0
2018-05-01 12:15:00,1282.0
2018-05-01 12:30:00,918.0
2018-05-01 12:45:00,2291.0
2018-05-01 13:00:00,1888.0
2018-05-01 13:15:00,1125.0
2018-05-01 13:30:00,1028.0
2018-05-01 13:45:00,757.0
2018-05-01 14:00:00,733.0
2018-05-01 14:15:00,810.0
2018-05-01 14:30:00,366.0
2018-05-01 14:45:00,469.0
2018-05-01 15:00:00,700.0
2018-05-01 15:15:00,1048.0
2018-05-01 15:30:00,1164.0
2018-05-01 15:45:00,1215.0
2018-05-01 16:00:00,1069.0
2018-05-01 16:15:00,1764.0
2018-05-01 16:30:00,1676.0
2018-05-01 16:45:00,1008.0
2018-05-01 17:00:00,762.0
2018-05-01 17:15:00,580.0
2018-05-01 17:30:00,450.0
2018-05-01 17:45:00,413.0
2018-05-01 18:00:00,351.0
2018-05-01 18:15:00,194.0
2018-05-01 18:30:00,139.0
2018-05-01 18:45:00,90.0
2018-05-01 19:00:00,50.0
2018-05-01 19:15:00,22.0
2018-05-01 19:30:00,1.0
2018-05-01 19:45:00,0.0
2018-05-01 20:00:00,0.0
2018-05-01 20:15:00,
2018-05-01 20:30:00,
2018-05-01 20:45:00,
2018-05-01 21:00:00,
2018-05-01 21:15:00,
2018-05-01 21:30:00,
2018-05-01 21:45:00,0.0
2018-05-01 22:00:00,
2018-05-01 22:15:00,
2018-05-01 22:30:00,
2018-05-01 22:45:00,
2018-05-01 23:00:00,
2018-05-01 23:15:00,
2018-05-01 23:30:00,
2018-05-01 23:45:00,
2018-05-02 00:00:00,
2018-05-02 00:15:00,
2018-05-02 00:30:00,
2018-05-02 00:45:00,
2018-05-02 01:00:00,
2018-05-02 01:15:00,
2018-05-02 01:30:00,
2018-05-02 01:45:00,
2018-05-02 02:00:00,
2018-05-02 02:15:00,
2018-05-02 02:30:00,
2018-05-02 02:45:00,
2018-05-02 03:00:00,
2018-05-02 03:15:00,
2018-05-02 03:30:00,
2018-05-02 03:45:00,
2018-05-02 04:00:00,
2018-05-02 04:15:00,
2018-05-02 04:30:00,
2018-05-02 04:45:00,
2018-05-02 05:00:00,
2018-05-02 05:15:00,
2018-05-02 05:30:00,
2018-05-02 05:45:00,
2018-05-02 06:00:00,0.0
2018-05-02 06:15:00,10.0
2018-05-02 06:30:00,63.0
2018-05-02 06:45:00,124.0
2018-05-02 07:00:00,220.0
2018-05-02 07:15:00,297.0
2018-05-02 07:30:00,359.0
2018-05-02 07:45:00,352.0
2018-05-02 08:00:00,570.0
2018-05-02 08:15:00,709.0
2018-05-02 08:30:00,500.0
2018-05-02 08:45:00,924.0
2018-05-02 09:00:00,887.0
2018-05-02 09:15:00,1269.0
2018-05-02 09:30:00,815.0
2018-05-02 09:45:00,670.0
2018-05-02 10:00:00,735.0
2018-05-02 10:15:00,761.0
2018-05-02 10:30:00,869.0
2018-05-02 10:45:00,953.0
2018-05-02 11:00:00,820.0
2018-05-02 11:15:00,502.0
2018-05-02 11:30:00,346.0
2018-05-02 11:45:00,173.0
2018-05-02 12:00:00,183.0
2018-05-02 12:15:00,243.0
2018-05-02 12:30:00,439.0
2018-05-02 12:45:00,608.0
2018-05-02 13:00:00,592.0
2018-05-02 13:15:00,366.0
2018-05-02 13:30:00,394.0
2018-05-02 13:45:00,477.0
2018-05-02 14:00:00,1531.0
2018-05-02 14:15:00,2113.0
2018-05-02 14:30:00,1301.0
2018-05-02 14:45:00,1436.0
2018-05-02 15:00:00,1931.0
2018-05-02 15:15:00,1046.0
2018-05-02 15:30:00,751.0
2018-05-02 15:45:00,1551.0
2018-05-02 16:00:00,1470.0
2018-05-02 16:15:00,1200.0
2018-05-02 16:30:00,829.0
2018-05-02 16:45:00,1342.0
2018-05-02 17:00:00,1182.0
2018-05-02 17:15:00,1017.0
2018-05-02 17:30:00,448.0
2018-05-02 17:45:00,362.0
2018-05-02 18:00:00,357.0
2018-05-02 18:15:00,379.0
2018-05-02 18:30:00,151.0
2018-05-02 18:45:00,57.0
2018-05-02 19:00:00,47.0
2018-05-02 19:15:00,44.0
2018-05-02 19:30:00,50.0
2018-05-02 19:45:00,1.0
2018-05-02 20:00:00,0.0
2018-05-02 20:15:00,
2018-05-02 20:30:00,
2018-05-02 20:45:00,
2018-05-02 21:00:00,
2018-05-02 21:15:00,
2018-05-02 21:30:00,
2018-05-02 21:45:00,
2018-05-02 22:00:00,0.0
2018-05-02 22:15:00,
2018-05-02 22:30:00,
2018-05-02 22:45:00,
2018-05-02 23:00:00,
2018-05-02 23:15:00,
2018-05-02 23:30:00,
2018-05-02 23:45:00,
2018-05-03 00:00:00,
2018-05-03 00:15:00,
2018-05-03 00:30:00,
2018-05-03 00:45:00,
2018-05-03 01:00:00,
2018-05-03 01:15:00,
2018-05-03 01:30:00,
2018-05-03 01:45:00,
2018-05-03 02:00:00,
2018-05-03 02:15:00,
2018-05-03 02:30:00,
2018-05-03 02:45:00,
2018-05-03 03:00:00,
2018-05-03 03:15:00,
2018-05-03 03:30:00,
2018-05-03 03:45:00,
2018-05-03 04:00:00,
2018-05-03 04:15:00,
2018-05-03 04:30:00,
2018-05-03 04:45:00,
2018-05-03 05:00:00,
2018-05-03 05:15:00,
2018-05-03 05:30:00,
2018-05-03 05:45:00,0.0
2018-05-03 06:00:00,0.0
2018-05-03 06:15:00,12.0
2018-05-03 06:30:00,40.0
2018-05-03 06:45:00,110.0
2018-05-03 07:00:00,218.0
2018-05-03 07:15:00,346.0
2018-05-03 07:30:00,461.0
2018-05-03 07:45:00,650.0
2018-05-03 08:00:00,817.0
2018-05-03 08:15:00,982.0
2018-05-03 08:30:00,1138.0
2018-05-03 08:45:00,1292.0
2018-05-03 09:00:00,1443.0
2018-05-03 09:15:00,1587.0
2018-05-03 09:30:00,1713.0
2018-05-03 09:45:00,1829.0
2018-05-03 10:00:00,1948.0
2018-05-03 10:15:00,2039.0
2018-05-03 10:30:00,2121.0
2018-05-03 10:45:00,2228.0
2018-05-03 11:00:00,2299.0
2018-05-03 11:15:00,2319.0
2018-05-03 11:30:00,2315.0
2018-05-03 11:45:00,2316.0
2018-05-03 12:00:00,2318.0
2018-05-03 12:15:00,2318.0
2018-05-03 12:30:00,2315.0
2018-05-03 12:45:00,2318.0
2018-05-03 13:00:00,2315.0
2018-05-03 13:15:00,2318.0
2018-05-03 13:30:00,2315.0
2018-05-03 13:45:00,2319.0
2018-05-03 14:00:00,2316.0
2018-05-03 14:15:00,2315.0
2018-05-03 14:30:00,2316.0
2018-05-03 14:45:00,2285.0
2018-05-03 15:00:00,2250.0
2018-05-03 15:15:00,2192.0
2018-05-03 15:30:00,2147.0
2018-05-03 15:45:00,2121.0
2018-05-03 16:00:00,2125.0
2018-05-03 16:15:00,1824.0
2018-05-03 16:30:00,1700.0
2018-05-03 16:45:00,1730.0
2018-05-03 17:00:00,1528.0
2018-05-03 17:15:00,1185.0
2018-05-03 17:30:00,1154.0
2018-05-03 17:45:00,950.0
2018-05-03 18:00:00,955.0
2018-05-03 18:15:00,805.0
2018-05-03 18:30:00,571.0
2018-05-03 18:45:00,319.0
2018-05-03 19:00:00,154.0
2018-05-03 19:15:00,60.0
2018-05-03 19:30:00,19.0
2018-05-03 19:45:00,2.0
2018-05-03 20:00:00,0.0
2018-05-03 20:15:00,
2018-05-03 20:30:00,
2018-05-03 20:45:00,
2018-05-03 21:00:00,
2018-05-03 21:15:00,
2018-05-03 21:30:00,
2018-05-03 21:45:00,
2018-05-03 22:00:00,0.0
2018-05-03 22:15:00,
2018-05-03 22:30:00,
2018-05-03 22:45:00,
2018-05-03 23:00:00,
2018-05-03 23:15:00,
2018-05-03 23:30:00,
2018-05-03 23:45:00,
2018-05-04 00:00:00,
2018-05-04 00:15:00,
2018-05-04 00:30:00,
2018-05-04 00:45:00,
2018-05-04 01:00:00,
2018-05-04 01:15:00,
2018-05-04 01:30:00,
2018-05-04 01:45:00,
2018-05-04 02:00:00,
2018-05-04 02:15:00,
2018-05-04 02:30:00,
2018-05-04 02:45:00,
2018-05-04 03:00:00,
2018-05-04 03:15:00,
2018-05-04 03:30:00,
2018-05-04 03:45:00,
2018-05-04 04:00:00,
2018-05-04 04:15:00,
2018-05-04 04:30:00,
2018-05-04 04:45:00,
2018-05-04 05:00:00,
2018-05-04 05:15:00,
2018-05-04 05:30:00,
2018-05-04 05:45:00,0.0
2018-05-04 06:00:00,0.0
2018-05-04 06:15:00,13.0
2018-05-04 06:30:00,39.0
2018-05-04 06:45:00,106.0
2018-05-04 07:00:00,211.0
2018-05-04 07:15:00,346.0
2018-05-04 07:30:00,481.0
2018-05-04 07:45:00,662.0
2018-05-04 08:00:00,823.0
2018-05-04 08:15:00,980.0
2018-05-04 08:30:00,1129.0
2018-05-04 08:45:00,1264.0
2018-05-04 09:00:00,1402.0
2018-05-04 09:15:00,1525.0
2018-05-04 09:30:00,1635.0
2018-05-04 09:45:00,1741.0
2018-05-04 10:00:00,1836.0
2018-05-04 10:15:00,1922.0
2018-05-04 10:30:00,2003.0
2018-05-04 10:45:00,2074.0
2018-05-04 11:00:00,2145.0
2018-05-04 11:15:00,2197.0
2018-05-04 11:30:00,2266.0
2018-05-04 11:45:00,2292.0
2018-05-04 12:00:00,2291.0
2018-05-04 12:15:00,2317.0
