date,value
2018-09-01 00:00:00,
2018-09-01 00:15:00,
2018-09-01 00:30:00,
2018-09-01 00:45:00,
2018-09-01 01:00:00,
2018-09-01 01:15:00,
2018-09-01 01:30:00,
2018-09-01 01:45:00,
2018-09-01 02:00:00,
2018-09-01 02:15:00,
2018-09-01 02:30:00,
2018-09-01 02:45:00,
2018-09-01 03:00:00,
2018-09-01 03:15:00,
2018-09-01 03:30:00,
2018-09-01 03:45:00,
2018-09-01 04:00:00,
2018-09-01 04:15:00,
2018-09-01 04:30:00,
2018-09-01 04:45:00,
2018-09-01 05:00:00,
2018-09-01 05:15:00,
2018-09-01 05:30:00,
2018-09-01 05:45:00,0.0
2018-09-01 06:00:00,0.0
2018-09-01 06:15:00,30.0
2018-09-01 06:30:00,119.0
2018-09-01 06:45:00,285.0
2018-09-01 07:00:00,524.0
2018-09-01 07:15:00,831.0
2018-09-01 07:30:00,1168.0
2018-09-01 07:45:00,1592.0
2018-09-01 08:00:00,1980.0
2018-09-01 08:15:00,2413.0
2018-09-01 08:30:00,2760.0
2018-09-01 08:45:00,3016.0
2018-09-01 09:00:00,3366.0
2018-09-01 09:15:00,3670.0
2018-09-01 09:30:00,3930.0
2018-09-01 09:45:00,4186.0
2018-09-01 10:00:00,4408.0
2018-09-01 10:15:00,4602.0
2018-09-01 10:30:00,4792.0
2018-09-01 10:45:00,4922.0
2018-09-01 11:00:00,5034.0
2018-09-01 11:15:00,5179.0
2018-09-01 11:30:00,5276.0
2018-09-01 11:45:00,5343.0
2018-09-01 12:00:00,5414.0
2018-09-01 12:15:00,5488.0
2018-09-01 12:30:00,5456.0
2018-09-01 12:45:00,5502.0
2018-09-01 13:00:00,5467.0
2018-09-01 13:15:00,5417.0
2018-09-01 13:30:00,5374.0
2018-09-01 13:45:00,5306.0
2018-09-01 14:00:00,5182.0
2018-09-01 14:15:00,5044.0
2018-09-01 14:30:00,4857.0
2018-09-01 14:45:00,4726.0
2018-09-01 15:00:00,4582.0
2018-09-01 15:15:00,4362.0
2018-09-01 15:30:00,4051.0
2018-09-01 15:45:00,3694.0
2018-09-01 16:00:00,3218.0
2018-09-01 16:15:00,2605.0
2018-09-01 16:30:00,2122.0
2018-09-01 16:45:00,1731.0
2018-09-01 17:00:00,1449.0
2018-09-01 17:15:00,1149.0
2018-09-01 17:30:00,764.0
2018-09-01 17:45:00,400.0
2018-09-01 18:00:00,198.0
2018-09-01 18:15:00,115.0
2018-09-01 18:30:00,58.0
2018-09-01 18:45:00,2.0
2018-09-01 19:00:00,0.0
2018-09-01 19:15:00,
2018-09-01 19:30:00,
2018-09-01 19:45:00,
2018-09-01 20:00:00,
2018-09-01 20:15:00,
2018-09-01 20:30:00,
2018-09-01 20:45:00,
2018-09-01 21:00:00,0.0
2018-09-01 21:15:00,
2018-09-01 21:30:00,
2018-09-01 21:45:00,
2018-09-01 22:00:00,
2018-09-01 22:15:00,
2018-09-01 22:30:00,
2018-09-01 22:45:00,
2018-09-01 23:00:00,
2018-09-01 23:15:00,
2018-09-01 23:30:00,
2018-09-01 23:45:00,
2018-09-02 00:00:00,
2018-09-02 00:15:00,
2018-09-02 00:30:00,
2018-09-02 00:45:00,
2018-09-02 01:00:00,
2018-09-02 01:15:00,
2018-09-02 01:30:00,
2018-09-02 01:45:00,
2018-09-02 02:00:00,
2018-09-02 02:15:00,
2018-09-02 02:30:00,
2018-09-02 02:45:00,
2018-09-02 03:00:00,
2018-09-02 03:15:00,
2018-09-02 03:30:00,
2018-09-02 03:45:00,
2018-09-02 04:00:00,
2018-09-02 04:15:00,
2018-09-02 04:30:00,
2018-09-02 04:45:00,
2018-09-02 05:00:00,
2018-09-02 05:15:00,
2018-09-02 05:30:00,
