date,value
2019-11-01 00:00:00,
2019-11-01 00:15:00,
2019-11-01 00:30:00,
2019-11-01 00:45:00,
2019-11-01 01:00:00,
2019-11-01 01:15:00,
2019-11-01 01:30:00,
2019-11-01 01:45:00,
2019-11-01 02:00:00,
2019-11-01 02:15:00,
2019-11-01 02:30:00,
2019-11-01 02:45:00,
2019-11-01 03:00:00,
2019-11-01 03:15:00,
2019-11-01 03:30:00,
2019-11-01 03:45:00,
2019-11-01 04:00:00,
2019-11-01 04:15:00,
2019-11-01 04:30:00,
2019-11-01 04:45:00,
2019-11-01 05:00:00,
2019-11-01 05:15:00,
2019-11-01 05:30:00,
2019-11-01 05:45:00,
2019-11-01 06:00:00,
2019-11-01 06:15:00,
2019-11-01 06:30:00,0.0
2019-11-01 06:45:00,
2019-11-01 07:00:00,
2019-11-01 07:15:00,
2019-11-01 07:30:00,0.0
2019-11-01 07:45:00,0.0
2019-11-01 08:00:00,5.0
2019-11-01 08:15:00,53.0
2019-11-01 08:30:00,271.0
2019-11-01 08:45:00,430.0
2019-11-01 09:00:00,575.0
2019-11-01 09:15:00,784.0
2019-11-01 09:30:00,1154.0
2019-11-01 09:45:00,1678.0
2019-11-01 10:00:00,2063.0
2019-11-01 10:15:00,2516.0
2019-11-01 10:30:00,2982.0
2019-11-01 10:45:00,3309.0
2019-11-01 11:00:00,3563.0
2019-11-01 11:15:00,3803.0
2019-11-01 11:30:00,4023.0
2019-11-01 11:45:00,4234.0
2019-11-01 12:00:00,4433.0
2019-11-01 12:15:00,4593.0
2019-11-01 12:30:00,4705.0
2019-11-01 12:45:00,4783.0
2019-11-01 13:00:00,4870.0
2019-11-01 13:15:00,4902.0
2019-11-01 13:30:00,4902.0
2019-11-01 13:45:00,4879.0
2019-11-01 14:00:00,4796.0
2019-11-01 14:15:00,4696.0
2019-11-01 14:30:00,4589.0
2019-11-01 14:45:00,4472.0
2019-11-01 15:00:00,4288.0
2019-11-01 15:15:00,4082.0
2019-11-01 15:30:00,3869.0
2019-11-01 15:45:00,3628.0
2019-11-01 16:00:00,3373.0
2019-11-01 16:15:00,3121.0
2019-11-01 16:30:00,2903.0
2019-11-01 16:45:00,2699.0
2019-11-01 17:00:00,2463.0
2019-11-01 17:15:00,2186.0
2019-11-01 17:30:00,1859.0
2019-11-01 17:45:00,1464.0
2019-11-01 18:00:00,440.0
2019-11-01 18:15:00,45.0
2019-11-01 18:30:00,0.0
2019-11-01 18:45:00,0.0
2019-11-01 19:00:00,
2019-11-01 19:15:00,
2019-11-01 19:30:00,
2019-11-01 19:45:00,
2019-11-01 20:00:00,
2019-11-01 20:15:00,
2019-11-01 20:30:00,0.0
2019-11-01 20:45:00,
2019-11-01 21:00:00,
2019-11-01 21:15:00,
2019-11-01 21:30:00,
2019-11-01 21:45:00,
2019-11-01 22:00:00,
2019-11-01 22:15:00,
2019-11-01 22:30:00,
2019-11-01 22:45:00,
2019-11-01 23:00:00,
2019-11-01 23:15:00,
2019-11-01 23:30:00,
2019-11-01 23:45:00,
2019-11-02 00:00:00,
2019-11-02 00:15:00,
2019-11-02 00:30:00,
2019-11-02 00:45:00,
2019-11-02 01:00:00,
2019-11-02 01:15:00,
2019-11-02 01:30:00,
2019-11-02 01:45:00,
2019-11-02 02:00:00,
2019-11-02 02:15:00,
2019-11-02 02:30:00,
2019-11-02 02:45:00,
2019-11-02 03:00:00,
2019-11-02 03:15:00,
2019-11-02 03:30:00,
2019-11-02 03:45:00,
2019-11-02 04:00:00,
2019-11-02 04:15:00,
2019-11-02 04:30:00,
2019-11-02 04:45:00,
2019-11-02 05:00:00,
2019-11-02 05:15:00,
2019-11-02 05:30:00,
2019-11-02 05:45:00,
2019-11-02 06:00:00,
2019-11-02 06:15:00,
2019-11-02 06:30:00,0.0
2019-11-02 06:45:00,
2019-11-02 07:00:00,
2019-11-02 07:15:00,
2019-11-02 07:30:00,0.0
2019-11-02 07:45:00,0.0
2019-11-02 08:00:00,2.0
2019-11-02 08:15:00,52.0
2019-11-02 08:30:00,265.0
2019-11-02 08:45:00,444.0
2019-11-02 09:00:00,605.0
2019-11-02 09:15:00,825.0
2019-11-02 09:30:00,1176.0
2019-11-02 09:45:00,1649.0
2019-11-02 10:00:00,2032.0
2019-11-02 10:15:00,2479.0
2019-11-02 10:30:00,2894.0
2019-11-02 10:45:00,3210.0
2019-11-02 11:00:00,3457.0
2019-11-02 11:15:00,3714.0
2019-11-02 11:30:00,3946.0
2019-11-02 11:45:00,4159.0
2019-11-02 12:00:00,4337.0
2019-11-02 12:15:00,4488.0
2019-11-02 12:30:00,4606.0
2019-11-02 12:45:00,4704.0
2019-11-02 13:00:00,4760.0
2019-11-02 13:15:00,4788.0
2019-11-02 13:30:00,4772.0
2019-11-02 13:45:00,4748.0
2019-11-02 14:00:00,4660.0
2019-11-02 14:15:00,4553.0
2019-11-02 14:30:00,4443.0
2019-11-02 14:45:00,4302.0
2019-11-02 15:00:00,4115.0
2019-11-02 15:15:00,3907.0
2019-11-02 15:30:00,3698.0
2019-11-02 15:45:00,3467.0
2019-11-02 16:00:00,3259.0
2019-11-02 16:15:00,3043.0
2019-11-02 16:30:00,2840.0
2019-11-02 16:45:00,2641.0
2019-11-02 17:00:00,2422.0
2019-11-02 17:15:00,2149.0
2019-11-02 17:30:00,1833.0
2019-11-02 17:45:00,1442.0
2019-11-02 18:00:00,393.0
2019-11-02 18:15:00,32.0
2019-11-02 18:30:00,0.0
2019-11-02 18:45:00,0.0
2019-11-02 19:00:00,
2019-11-02 19:15:00,
2019-11-02 19:30:00,
2019-11-02 19:45:00,
2019-11-02 20:00:00,
2019-11-02 20:15:00,0.0
2019-11-02 20:30:00,0.0
2019-11-02 20:45:00,
2019-11-02 21:00:00,
2019-11-02 21:15:00,
2019-11-02 21:30:00,
2019-11-02 21:45:00,
2019-11-02 22:00:00,
2019-11-02 22:15:00,
2019-11-02 22:30:00,
2019-11-02 22:45:00,
2019-11-02 23:00:00,
2019-11-02 23:15:00,
2019-11-02 23:30:00,
2019-11-02 23:45:00,
2019-11-03 00:00:00,
2019-11-03 00:15:00,
2019-11-03 00:30:00,
2019-11-03 00:45:00,
2019-11-03 01:00:00,
2019-11-03 01:15:00,
2019-11-03 01:30:00,
2019-11-03 01:45:00,
2019-11-03 02:00:00,
2019-11-03 02:15:00,
2019-11-03 02:30:00,
2019-11-03 02:45:00,
2019-11-03 03:00:00,
2019-11-03 03:15:00,
2019-11-03 03:30:00,
2019-11-03 03:45:00,
2019-11-03 04:00:00,
2019-11-03 04:15:00,
2019-11-03 04:30:00,
2019-11-03 04:45:00,
2019-11-03 05:00:00,
2019-11-03 05:15:00,0.0
2019-11-03 05:30:00,0.0
2019-11-03 05:45:00,
2019-11-03 06:00:00,
2019-11-03 06:15:00,
2019-11-03 06:30:00,
2019-11-03 06:45:00,0.0
2019-11-03 07:00:00,2.0
2019-11-03 07:15:00,44.0
2019-11-03 07:30:00,255.0
2019-11-03 07:45:00,442.0
2019-11-03 08:00:00,605.0
2019-11-03 08:15:00,824.0
2019-11-03 08:30:00,1156.0
2019-11-03 08:45:00,1601.0
2019-11-03 09:00:00,1988.0
2019-11-03 09:15:00,2447.0
2019-11-03 09:30:00,2876.0
2019-11-03 09:45:00,3199.0
2019-11-03 10:00:00,3446.0
2019-11-03 10:15:00,3676.0
2019-11-03 10:30:00,3890.0
2019-11-03 10:45:00,4094.0
2019-11-03 11:00:00,4265.0
2019-11-03 11:15:00,4407.0
2019-11-03 11:30:00,4531.0
2019-11-03 11:45:00,4617.0
2019-11-03 12:00:00,4656.0
2019-11-03 12:15:00,4688.0
2019-11-03 12:30:00,4686.0
2019-11-03 12:45:00,4648.0
2019-11-03 13:00:00,4578.0
2019-11-03 13:15:00,4493.0
2019-11-03 13:30:00,4397.0
2019-11-03 13:45:00,4279.0
2019-11-03 14:00:00,4127.0
2019-11-03 14:15:00,3944.0
2019-11-03 14:30:00,3732.0
2019-11-03 14:45:00,3494.0
2019-11-03 15:00:00,3258.0
2019-11-03 15:15:00,3033.0
2019-11-03 15:30:00,2826.0
2019-11-03 15:45:00,2620.0
2019-11-03 16:00:00,2402.0
2019-11-03 16:15:00,2118.0
2019-11-03 16:30:00,1793.0
2019-11-03 16:45:00,1397.0
2019-11-03 17:00:00,360.0
2019-11-03 17:15:00,40.0
2019-11-03 17:30:00,0.0
2019-11-03 17:45:00,0.0
2019-11-03 18:00:00,
2019-11-03 18:15:00,
2019-11-03 18:30:00,
2019-11-03 18:45:00,
2019-11-03 19:00:00,
2019-11-03 19:15:00,0.0
2019-11-03 19:30:00,0.0
2019-11-03 19:45:00,
2019-11-03 20:00:00,
2019-11-03 20:15:00,
2019-11-03 20:30:00,
2019-11-03 20:45:00,
2019-11-03 21:00:00,
2019-11-03 21:15:00,
2019-11-03 21:30:00,
2019-11-03 21:45:00,
2019-11-03 22:00:00,
2019-11-03 22:15:00,
2019-11-03 22:30:00,
2019-11-03 22:45:00,
2019-11-03 23:00:00,
2019-11-03 23:15:00,
2019-11-03 23:30:00,
2019-11-03 23:45:00,
2019-11-04 00:00:00,
2019-11-04 00:15:00,
2019-11-04 00:30:00,
2019-11-04 00:45:00,
2019-11-04 01:00:00,
2019-11-04 01:15:00,
2019-11-04 01:30:00,
2019-11-04 01:45:00,
2019-11-04 02:00:00,
2019-11-04 02:15:00,
2019-11-04 02:30:00,
2019-11-04 02:45:00,
2019-11-04 03:00:00,
2019-11-04 03:15:00,
2019-11-04 03:30:00,
2019-11-04 03:45:00,
2019-11-04 04:00:00,
2019-11-04 04:15:00,
2019-11-04 04:30:00,
2019-11-04 04:45:00,
2019-11-04 05:00:00,
2019-11-04 05:15:00,
2019-11-04 05:30:00,0.0
2019-11-04 05:45:00,
2019-11-04 06:00:00,
2019-11-04 06:15:00,
2019-11-04 06:30:00,
2019-11-04 06:45:00,0.0
2019-11-04 07:00:00,0.0
2019-11-04 07:15:00,47.0
2019-11-04 07:30:00,241.0
2019-11-04 07:45:00,436.0
2019-11-04 08:00:00,598.0
2019-11-04 08:15:00,833.0
2019-11-04 08:30:00,1157.0
2019-11-04 08:45:00,1595.0
2019-11-04 09:00:00,1989.0
2019-11-04 09:15:00,2411.0
2019-11-04 09:30:00,2814.0
2019-11-04 09:45:00,3129.0
2019-11-04 10:00:00,3369.0
2019-11-04 10:15:00,3606.0
2019-11-04 10:30:00,3829.0
2019-11-04 10:45:00,4038.0
2019-11-04 11:00:00,4223.0
2019-11-04 11:15:00,4371.0
2019-11-04 11:30:00,4478.0
2019-11-04 11:45:00,4549.0
2019-11-04 12:00:00,4596.0
2019-11-04 12:15:00,4629.0
2019-11-04 12:30:00,4621.0
2019-11-04 12:45:00,4594.0
2019-11-04 13:00:00,4524.0
2019-11-04 13:15:00,4430.0
2019-11-04 13:30:00,4321.0
2019-11-04 13:45:00,4188.0
2019-11-04 14:00:00,4015.0
2019-11-04 14:15:00,3813.0
2019-11-04 14:30:00,3596.0
2019-11-04 14:45:00,3372.0
2019-11-04 15:00:00,3150.0
2019-11-04 15:15:00,2939.0
2019-11-04 15:30:00,2730.0
2019-11-04 15:45:00,2527.0
2019-11-04 16:00:00,2282.0
2019-11-04 16:15:00,2003.0
2019-11-04 16:30:00,1680.0
2019-11-04 16:45:00,1270.0
2019-11-04 17:00:00,308.0
2019-11-04 17:15:00,30.0
2019-11-04 17:30:00,0.0
2019-11-04 17:45:00,0.0
2019-11-04 18:00:00,
2019-11-04 18:15:00,
2019-11-04 18:30:00,
2019-11-04 18:45:00,
2019-11-04 19:00:00,
2019-11-04 19:15:00,0.0
2019-11-04 19:30:00,0.0
2019-11-04 19:45:00,
2019-11-04 20:00:00,
2019-11-04 20:15:00,
2019-11-04 20:30:00,
2019-11-04 20:45:00,
2019-11-04 21:00:00,
2019-11-04 21:15:00,
2019-11-04 21:30:00,
2019-11-04 21:45:00,
2019-11-04 22:00:00,
2019-11-04 22:15:00,
2019-11-04 22:30:00,
2019-11-04 22:45:00,
2019-11-04 23:00:00,
2019-11-04 23:15:00,
2019-11-04 23:30:00,
2019-11-04 23:45:00,
2019-11-05 00:00:00,
2019-11-05 00:15:00,
2019-11-05 00:30:00,
2019-11-05 00:45:00,
2019-11-05 01:00:00,
2019-11-05 01:15:00,
2019-11-05 01:30:00,
2019-11-05 01:45:00,
2019-11-05 02:00:00,
2019-11-05 02:15:00,
2019-11-05 02:30:00,
2019-11-05 02:45:00,
2019-11-05 03:00:00,
2019-11-05 03:15:00,
2019-11-05 03:30:00,
2019-11-05 03:45:00,
2019-11-05 04:00:00,
2019-11-05 04:15:00,
2019-11-05 04:30:00,
2019-11-05 04:45:00,
2019-11-05 05:00:00,
2019-11-05 05:15:00,0.0
2019-11-05 05:30:00,0.0
2019-11-05 05:45:00,
2019-11-05 06:00:00,
2019-11-05 06:15:00,
2019-11-05 06:30:00,
2019-11-05 06:45:00,0.0
2019-11-05 07:00:00,0.0
2019-11-05 07:15:00,32.0
2019-11-05 07:30:00,214.0
2019-11-05 07:45:00,407.0
2019-11-05 08:00:00,575.0
2019-11-05 08:15:00,791.0
2019-11-05 08:30:00,1118.0
2019-11-05 08:45:00,1538.0
2019-11-05 09:00:00,1921.0
2019-11-05 09:15:00,2325.0
2019-11-05 09:30:00,2736.0
2019-11-05 09:45:00,3054.0
2019-11-05 10:00:00,3287.0
2019-11-05 10:15:00,3513.0
2019-11-05 10:30:00,3732.0
2019-11-05 10:45:00,3923.0
2019-11-05 11:00:00,4107.0
2019-11-05 11:15:00,4253.0
2019-11-05 11:30:00,4378.0
2019-11-05 11:45:00,4462.0
2019-11-05 12:00:00,4517.0
2019-11-05 12:15:00,4543.0
2019-11-05 12:30:00,4548.0
2019-11-05 12:45:00,4508.0
2019-11-05 13:00:00,4435.0
2019-11-05 13:15:00,4343.0
2019-11-05 13:30:00,4234.0
2019-11-05 13:45:00,4090.0
2019-11-05 14:00:00,3921.0
2019-11-05 14:15:00,3735.0
2019-11-05 14:30:00,3521.0
2019-11-05 14:45:00,3310.0
2019-11-05 15:00:00,3095.0
2019-11-05 15:15:00,2875.0
2019-11-05 15:30:00,2685.0
2019-11-05 15:45:00,2472.0
2019-11-05 16:00:00,2247.0
2019-11-05 16:15:00,1968.0
2019-11-05 16:30:00,1645.0
2019-11-05 16:45:00,1261.0
2019-11-05 17:00:00,278.0
2019-11-05 17:15:00,23.0
2019-11-05 17:30:00,0.0
2019-11-05 17:45:00,0.0
2019-11-05 18:00:00,
2019-11-05 18:15:00,
2019-11-05 18:30:00,
2019-11-05 18:45:00,
2019-11-05 19:00:00,
2019-11-05 19:15:00,0.0
2019-11-05 19:30:00,0.0
2019-11-05 19:45:00,
2019-11-05 20:00:00,
2019-11-05 20:15:00,
2019-11-05 20:30:00,
2019-11-05 20:45:00,
2019-11-05 21:00:00,
2019-11-05 21:15:00,
2019-11-05 21:30:00,
2019-11-05 21:45:00,
2019-11-05 22:00:00,
2019-11-05 22:15:00,
2019-11-05 22:30:00,
2019-11-05 22:45:00,
2019-11-05 23:00:00,
2019-11-05 23:15:00,
2019-11-05 23:30:00,
2019-11-05 23:45:00,
2019-11-06 00:00:00,
2019-11-06 00:15:00,
2019-11-06 00:30:00,
2019-11-06 00:45:00,
2019-11-06 01:00:00,
2019-11-06 01:15:00,
2019-11-06 01:30:00,
2019-11-06 01:45:00,
2019-11-06 02:00:00,
2019-11-06 02:15:00,
2019-11-06 02:30:00,
2019-11-06 02:45:00,
2019-11-06 03:00:00,
2019-11-06 03:15:00,
2019-11-06 03:30:00,
2019-11-06 03:45:00,
2019-11-06 04:00:00,
2019-11-06 04:15:00,
2019-11-06 04:30:00,
2019-11-06 04:45:00,
2019-11-06 05:00:00,
2019-11-06 05:15:00,0.0
2019-11-06 05:30:00,0.0
2019-11-06 05:45:00,
2019-11-06 06:00:00,
2019-11-06 06:15:00,
2019-11-06 06:30:00,
2019-11-06 06:45:00,0.0
2019-11-06 07:00:00,0.0
2019-11-06 07:15:00,31.0
2019-11-06 07:30:00,205.0
2019-11-06 07:45:00,401.0
2019-11-06 08:00:00,580.0
2019-11-06 08:15:00,796.0
2019-11-06 08:30:00,1144.0
2019-11-06 08:45:00,1603.0
2019-11-06 09:00:00,1940.0
2019-11-06 09:15:00,2320.0
2019-11-06 09:30:00,2718.0
2019-11-06 09:45:00,3039.0
2019-11-06 10:00:00,3266.0
2019-11-06 10:15:00,3489.0
2019-11-06 10:30:00,3701.0
2019-11-06 10:45:00,3904.0
2019-11-06 11:00:00,4101.0
2019-11-06 11:15:00,4260.0
2019-11-06 11:30:00,4377.0
2019-11-06 11:45:00,4454.0
2019-11-06 12:00:00,4510.0
2019-11-06 12:15:00,4540.0
2019-11-06 12:30:00,4537.0
2019-11-06 12:45:00,4488.0
2019-11-06 13:00:00,4420.0
2019-11-06 13:15:00,4332.0
2019-11-06 13:30:00,4223.0
2019-11-06 13:45:00,4084.0
2019-11-06 14:00:00,3906.0
2019-11-06 14:15:00,3717.0
2019-11-06 14:30:00,3508.0
2019-11-06 14:45:00,3295.0
2019-11-06 15:00:00,3080.0
2019-11-06 15:15:00,2874.0
2019-11-06 15:30:00,2688.0
2019-11-06 15:45:00,2462.0
2019-11-06 16:00:00,2171.0
2019-11-06 16:15:00,1762.0
2019-11-06 16:30:00,1504.0
2019-11-06 16:45:00,514.0
2019-11-06 17:00:00,83.0
2019-11-06 17:15:00,8.0
2019-11-06 17:30:00,0.0
2019-11-06 17:45:00,
2019-11-06 18:00:00,
2019-11-06 18:15:00,
2019-11-06 18:30:00,
2019-11-06 18:45:00,
2019-11-06 19:00:00,
2019-11-06 19:15:00,0.0
2019-11-06 19:30:00,0.0
2019-11-06 19:45:00,
2019-11-06 20:00:00,
2019-11-06 20:15:00,
2019-11-06 20:30:00,
2019-11-06 20:45:00,
2019-11-06 21:00:00,
2019-11-06 21:15:00,
2019-11-06 21:30:00,
2019-11-06 21:45:00,
2019-11-06 22:00:00,
2019-11-06 22:15:00,
2019-11-06 22:30:00,
2019-11-06 22:45:00,
2019-11-06 23:00:00,
2019-11-06 23:15:00,
2019-11-06 23:30:00,
2019-11-06 23:45:00,
2019-11-07 00:00:00,
2019-11-07 00:15:00,
2019-11-07 00:30:00,
2019-11-07 00:45:00,
2019-11-07 01:00:00,
2019-11-07 01:15:00,
2019-11-07 01:30:00,
2019-11-07 01:45:00,
2019-11-07 02:00:00,
2019-11-07 02:15:00,
2019-11-07 02:30:00,
2019-11-07 02:45:00,
2019-11-07 03:00:00,
2019-11-07 03:15:00,
2019-11-07 03:30:00,
2019-11-07 03:45:00,
2019-11-07 04:00:00,
2019-11-07 04:15:00,
2019-11-07 04:30:00,
2019-11-07 04:45:00,
2019-11-07 05:00:00,
2019-11-07 05:15:00,0.0
2019-11-07 05:30:00,0.0
2019-11-07 05:45:00,
2019-11-07 06:00:00,
2019-11-07 06:15:00,
2019-11-07 06:30:00,
2019-11-07 06:45:00,0.0
2019-11-07 07:00:00,0.0
2019-11-07 07:15:00,30.0
2019-11-07 07:30:00,176.0
2019-11-07 07:45:00,390.0
2019-11-07 08:00:00,597.0
2019-11-07 08:15:00,839.0
2019-11-07 08:30:00,1196.0
2019-11-07 08:45:00,1577.0
2019-11-07 09:00:00,1894.0
2019-11-07 09:15:00,2235.0
2019-11-07 09:30:00,2604.0
2019-11-07 09:45:00,2899.0
2019-11-07 10:00:00,3182.0
2019-11-07 10:15:00,3425.0
