date,value
2018-10-01 00:00:00,0.0
2018-10-01 00:15:00,0.0
2018-10-01 00:30:00,0.0
2018-10-01 00:45:00,0.0
2018-10-01 01:00:00,0.0
2018-10-01 01:15:00,0.0
2018-10-01 01:30:00,0.0
2018-10-01 01:45:00,0.0
2018-10-01 02:00:00,0.0
2018-10-01 02:15:00,0.0
2018-10-01 02:30:00,0.0
2018-10-01 02:45:00,0.0
2018-10-01 03:00:00,0.0
2018-10-01 03:15:00,0.0
2018-10-01 03:30:00,0.0
2018-10-01 03:45:00,0.0
2018-10-01 04:00:00,0.0
2018-10-01 04:15:00,0.0
2018-10-01 04:30:00,0.0
2018-10-01 04:45:00,0.0
2018-10-01 05:00:00,0.0
2018-10-01 05:15:00,0.0
2018-10-01 05:30:00,0.0
2018-10-01 05:45:00,0.0
2018-10-01 06:00:00,0.0
2018-10-01 06:15:00,0.0
2018-10-01 06:30:00,0.0
2018-10-01 06:45:00,0.0
2018-10-01 07:00:00,1.0
2018-10-01 07:15:00,32.0
2018-10-01 07:30:00,124.0
2018-10-01 07:45:00,178.0
2018-10-01 08:00:00,519.0
2018-10-01 08:15:00,1042.0
2018-10-01 08:30:00,1387.0
2018-10-01 08:45:00,1885.0
2018-10-01 09:00:00,2368.0
2018-10-01 09:15:00,2271.0
2018-10-01 09:30:00,2879.0
2018-10-01 09:45:00,2177.0
2018-10-01 10:00:00,3488.0
2018-10-01 10:15:00,2395.0
2018-10-01 10:30:00,2727.0
2018-10-01 10:45:00,3953.0
2018-10-01 11:00:00,1945.0
2018-10-01 11:15:00,1925.0
2018-10-01 11:30:00,1448.0
2018-10-01 11:45:00,1335.0
2018-10-01 12:00:00,4229.0
2018-10-01 12:15:00,2917.0
2018-10-01 12:30:00,2489.0
2018-10-01 12:45:00,2843.0
2018-10-01 13:00:00,3713.0
2018-10-01 13:15:00,4602.0
2018-10-01 13:30:00,4133.0
2018-10-01 13:45:00,3917.0
2018-10-01 14:00:00,3763.0
2018-10-01 14:15:00,3077.0
2018-10-01 14:30:00,3106.0
2018-10-01 14:45:00,2369.0
2018-10-01 15:00:00,1343.0
