date,value
2018-06-01 00:00:00,
2018-06-01 00:15:00,
2018-06-01 00:30:00,
2018-06-01 00:45:00,
2018-06-01 01:00:00,
2018-06-01 01:15:00,
2018-06-01 01:30:00,
2018-06-01 01:45:00,
2018-06-01 02:00:00,
2018-06-01 02:15:00,
2018-06-01 02:30:00,
2018-06-01 02:45:00,
2018-06-01 03:00:00,
2018-06-01 03:15:00,
2018-06-01 03:30:00,
2018-06-01 03:45:00,
2018-06-01 04:00:00,
2018-06-01 04:15:00,
2018-06-01 04:30:00,
2018-06-01 04:45:00,
2018-06-01 05:00:00,0.0
2018-06-01 05:15:00,2.0
2018-06-01 05:30:00,24.0
2018-06-01 05:45:00,55.0
2018-06-01 06:00:00,97.0
2018-06-01 06:15:00,238.0
2018-06-01 06:30:00,328.0
2018-06-01 06:45:00,445.0
2018-06-01 07:00:00,628.0
2018-06-01 07:15:00,885.0
2018-06-01 07:30:00,1201.0
2018-06-01 07:45:00,1531.0
2018-06-01 08:00:00,1911.0
2018-06-01 08:15:00,2237.0
2018-06-01 08:30:00,2559.0
2018-06-01 08:45:00,2884.0
2018-06-01 09:00:00,3187.0
2018-06-01 09:15:00,3437.0
2018-06-01 09:30:00,3676.0
2018-06-01 09:45:00,3855.0
2018-06-01 10:00:00,4067.0
2018-06-01 10:15:00,4197.0
2018-06-01 10:30:00,4307.0
2018-06-01 10:45:00,4444.0
2018-06-01 11:00:00,4584.0
2018-06-01 11:15:00,4718.0
2018-06-01 11:30:00,4677.0
2018-06-01 11:45:00,4809.0
2018-06-01 12:00:00,4751.0
2018-06-01 12:15:00,4776.0
2018-06-01 12:30:00,4771.0
2018-06-01 12:45:00,4715.0
2018-06-01 13:00:00,4636.0
2018-06-01 13:15:00,4588.0
2018-06-01 13:30:00,4489.0
2018-06-01 13:45:00,4316.0
2018-06-01 14:00:00,4060.0
2018-06-01 14:15:00,3842.0
2018-06-01 14:30:00,3656.0
2018-06-01 14:45:00,3332.0
2018-06-01 15:00:00,3103.0
2018-06-01 15:15:00,2797.0
2018-06-01 15:30:00,2490.0
2018-06-01 15:45:00,2169.0
2018-06-01 16:00:00,1831.0
2018-06-01 16:15:00,1463.0
2018-06-01 16:30:00,1110.0
2018-06-01 16:45:00,869.0
2018-06-01 17:00:00,702.0
2018-06-01 17:15:00,502.0
2018-06-01 17:30:00,389.0
2018-06-01 17:45:00,318.0
2018-06-01 18:00:00,265.0
2018-06-01 18:15:00,227.0
2018-06-01 18:30:00,189.0
2018-06-01 18:45:00,145.0
2018-06-01 19:00:00,104.0
2018-06-01 19:15:00,54.0
2018-06-01 19:30:00,6.0
2018-06-01 19:45:00,0.0
2018-06-01 20:00:00,
2018-06-01 20:15:00,
2018-06-01 20:30:00,
2018-06-01 20:45:00,
2018-06-01 21:00:00,
2018-06-01 21:15:00,
2018-06-01 21:30:00,0.0
2018-06-01 21:45:00,0.0
2018-06-01 22:00:00,
2018-06-01 22:15:00,
2018-06-01 22:30:00,
2018-06-01 22:45:00,
2018-06-01 23:00:00,
2018-06-01 23:15:00,
2018-06-01 23:30:00,
2018-06-01 23:45:00,
2018-06-02 00:00:00,
2018-06-02 00:15:00,
2018-06-02 00:30:00,
2018-06-02 00:45:00,
2018-06-02 01:00:00,
2018-06-02 01:15:00,
2018-06-02 01:30:00,
2018-06-02 01:45:00,
2018-06-02 02:00:00,
2018-06-02 02:15:00,
2018-06-02 02:30:00,
2018-06-02 02:45:00,
2018-06-02 03:00:00,
2018-06-02 03:15:00,
2018-06-02 03:30:00,
2018-06-02 03:45:00,
2018-06-02 04:00:00,
2018-06-02 04:15:00,
2018-06-02 04:30:00,
2018-06-02 04:45:00,
2018-06-02 05:00:00,0.0
2018-06-02 05:15:00,2.0
2018-06-02 05:30:00,28.0
2018-06-02 05:45:00,58.0
2018-06-02 06:00:00,98.0
2018-06-02 06:15:00,131.0
2018-06-02 06:30:00,166.0
2018-06-02 06:45:00,214.0
2018-06-02 07:00:00,298.0
2018-06-02 07:15:00,412.0
2018-06-02 07:30:00,548.0
2018-06-02 07:45:00,713.0
2018-06-02 08:00:00,908.0
2018-06-02 08:15:00,1078.0
2018-06-02 08:30:00,1242.0
2018-06-02 08:45:00,1412.0
2018-06-02 09:00:00,1555.0
2018-06-02 09:15:00,1668.0
2018-06-02 09:30:00,1769.0
2018-06-02 09:45:00,1893.0
2018-06-02 10:00:00,1995.0
2018-06-02 10:15:00,2059.0
