date,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility,ozone,sunriseTime,sunsetTime
2019-08-01 00:00:00,0.0004,0.0016,0.05,,rain,97.21,73.38,52.43,0.42,1014.6,5.19,241,0.03,11,10,297.6,,
2019-08-02 00:00:00,0.0009,0.0067,0.05,,rain,100.92,77.55,42.68,0.23,1013.1,5.09,205,0.11,10,10,299.6,,
2019-08-03 00:00:00,0.0009,0.0039,0.06,,rain,101.94,76.94,45.6,0.24,1011.9,5.41,240,0.59,9,10,298.8,,
2019-08-04 00:00:00,0.0007,0.0029,0.06,,rain,102.29,75.7,44.49,0.24,1012.8,6.16,158,0.34,9,10,295.2,,
2019-08-05 00:00:00,0.0004,0.0016,0.01,,rain,104.05,77.41,41.35,0.22,1012.3,5.65,148,0.03,11,10,292.6,,
2019-08-06 00:00:00,0.001,0.0045,0.06,,rain,99.38,78.98,39.09,0.19,1011.4,5.01,163,0.31,8,10,295.4,,
2019-08-07 00:00:00,0.0009,0.0029,0.11,,rain,97.65,73.22,45.46,0.25,1012.1,4.93,174,0.41,9,10,300.3,,
2019-08-08 00:00:00,0.0009,0.0035,0.13,,rain,95.77,70.08,51.8,0.37,1012.1,5.23,219,0.21,10,10,295.9,,
2019-08-09 00:00:00,0.0009,0.002,0.06,,rain,95.11,70.46,44.11,0.3,1011.2,7.21,204,0.08,10,10,294.1,,
2019-08-10 00:00:00,0.0006,0.0013,0.08,,rain,96.18,67.78,39.36,0.24,1011,7.54,208,0.08,10,10,289.4,,
2019-08-11 00:00:00,0.0005,0.0016,0.03,,rain,94.8,66.95,30.84,0.19,1012.5,6.22,230,0.02,10,10,292,,
2019-08-12 00:00:00,0.0006,0.0016,0.01,,rain,98.71,68.65,28.07,0.16,1013.9,5.15,253,0,10,10,297.3,,
2019-08-13 00:00:00,0.0009,0.0079,0.02,,rain,100.17,68.47,19.34,0.11,1014.4,4.76,356,0,10,10,294,,
2019-08-14 00:00:00,0,0,0,,,102.8,70.41,8.68,0.07,1014.5,5.63,310,0,10,10,291.6,,
2019-08-15 00:00:00,0.0003,0.0013,0.01,,rain,104.61,69.99,9.66,0.06,1012.5,6.16,277,0,10,10,289.2,,
2019-08-16 00:00:00,0.0005,0.0014,0.01,,rain,101.76,69.12,1.03,0.05,1010.1,6.1,242,0.01,10,10,287.8,,
2019-08-17 00:00:00,0.0005,0.0015,0.02,,rain,99.69,66.42,1.53,0.04,1008.6,6.47,232,0,10,10,290.3,,
2019-08-18 00:00:00,0,0,0,,,99.26,69.01,13.38,0.08,1010.2,5.6,232,0.05,10,10,291.4,,
2019-08-19 00:00:00,0,0,0,,,98.68,66.96,10.06,0.08,1012.2,5.54,217,0.04,9,10,293.3,,
2019-08-20 00:00:00,0,0,0,,,101.6,68.37,9.08,0.07,1011.8,5.7,185,0,10,10,286.9,,
