date,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2015-01-31 00:00:00,0.0001,0.0053,0.75,,rain,52.51,27.32,37.39,0.8,,4.96,10,0.67,3,8.704
2015-02-01 00:00:00,0,0,0,,,55.28,27.35,28.76,0.66,,3.6,41,0.02,4,9.997
2015-02-02 00:00:00,0,0,0,,,63.15,28.9,28.39,0.62,,3.02,231,0,4,9.997
2015-02-03 00:00:00,0,0,0,,,62.61,28.82,30.37,0.62,,3.51,253,0,4,9.997
2015-02-04 00:00:00,0,0,0,,,65.65,31.89,28.73,0.59,,3.39,258,0,4,9.997
2015-02-05 00:00:00,0,0,0,,,70.11,32.05,24.97,0.46,,4.35,136,0,4,9.997
2015-02-06 00:00:00,0,0,0,,,67.15,29.31,22.44,0.38,,4.21,159,0,4,9.997
2015-02-07 00:00:00,0,0,0,,,66.54,41.07,24.54,0.41,,4.7,192,0.11,4,9.997
2015-02-08 00:00:00,0,0,0,,,67.67,34.12,35.12,0.54,,3.67,204,0.35,3,9.997
2015-02-09 00:00:00,0,0,0,,,68.91,35.37,32.15,0.54,,5.03,233,0,4,9.997
2015-02-10 00:00:00,0,0,0,,,62.27,36.4,25.21,0.45,,7.34,1,0,4,9.997
2015-02-11 00:00:00,0,0,0,,,61.11,31.2,20.26,0.36,,6.03,46,0,4,9.997
2015-02-12 00:00:00,0,0,0,,,65.97,36.49,22.24,0.42,,3.87,52,0,5,9.997
2015-02-13 00:00:00,0,0,0,,,69.07,30.52,19.53,0.3,,4.17,61,0,5,9.997
2015-02-14 00:00:00,0,0,0,,,71.22,28.3,20.06,0.32,,4.53,78,0,5,9.997
2015-02-15 00:00:00,0,0,0,,,68.17,22.25,19.69,0.37,,7.37,355,0,5,9.997
2015-02-16 00:00:00,0,0,0,,,60.68,31.21,8.07,0.26,,7.51,2,0,5,9.997
2015-02-17 00:00:00,0,0,0,,,56.78,24.81,7.27,0.25,,4.34,123,0,5,9.997
2015-02-18 00:00:00,0,0,0,,,66.96,28.58,10.44,0.27,,4.04,231,0,5,9.997
2015-02-19 00:00:00,0,0,0,,,67.81,31.15,15.82,0.33,,3.83,269,0,5,9.997
2015-02-20 00:00:00,0,0,0,,,65.03,31.96,17.77,0.33,,6.01,248,0,5,9.997
2015-02-21 00:00:00,0,0,0,,,55.75,34.69,13.11,0.3,,4.47,332,0.54,3,9.997
2015-02-22 00:00:00,0.0028,0.0171,0.99,,rain,38.75,28.55,30.05,0.77,,8.13,19,1,3,9.657
