date,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2019-08-01 00:00:00,0.0004,0.0016,0.05,,rain,97.01,73.46,50.76,0.41,1014.7,5.19,241,0.03,11,10
2019-08-02 00:00:00,0.0009,0.0067,0.05,,rain,100.81,77.64,39.79,0.22,1013.2,5.09,205,0.11,10,10
2019-08-03 00:00:00,0.0009,0.0039,0.06,,rain,101.91,76.99,42.58,0.22,1012,5.41,240,0.59,9,10
2019-08-04 00:00:00,0.0007,0.0029,0.06,,rain,102.15,75.78,41.44,0.23,1012.9,6.18,159,0.34,9,10
2019-08-05 00:00:00,0.0004,0.0016,0.01,,rain,103.96,77.46,38.16,0.2,1012.4,5.65,148,0.03,11,10
2019-08-06 00:00:00,0.001,0.0045,0.06,,rain,99.72,78.99,35.77,0.18,1011.5,5.01,163,0.31,8,10
2019-08-07 00:00:00,0.0008,0.0025,0.11,,rain,97.52,73.48,43,0.23,1012.1,4.87,166,0.35,9,10
2019-08-08 00:00:00,0.0009,0.0035,0.13,,rain,95.97,70.23,49.99,0.36,1012.3,5.23,219,0.21,10,10
2019-08-09 00:00:00,0.0009,0.002,0.06,,rain,94.8,70.54,41.97,0.29,1011.4,7.21,204,0.08,10,10
2019-08-10 00:00:00,0.0006,0.0013,0.08,,rain,96.05,68.12,36.74,0.23,1011.1,7.55,208,0.08,10,10
2019-08-11 00:00:00,0.0005,0.0016,0.03,,rain,94.55,66.99,27.88,0.18,1012.6,6.22,230,0.02,10,10
2019-08-12 00:00:00,0.0006,0.0016,0.01,,rain,98.43,68.66,24.99,0.15,1014,5.15,253,0,10,10
2019-08-13 00:00:00,0.0009,0.0079,0.02,,rain,100.07,68.68,15.91,0.1,1014.6,4.76,356,0,10,10
2019-08-14 00:00:00,0,0,0,,,102.76,70.68,4.69,0.06,1014.7,5.63,310,0,10,10
2019-08-15 00:00:00,0.0003,0.0013,0.01,,rain,104.67,70.26,5.45,0.05,1012.5,6.17,273,0,10,10
2019-08-16 00:00:00,0.0005,0.0014,0.01,,rain,101.86,69.28,-2.94,0.04,1010.2,6.1,242,0.01,10,10
2019-08-17 00:00:00,0.0005,0.0015,0.02,,rain,99.67,66.48,-2.34,0.04,1008.7,6.47,232,0,10,10
2019-08-18 00:00:00,0,0,0,,,99.06,69.02,9.75,0.07,1010.3,5.6,232,0.05,10,10
2019-08-19 00:00:00,0,0,0,,,98.73,67.09,6.51,0.07,1012.2,5.54,217,0.04,9,10
2019-08-20 00:00:00,0,0,0,,,101.56,68.72,5.33,0.06,1011.9,5.7,185,0,10,10
2019-08-21 00:00:00,0.0005,0.0016,0.01,,rain,102.87,69.16,-3.85,0.04,1009.8,5.72,10,0.02,10,10
2019-08-22 00:00:00,0.0004,0.0016,0.02,,rain,101.39,69.13,-11.99,0.03,1006.6,6.72,196,0.41,7,10
2019-08-23 00:00:00,0.0004,0.0015,0.01,,rain,98.01,66.89,11.42,0.07,1009.1,6.05,229,0.09,9,10
2019-08-24 00:00:00,0.0004,0.0017,0.01,,rain,98.12,68.83,25.63,0.15,1012.9,5.96,232,0.06,9,10
2019-08-25 00:00:00,0.0005,0.0015,0.01,,rain,98.82,69.7,38.07,0.23,1012.8,6.23,229,0,10,10
2019-08-26 00:00:00,0.0005,0.0014,0.01,,rain,102.71,72.6,29.7,0.17,1010.2,5.71,332,0,10,10
2019-08-27 00:00:00,0,0,0,,,102.97,72.59,18.49,0.1,1010.2,6.55,347,0.1,8,10
2019-08-28 00:00:00,0.0008,0.0022,0.06,,rain,99.77,70.65,29.32,0.14,1012,5.79,71,0.01,10,10
2019-08-29 00:00:00,0.0008,0.0029,0.04,,rain,99.76,72.8,43.36,0.27,1013.6,5.91,238,0.01,10,10
2019-08-30 00:00:00,0.0004,0.0015,0.01,,rain,100.3,69.71,37.85,0.22,1012.2,5.28,207,0,10,10
2019-08-31 00:00:00,0,0,0,,,101.53,69.11,12.69,0.1,1011.9,5.6,51,0,10,10
2019-09-01 00:00:00,0.0004,0.0017,0.01,,rain,102.68,73.2,6.28,0.05,1012.5,5.49,359,0,9,10
2019-09-02 00:00:00,0.0006,0.002,0.05,,rain,96.43,71.53,38.82,0.22,1014.4,5.54,226,0.33,8,10
2019-09-03 00:00:00,0.0013,0.0068,0.12,,rain,100.8,76.17,37.45,0.22,1012.9,5.16,230,0.1,9,10
2019-09-04 00:00:00,0.0021,0.0084,0.15,,rain,99.65,72.99,38.44,0.2,1012.3,5.77,100,0.28,8,10
2019-09-05 00:00:00,0.0005,0.0017,0.08,,rain,99.04,71.19,43.33,0.27,1015,5.29,186,0.22,9,10
2019-09-06 00:00:00,0.0008,0.002,0.07,,rain,98.4,72.39,43.96,0.28,1015.3,5.65,229,0.11,9,10
2019-09-07 00:00:00,0.0006,0.0018,0.01,,rain,99.51,73.59,37.54,0.22,1011.7,5.57,74,0,9,10
2019-09-08 00:00:00,0.0006,0.0017,0.04,,rain,90.98,61.15,23.9,0.16,1007.1,7.73,204,0.05,9,10
2019-09-09 00:00:00,0.0007,0.0021,0.03,,rain,92.29,67.12,12.34,0.11,1009.1,6.03,215,0,8,10
2019-09-10 00:00:00,0.0047,0.0176,0.22,,rain,89.26,64.33,42.6,0.37,1007.5,10.36,202,0.05,8,10
2019-09-11 00:00:00,0.0004,0.0018,0.06,,rain,84.52,58.25,25.48,0.21,1013.1,7.91,220,0.03,8,10
