date,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2019-08-01 00:00:00,0,0,72.95,72.95,59.54,0.63,1015.6,3.25,9,0.06,0,10
2019-08-01 01:00:00,0.0009,0.01,71.41,71.41,59.42,0.66,1015.6,3.45,15,0.07,0,10
2019-08-01 02:00:00,0.0005,0.01,71,71,59.4,0.67,1015.5,3.81,21,0.1,0,10
2019-08-01 03:00:00,0,0,69.03,69.03,58.64,0.7,1015.6,3.89,37,0.11,0,10
2019-08-01 04:00:00,0.0012,0.02,69.02,69.02,58.04,0.68,1015.7,3.41,46,0.08,0,10
2019-08-01 05:00:00,0.0009,0.01,68.29,68.29,58.21,0.7,1015.9,3.43,52,0.04,0,10
2019-08-01 06:00:00,0.0005,0.01,68.58,68.58,57.89,0.69,1016.3,3.06,69,0,0,10
2019-08-01 07:00:00,0.0004,0.01,69.5,69.5,58.04,0.67,1016.5,2.92,56,0,0,10
2019-08-01 08:00:00,0,0,71.66,71.66,58.58,0.63,1016.6,2.72,107,0,0,10
2019-08-01 09:00:00,0.0005,0.01,76.48,76.48,59.11,0.55,1016.8,2.92,106,0,2,10
2019-08-01 10:00:00,0,0,80.1,80.66,58.38,0.48,1016.8,3.91,158,0,4,10
2019-08-01 11:00:00,0,0,83.29,83.29,57.14,0.41,1016.6,4.37,211,0.01,7,10
2019-08-01 12:00:00,0,0,86.21,86.21,55.75,0.36,1016.4,5.64,220,0.01,9,10
2019-08-01 13:00:00,0.0007,0.01,89.12,89.12,52.49,0.29,1015.4,6.42,230,0.01,10,10
2019-08-01 14:00:00,0.0002,0.01,91.54,91.54,49.05,0.23,1014.4,7.68,240,0.02,11,10
2019-08-01 15:00:00,0.0016,0.01,93.81,93.81,44.61,0.18,1013.6,8.13,237,0.02,9,10
2019-08-01 16:00:00,0.0003,0.01,95.58,95.58,41.06,0.15,1012.6,8.71,244,0.02,7,10
2019-08-01 17:00:00,0.0002,0.01,96.51,96.51,36.72,0.13,1011.9,9.42,250,0.01,5,10
2019-08-01 18:00:00,0.0004,0.01,95.39,95.39,36.85,0.13,1011.7,9.24,239,0.02,2,10
2019-08-01 19:00:00,0.0005,0.01,94.4,94.4,37.98,0.14,1011.7,8.66,247,0.02,1,10
2019-08-01 20:00:00,0,0,92.07,92.07,37.93,0.15,1011.8,7.44,262,0.01,0,10
2019-08-01 21:00:00,0.0006,0.01,88.13,88.13,39.79,0.18,1012.4,3.44,262,0.01,0,10
2019-08-01 22:00:00,0,0,83.26,83.26,41.38,0.23,1012.9,3.53,193,0,0,10
2019-08-01 23:00:00,0,0,80.54,80.54,42.74,0.26,1013.4,3.19,96,0,0,10
2019-08-02 00:00:00,0,0,78.91,78.91,44.56,0.3,1013.9,2.97,71,0,0,10
2019-08-02 01:00:00,0,0,77.58,77.58,44.35,0.31,1014,3.71,45,0,0,10
2019-08-02 02:00:00,0,0,77.22,77.22,44.57,0.31,1014,4.72,52,0.01,0,10
