date,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2018-07-21 00:00:00,0.0014,0.0125,0.16,,rain,90.97,65.63,55.75,0.46,1014.4,5.77,264,0.58,7,10
2018-07-22 00:00:00,0.0004,0.0015,0.04,,rain,92.31,68.46,52.15,0.46,1016.3,5.11,272,0.08,11,10
2018-07-23 00:00:00,0.0014,0.0137,0.08,,rain,99.08,71.68,43.84,0.32,1014.4,4.6,302,0.03,11,10
2018-07-24 00:00:00,0.003,0.0155,0.23,,rain,98.24,70.06,42.6,0.25,1014.6,6.21,161,0.18,10,10
2018-07-25 00:00:00,0.0006,0.0023,0.09,,rain,99.6,71.96,38.77,0.25,1015.1,7.25,299,0.13,11,10
2018-07-26 00:00:00,0.0005,0.0018,0.06,,rain,101.71,69.24,34.92,0.2,1013.4,5.87,354,0.11,11,10
2018-07-27 00:00:00,0.0006,0.0018,0.07,,rain,100.68,71.34,33.39,0.22,1012,6.04,286,0.03,11,10
2018-07-28 00:00:00,0.0007,0.0018,0.05,,rain,99.37,69.75,34.8,0.2,1012.4,8.05,249,0.13,10,10
2018-07-29 00:00:00,0.0009,0.0096,0.05,,rain,97.62,69.91,44.82,0.29,1014.4,7.31,268,0.23,10,10
2018-07-30 00:00:00,0.0016,0.0097,0.1,,rain,97.31,68.04,42.93,0.27,1013.7,5.04,322,0.2,11,10
2018-07-31 00:00:00,0.0005,0.0019,0.05,,rain,99.83,72.35,38.2,0.26,1013.3,5.63,277,0.24,10,10
2018-08-01 00:00:00,0.0015,0.0161,0.17,,rain,98.26,70.74,42.74,0.26,1012.6,5.76,269,0.12,11,10
2018-08-02 00:00:00,0.0064,0.0329,0.42,,rain,93.72,67.04,51.18,0.37,1012.5,7.1,225,0.36,9,10
2018-08-03 00:00:00,0.0009,0.0019,0.11,,rain,93.5,67.91,52.46,0.43,1013,6.01,285,0.15,11,10
2018-08-04 00:00:00,0.0019,0.0115,0.08,,rain,92.89,68.53,49.72,0.37,1010,6.25,223,0.12,10,10
2018-08-05 00:00:00,0.0006,0.0019,0.02,,rain,98.08,65.23,25.27,0.21,1009.7,8.55,226,0.01,11,10
2018-08-06 00:00:00,0.0004,0.0016,0.01,,rain,99.26,63.54,5.74,0.07,1012,5.43,261,0,11,10
2018-08-07 00:00:00,0,0,0,,,100.42,66.19,4.65,0.07,1011,5.59,299,0,11,10
2018-08-08 00:00:00,0.0007,0.0023,0.01,,rain,99.56,67.12,23.57,0.14,1011.6,6.9,280,0,11,10
2018-08-09 00:00:00,0.0009,0.0042,0.07,,rain,98.92,65.9,37.77,0.23,1012.1,7.3,274,0,11,10
2018-08-10 00:00:00,0.0018,0.0079,0.09,,rain,97.61,68.8,41.94,0.31,1013,6.87,275,0.06,11,10
2018-08-11 00:00:00,0.0022,0.0076,0.22,,rain,92.59,62.22,50.13,0.4,1013.1,5.71,244,0.16,11,10
2018-08-12 00:00:00,0.0012,0.0031,0.06,,rain,94.19,66.88,43.48,0.37,1012.9,7.15,279,0.1,10,10
2018-08-13 00:00:00,0.0003,0.0014,0.05,,rain,95.28,68.9,37.17,0.26,1011.6,7.07,282,0.02,10,10
2018-08-14 00:00:00,0.0015,0.0132,0.16,,rain,94.28,66.81,36.06,0.23,1010.2,6.32,264,0.17,9,10
2018-08-15 00:00:00,0.0016,0.0056,0.23,,rain,92.71,67.19,45.41,0.34,1012.4,5.99,279,0.09,10,10
2018-08-16 00:00:00,0.0007,0.0028,0.2,,rain,90.16,67.47,51.02,0.43,1015.8,5.89,281,0.14,9,10
2018-08-17 00:00:00,0.0013,0.0038,0.23,,rain,92.57,69.15,50.88,0.41,1016.6,5.56,272,0.15,10,10
2018-08-18 00:00:00,0.0006,0.0027,0.06,,rain,94.44,67.21,47.34,0.36,1015.2,6.5,286,0.03,11,10
2018-08-19 00:00:00,0.0002,0.0014,0.01,,rain,97.91,68.71,29.79,0.21,1012.7,5.82,319,0,11,10
2018-08-20 00:00:00,0.0016,0.016,0.05,,rain,95.53,70.26,35.69,0.21,1011.1,9.03,219,0.34,8,10
2018-08-21 00:00:00,0.033,0.2576,0.7,,rain,85.37,61.8,54.74,0.47,1013,8.09,188,0.45,7,10
2018-08-22 00:00:00,0.0867,0.4466,0.87,,rain,77.24,62.26,60.86,0.76,1017.1,7.35,105,0.53,7,7.944
2018-08-23 00:00:00,0.0066,0.0205,0.47,,rain,83.97,62.87,59.17,0.66,1015.4,5.26,172,0.13,9,10
2018-08-24 00:00:00,0.0015,0.0058,0.17,,rain,86.33,63.23,54.41,0.54,1012.2,5.7,208,0.16,9,10
2018-08-25 00:00:00,0.0011,0.004,0.12,,rain,87.71,63.57,52.31,0.49,1012.6,5.87,239,0.23,8,10
2018-08-26 00:00:00,0.003,0.0098,0.17,,rain,86.34,62.93,51.43,0.47,1012.5,7.58,223,0.18,8,10
2018-08-27 00:00:00,0.0004,0.0017,0.02,,rain,89.83,59.06,29.42,0.29,1009.6,8.09,227,0.01,10,10
2018-08-28 00:00:00,0.0005,0.0016,0.01,,rain,88.21,57.88,21.92,0.17,1011.9,5.58,237,0,10,10
2018-08-29 00:00:00,0.0006,0.0017,0.04,,rain,89.06,61.02,28.98,0.24,1014,5.29,186,0.29,9,10
2018-08-30 00:00:00,0.0004,0.0014,0.04,,rain,91.15,60.67,29.38,0.23,1013.5,7.33,211,0.15,9,10
