date,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2018-07-21 00:00:00,0,0,78.36,78.36,54.84,0.44,1013.4,2.15,326,0.39,0,10
2018-07-21 01:00:00,0,0,77.24,77.24,55.4,0.47,1013.5,2.72,38,0.28,0,10
2018-07-21 02:00:00,0,0,75.3,75.3,55.71,0.51,1013.4,2.76,79,0.57,0,10
2018-07-21 03:00:00,0,0,72.78,72.78,55.5,0.55,1013.8,3.79,61,0.53,0,10
2018-07-21 04:00:00,0.001,0.01,70.96,70.96,54.28,0.56,1013.8,3.58,41,0.43,0,10
2018-07-21 05:00:00,0.0017,0.02,69.73,69.73,54.75,0.59,1014,3.92,80,0.63,0,10
2018-07-21 06:00:00,0.0005,0.01,71.18,71.18,55.58,0.58,1014.2,3.03,111,0.67,0,10
2018-07-21 07:00:00,0.0007,0.01,71.75,71.75,56.04,0.58,1014.2,2.62,122,0.63,0,10
2018-07-21 08:00:00,0.0009,0.01,74.97,74.97,56.33,0.52,1014.4,3.31,142,0.67,1,10
2018-07-21 09:00:00,0.0004,0.01,79.94,79.94,55.22,0.43,1014.8,2.69,180,0.64,2,10
2018-07-21 10:00:00,0,0,83.03,83.03,53.08,0.36,1014.8,2.95,226,0.52,4,10
2018-07-21 11:00:00,0.0014,0.01,85.7,85.7,51.2,0.31,1014.7,4.84,254,0.65,5,10
2018-07-21 12:00:00,0.0016,0.01,87.66,87.66,51.16,0.29,1014.8,6.2,259,0.78,6,10
2018-07-21 13:00:00,0.0005,0.01,89.19,89.19,50.29,0.26,1014.5,8.38,253,0.75,6,10
2018-07-21 14:00:00,0.0014,0.02,90.27,90.27,49.61,0.25,1013.7,11.54,276,0.8,6,10
2018-07-21 15:00:00,0.0015,0.03,85.03,85.03,54.39,0.35,1013.9,14.4,260,0.57,7,10
2018-07-21 16:00:00,0.0033,0.04,83.32,83.32,54.84,0.38,1013.6,12.99,258,0.64,6,10
2018-07-21 17:00:00,0.0125,0.06,82.4,82.4,56.96,0.42,1014,9.03,237,0.55,4,10
2018-07-21 18:00:00,0.0016,0.02,80.13,81.13,60.98,0.52,1014.7,8.28,278,0.64,2,10
2018-07-21 19:00:00,0.0007,0.02,79.75,79.94,61.3,0.53,1014.8,8.56,279,0.54,1,10
2018-07-21 20:00:00,0,0,79.26,79.39,60.82,0.53,1014.8,6.68,280,0.48,0,10
2018-07-21 21:00:00,0,0,77.32,77.39,60.54,0.56,1015.6,3.85,285,0.46,0,10
2018-07-21 22:00:00,0.0011,0.01,75.74,75.8,60.52,0.59,1015.7,3.57,302,0.48,0,10
2018-07-21 23:00:00,0,0,74.07,74.15,60.78,0.63,1016.6,3.73,288,0.49,0,10
