date,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2016-03-31 01:00:00,0,0,0,,,65.68,45.86,47.61,0.8,1019.9,2.92,266,0.56,8,9.996
2016-04-01 01:00:00,0,0,0,,,64.2,48.23,47.53,0.8,1021.6,3.29,270,0.45,7,9.997
2016-04-02 01:00:00,0,0,0,,,69.5,48.68,49.41,0.81,1021.5,2.55,288,0.67,7,9.982
2016-04-03 01:00:00,0,0,0,,,66.42,50.09,48.84,0.8,1020.1,3.07,277,0.75,6,9.897
2016-04-04 01:00:00,0,0,0,,,67.76,46.6,49.32,0.74,1022.5,3.11,275,0.42,8,9.87
2016-04-05 01:00:00,0,0,0,,,79.6,52.65,43.28,0.56,1021.8,2.06,335,0.09,8,9.895
2016-04-06 01:00:00,0,0,0,,,86.87,57.09,47.74,0.48,1017.9,1.8,60,0.24,8,9.997
2016-04-07 01:00:00,0,0,0,,,72.01,55.41,50.44,0.64,1014,4.09,245,0.52,6,9.997
2016-04-08 01:00:00,0.0034,0.0798,1,,rain,63.47,54.89,54.73,0.87,1012.2,2.17,258,0.8,4,9.067
2016-04-09 01:00:00,0.012,0.0521,1,,rain,61.25,52.15,55.71,0.95,1012.6,1.94,265,1,4,7.977
2016-04-10 01:00:00,0.0068,0.031,1,,rain,56.51,51.7,52.58,0.94,1012.9,2.19,260,0.99,4,8.463
2016-04-11 01:00:00,0,0,0,,,61.84,50.86,51.37,0.85,1018.6,2.65,241,0.8,5,9.977
2016-04-12 01:00:00,0,0,0,,,58.71,50,49.05,0.83,1022.6,3.88,271,0.87,5,9.98
2016-04-13 01:00:00,0,0,0,,,63.37,46.94,46.98,0.73,1021.8,3.93,266,0.35,8,9.992
2016-04-14 01:00:00,0.0035,0.041,0.97,,rain,61.76,45.05,45.52,0.73,1020.1,5.61,284,0.52,7,9.502
2016-04-15 01:00:00,0,0,0,,,66.26,48.12,42.24,0.62,1020.1,4.76,307,0.07,9,9.995
2016-04-16 01:00:00,0,0,0,,,78.59,50.24,41.88,0.49,1018.6,1.92,333,0.1,8,9.997
2016-04-17 01:00:00,0,0,0,,,81.97,52.05,44.91,0.49,1016.4,1.99,273,0.07,9,9.997
2016-04-18 01:00:00,0,0,0,,,83.9,51.25,44.04,0.47,1017,2.14,282,0.19,9,9.997
2016-04-19 01:00:00,0,0,0,,,79.09,47.5,41.28,0.45,1014.5,2.04,274,0.37,8,9.997
2016-04-20 01:00:00,0,0,0,,,73.51,55.63,44.05,0.56,1013.7,2.82,256,0.31,7,9.997
2016-04-21 01:00:00,0,0,0,,,68.51,55.52,54.47,0.8,1012.5,3.36,229,0.75,6,9.997
2016-04-22 01:00:00,0.006,0.0224,0.98,,rain,59.44,47.81,51.12,0.81,1012.8,6.67,226,0.84,5,9.219
2016-04-23 01:00:00,0,0,0,,,63.93,51.21,48.84,0.79,1021.7,4.02,286,0.38,7,9.997
2016-04-24 01:00:00,0,0,0,,,63.52,45.36,47.17,0.74,1017.5,5.79,286,0.54,8,9.995
2016-04-25 01:00:00,0,0,0,,,61.35,44.52,39.7,0.61,1016.7,6.01,291,0.07,9,9.997
2016-04-26 01:00:00,0,0,0,,,62.7,49.28,44.5,0.73,1017.8,3.74,277,0.37,7,9.946
2016-04-27 01:00:00,0.0004,0.0049,0.31,,rain,58.51,45.98,47.36,0.8,1014.1,5.23,279,0.57,7,9.866
2016-04-28 01:00:00,0,0,0,,,69.32,47.79,47.13,0.73,1013,3.87,275,0.18,9,9.933
2016-04-29 01:00:00,0,0,0,,,63.62,49.45,47.78,0.77,1015.6,4.65,268,0.47,8,9.849
2016-04-30 01:00:00,0,0,0,,,75.58,54.78,43.32,0.52,1011.8,3.71,315,0.01,10,9.994
2016-05-01 01:00:00,0,0,0,,,80.13,49.59,46.58,0.52,1010.5,2.48,252,0.14,9,9.99
2016-05-02 01:00:00,0,0,0,,,68.29,51.92,51.5,0.8,1016.6,3,277,0.43,8,9.216
2016-05-03 01:00:00,0,0,0,,,69.7,52.52,52.43,0.79,1015.1,2.12,294,0.79,6,9.592
2016-05-04 01:00:00,0,0,0,,,66.9,53,51.75,0.8,1012,3.89,255,0.8,5,9.964
2016-05-05 01:00:00,0,0,0,,,63.21,52.79,51.56,0.78,1011.3,2.89,236,0.84,6,9.941
2016-05-06 01:00:00,0.0019,0.0217,1,,rain,57.38,51.78,51.63,0.89,1011.3,2.62,239,0.94,5,9.356
2016-05-07 01:00:00,0.0009,0.0118,0.84,,rain,60.63,52.89,52.35,0.87,1013.9,2.23,227,0.94,5,9.835
2016-05-08 01:00:00,0.0003,0.0055,0.66,,rain,65.61,51.3,53.39,0.85,1014.7,2.58,275,0.79,6,9.994
2016-05-09 01:00:00,0,0,0,,,65.56,50.93,51.46,0.83,1014.9,3.88,258,0.69,8,9.99
2016-05-10 01:00:00,0,0,0,,,68.98,50.62,52.69,0.84,1015.2,2.66,273,0.67,9,8.622
2016-05-11 01:00:00,0,0,0,,,67.32,51.21,52.79,0.85,1016.7,2.55,273,0.47,9,9.431
2016-05-12 01:00:00,0,0,0,,,66.93,52.95,52.1,0.83,1017.3,3.18,271,0.64,9,9.661
