date,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2017-05-17 00:00:00,0.0029,0.0297,0.89,,rain,45.6,31.89,29.35,0.62,1009.7,5.83,306,0.88,6,9.862
2017-05-18 00:00:00,0,0,0,,,49.02,39.27,28.92,0.63,1015.9,3.98,331,0.77,6,9.997
2017-05-19 00:00:00,0,0,0,,,57.48,39.41,31.41,0.52,1018.7,3.61,326,0.72,6,9.997
2017-05-20 00:00:00,0,0,0,,,67.68,48.65,32.46,0.47,1019,2.96,266,0.1,11,9.997
2017-05-21 00:00:00,0.0028,0.036,0.89,,rain,64.75,43.34,42.03,0.61,1019.5,3.72,323,0.67,6,9.945
2017-05-22 00:00:00,0,0,0,,,73.19,50.82,39.8,0.53,1021.6,3.69,317,0.02,11,9.997
2017-05-23 00:00:00,0,0,0,,,78.8,50.23,38.76,0.4,1017.2,3.24,293,0.08,11,9.997
2017-05-24 00:00:00,0,0,0,,,84.25,55.42,38.01,0.36,1004.7,4.54,207,0.18,11,9.997
2017-05-25 00:00:00,0,0,0,,,67.33,51.58,35.75,0.39,1001.1,4.94,310,0.33,11,9.997
2017-05-26 00:00:00,0,0,0,,,66.02,44.76,35.39,0.42,1002.9,5.13,311,0.14,9,9.997
2017-05-27 00:00:00,0,0,0,,,68.57,47.14,36.79,0.49,,4.12,321,0.01,11,9.997
2017-05-28 00:00:00,0,0,0,,,76.87,49.78,34.83,0.4,1020.3,3.24,284,0,11,9.997
2017-05-29 00:00:00,0,0,0,,,81.92,53.99,34.15,0.33,1016.9,3.05,271,0,11,9.997
2017-05-30 00:00:00,0,0,0,,,85.49,56.46,34.71,0.3,,3.52,249,0.02,11,9.997
2017-05-31 00:00:00,0,0,0,,,86.23,60.1,35.22,0.28,1009.8,4.47,156,0.02,11,9.997
2017-06-01 00:00:00,0,0,0,,,79.04,54.69,41.95,0.37,1008.5,4.33,150,0.42,6,9.997
2017-06-02 00:00:00,0,0,0,,,79.01,52.25,42.09,0.43,1013.8,3.67,316,0.07,11,9.997
2017-06-03 00:00:00,0,0,0,,,88.63,59.95,37.84,0.32,1014.1,2.77,313,0.12,11,9.997
2017-06-04 00:00:00,0,0,0,,,92.2,64.11,38.4,0.28,1008.5,3.91,168,0.06,11,9.997
2017-06-05 00:00:00,0,0,0,,,85.09,58.32,44.39,0.34,1009.8,4.16,286,0,11,9.997
2017-06-06 00:00:00,0,0,0,,,91,63.51,40.8,0.32,1011.7,2.99,244,0,11,9.997
2017-06-07 00:00:00,0,0,0,,,92.94,62,36.05,0.24,1009.3,4.08,186,0,11,9.997
2017-06-08 00:00:00,0,0,0,,,89.75,63.03,27.95,0.17,1006.2,6.14,179,0,11,9.997
2017-06-09 00:00:00,0,0,0,,,88.43,52.89,32.72,0.21,1001.7,7,202,0.02,11,9.996
2017-06-10 00:00:00,0,0,0,,,82.99,56.1,42.19,0.42,1001.8,4.67,260,0.02,11,9.997
2017-06-11 00:00:00,0,0,0,,,84.67,59.35,38.84,0.34,1000.3,4.66,177,0.07,11,9.997
2017-06-12 00:00:00,0,0,0,,,66.07,46.86,25.65,0.26,1002.7,6.96,200,0.33,11,9.995
2017-06-13 00:00:00,0.0015,0.0173,0.88,,rain,67.18,48.52,39.74,0.55,1012.4,3.44,194,0.68,6,9.979
2017-06-14 00:00:00,0,0,0,,,77.79,53.12,40.83,0.46,1015.4,3.01,303,0,11,9.997
2017-06-15 00:00:00,0,0,0,,,85.76,57.23,40.05,0.36,1013.6,3.1,322,0.02,11,9.997
2017-06-16 00:00:00,0,0,0,,,90.19,63.72,42.96,0.35,1013.2,2.92,241,0.03,11,9.997
2017-06-17 00:00:00,0,0,0,,,79.34,56.53,47.36,0.43,1012.8,5.41,334,0.16,9,9.997
2017-06-18 00:00:00,0,0,0,,,83.3,57.93,43.63,0.4,1016.6,3.67,333,0,11,9.997
2017-06-19 00:00:00,0,0,0,,,91.1,65.19,44.69,0.37,1016.5,2.77,334,0,11,9.997
2017-06-20 00:00:00,0.0001,0.0014,0.58,,rain,95.47,62.09,46.16,0.32,1013.5,3.83,38,0.09,11,9.997
2017-06-21 00:00:00,0,0,0,,,95.97,65.48,46.79,0.35,1009.3,3.29,328,0.01,11,9.997
2017-06-22 00:00:00,0,0,0,,,85.36,55.72,40.46,0.29,1009.7,4.68,327,0,11,9.997
2017-06-23 00:00:00,0,0,0,,,83.96,53.6,34.75,0.28,1015.7,3.61,326,0,11,9.997
2017-06-24 00:00:00,0,0,0,,,87.37,56.12,34.7,0.28,1017.5,3.11,323,0,11,9.997
2017-06-25 00:00:00,0,0,0,,,92.48,60.59,38.16,0.29,1016.8,3.05,4,0,11,9.997
2017-06-26 00:00:00,0,0,0,,,96.83,64.73,40.24,0.28,1011.2,3.23,142,0.01,11,9.997
2017-06-27 00:00:00,0,0,0,,,87.21,57.54,36.08,0.22,1007.3,4.19,312,0,11,9.997
2017-06-28 00:00:00,0,0,0,,,88.36,57.2,37.22,0.27,1006.1,3.9,310,0,11,9.997
2017-06-29 00:00:00,0,0,0,,,83.16,55.72,34.68,0.29,1011.4,4.2,338,0,11,9.997
2017-06-30 00:00:00,0,0,0,,,83.18,56.07,35.54,0.29,1015.7,3.2,337,0,11,9.997
2017-07-01 00:00:00,0,0,0,,,92.28,63.15,37.18,0.28,1012.1,2.91,38,0,11,9.997
2017-07-02 00:00:00,0,0,0,,,94.2,66.53,38.99,0.25,1010.9,3.74,146,0,11,9.997
2017-07-03 00:00:00,0,0,0,,,95.22,63.91,37.74,0.23,1012,3.88,146,0,11,9.997
2017-07-04 00:00:00,0,0,0,,,98.91,68.52,39.45,0.25,1013.2,2.97,73,0,11,9.997
2017-07-05 00:00:00,0,0,0,,,97.62,66.19,42.51,0.25,1013.8,3.78,138,0.01,11,9.997
2017-07-06 00:00:00,0,0,0,,,100.28,71.64,41.91,0.25,1015.5,3.37,271,0,11,9.997
2017-07-07 00:00:00,0,0,0,,,98.47,67.62,43.78,0.25,1015.3,3.24,328,0,11,9.997
2017-07-08 00:00:00,0,0,0,,,98.09,69.42,46.14,0.29,1015,3.53,74,0.03,11,9.986
2017-07-09 00:00:00,0,0,0,,,96.85,70.16,48.61,0.31,1012.9,3.12,249,0.05,11,9.997
2017-07-10 00:00:00,0,0,0,,,90.62,70.64,51.65,0.37,1011.1,3.08,166,0.16,11,9.997
2017-07-11 00:00:00,0,0,0,,,89.71,64.61,51.05,0.38,1010,3.75,172,0.06,11,9.997
2017-07-12 00:00:00,0,0,0,,,89.82,62.65,49.36,0.37,1012.3,3.63,186,0.09,11,9.953
