date,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2018-02-08 00:00:00,0,0,35.85,35.85,8.46,0.31,,1.98,299,0,0,9.997
2018-02-08 01:00:00,0,0,34.91,34.91,9.67,0.34,,1.54,0,0,0,9.997
2018-02-08 02:00:00,0,0,34.41,34.41,11.47,0.38,,1.99,343,0,0,9.997
2018-02-08 03:00:00,0,0,34.3,34.3,14.59,0.44,,2.48,316,0,0,9.997
2018-02-08 04:00:00,0,0,34.83,34.83,15.16,0.44,,2.48,337,0,0,9.997
2018-02-08 05:00:00,0,0,32.41,32.41,15.83,0.5,,1.53,347,0,0,9.997
2018-02-08 06:00:00,0,0,31.03,31.03,16.36,0.54,,1.52,202,0,0,9.997
2018-02-08 07:00:00,0,0,35.4,35.4,15.97,0.45,,1.54,27,0,0,9.997
2018-02-08 08:00:00,0,0,35.19,31.96,18.87,0.51,,3.81,24,0,0,9.997
2018-02-08 09:00:00,0,0,37.6,37.6,19.71,0.48,,1.54,123,0,1,9.997
2018-02-08 10:00:00,0,0,46.7,44.78,21.65,0.37,,4.37,8,0,2,9.997
2018-02-08 11:00:00,0,0,54.15,54.15,21.52,0.28,,2.57,145,0,3,9.997
2018-02-08 12:00:00,0,0,58.93,58.93,19.75,0.22,,2.24,170,0,4,9.997
2018-02-08 13:00:00,0,0,62.36,62.36,18.63,0.18,,2.51,141,0,4,9.997
2018-02-08 14:00:00,0,0,64.11,64.11,17.65,0.16,,2.07,147,,,9.997
2018-02-08 15:00:00,0,0,65.68,65.68,16.74,0.15,,1.3,341,,,9.997
2018-02-08 16:00:00,0,0,65.67,65.67,15.82,0.14,,2.57,146,,,9.997
2018-02-08 17:00:00,0,0,65.18,65.18,15.76,0.15,,3.53,175,,,9.997
2018-02-08 18:00:00,0,0,62.09,62.09,15.3,0.16,,2.53,193,0,0,9.997
2018-02-08 19:00:00,0,0,52.47,52.47,14.54,0.22,,1.01,57,0,0,9.997
2018-02-08 20:00:00,0,0,45.69,45.69,16.29,0.3,,1.96,307,0,0,9.997
2018-02-08 21:00:00,0,0,43.35,43.35,16.96,0.34,,1.95,326,0,0,9.997
2018-02-08 22:00:00,0,0,39.4,39.4,16.12,0.38,,1.03,53,0,0,9.997
2018-02-08 23:00:00,0,0,37.95,37.95,16.76,0.42,,1.03,24,0,0,9.997
2018-02-09 00:00:00,0,0,36.53,36.53,17.27,0.45,,1.51,4,0,0,9.997
2018-02-09 01:00:00,0,0,35.98,35.98,16.88,0.45,,2.01,340,0,0,9.997
2018-02-09 02:00:00,0,0,34.99,34.99,16.95,0.47,,1.5,337,0,0,9.997
2018-02-09 03:00:00,0,0,32.88,32.88,17.24,0.52,,1.09,307,0,0,9.997
2018-02-09 04:00:00,0,0,31.38,31.38,16.76,0.54,,1.52,49,0,0,9.997
2018-02-09 05:00:00,0,0,30.06,30.06,16.45,0.56,,2.03,29,0,0,9.997
2018-02-09 06:00:00,0,0,30.81,30.81,15.6,0.53,,1.14,125,0,0,9.997
2018-02-09 07:00:00,0,0,29.01,29.01,15.83,0.57,,2,327,0,0,9.997
2018-02-09 08:00:00,0,0,29.81,29.81,16.65,0.58,,1.52,229,0,0,9.997
2018-02-09 09:00:00,0,0,35.82,35.82,18.29,0.49,,1,162,0,1,9.997
2018-02-09 10:00:00,0,0,46.02,46.02,19.6,0.35,,1.09,249,0,2,9.997
2018-02-09 11:00:00,0,0,53.89,53.89,19.29,0.25,,2.24,236,0,3,9.997
2018-02-09 12:00:00,0,0,57.77,57.77,20.26,0.23,,6,187,0,4,9.997
2018-02-09 13:00:00,0,0,61.87,61.87,19.44,0.19,,6.1,196,0,4,9.997
2018-02-09 14:00:00,0,0,66.2,66.2,18.44,0.16,,7.48,256,0,4,9.997
2018-02-09 15:00:00,0,0,66.22,66.22,15.54,0.14,,7.55,263,0,2,9.997
2018-02-09 16:00:00,0,0,66.1,66.1,13.71,0.13,,7.95,247,0,1,9.997
2018-02-09 17:00:00,0,0,64.03,64.03,14.82,0.15,,6.96,250,0,0,9.997
2018-02-09 18:00:00,0,0,60.49,60.49,15.01,0.17,,6.45,273,0,0,9.997
2018-02-09 19:00:00,0,0,56.41,56.41,17.52,0.22,,4.75,280,0,0,9.997
2018-02-09 20:00:00,0,0,52.17,52.17,15.96,0.24,,4.99,278,0,0,9.997
2018-02-09 21:00:00,0,0,51.69,51.69,17.33,0.25,,3.44,263,0,0,9.997
2018-02-09 22:00:00,0,0,48.9,48.9,17.17,0.28,,1.08,69,0,0,9.997
2018-02-09 23:00:00,0,0,48.08,48.08,18.15,0.3,,1.57,161,0,0,9.997
2018-02-10 00:00:00,0,0,41.51,41.51,18.33,0.39,,1.17,328,0,0,9.997
2018-02-10 01:00:00,0,0,40.53,40.53,18.15,0.4,,1.08,201,0,0,9.997
2018-02-10 02:00:00,0,0,36.18,36.18,17.8,0.47,,2.08,322,0,0,9.997
2018-02-10 03:00:00,0,0,33.68,33.68,17.27,0.51,,1.07,5,0,0,9.997
2018-02-10 04:00:00,0,0,33.66,33.66,18.14,0.53,,1.19,311,0,0,9.997
2018-02-10 05:00:00,0,0,31.87,31.87,17.4,0.55,,1.12,292,0,0,9.997
2018-02-10 06:00:00,0,0,30.45,30.45,17.16,0.57,,1.6,291,0,0,9.997
2018-02-10 07:00:00,0,0,30.97,30.97,18.07,0.58,,1.15,289,0,0,9.997
2018-02-10 08:00:00,0,0,30.62,30.62,17.97,0.59,,1.14,294,0,0,9.997
2018-02-10 09:00:00,0,0,38.16,38.16,19.69,0.47,,1.55,325,0,1,9.997
2018-02-10 10:00:00,0,0,50.35,50.35,20.84,0.31,,1.13,263,0,2,9.997
2018-02-10 11:00:00,0,0,53.43,53.43,20.29,0.27,,6.72,257,0,3,9.997
2018-02-10 12:00:00,0,0,59.24,59.24,17.04,0.19,,7.04,271,0,4,9.997
2018-02-10 13:00:00,0,0,59.99,59.99,16.88,0.18,,12.84,273,0,4,9.011
2018-02-10 14:00:00,0,0,60.82,60.82,17.34,0.18,,10.37,290,0.44,3,9.997
2018-02-10 15:00:00,0,0,54.78,54.78,18.14,0.23,,9.55,316,0.44,2,9.997
2018-02-10 16:00:00,0,0,48.65,44.37,20.89,0.33,,9.97,328,0.44,1,9.997
2018-02-10 17:00:00,0,0,45.91,40.96,19.49,0.35,,10,329,0.75,0,9.997
2018-02-10 18:00:00,0,0,41.69,35.76,16.62,0.36,,9.93,352,0.44,0,9.997
2018-02-10 19:00:00,0,0,37.74,29.78,13.26,0.36,,12.57,359,0,0,9.997
2018-02-10 20:00:00,0,0,35.52,30.45,10.11,0.34,,5.96,346,0,0,9.011
2018-02-10 21:00:00,0,0,34.18,27.83,5.32,0.29,,7.47,24,0,0,9.011
2018-02-10 22:00:00,0,0,31.06,24.2,2.36,0.29,,7.24,2,0,0,9.011
2018-02-10 23:00:00,0,0,29.82,26.76,1.27,0.29,,3.06,24,0,0,9.997
2018-02-11 00:00:00,0,0,27.48,27.48,1.54,0.32,,2.44,14,0,0,9.997
2018-02-11 01:00:00,0,0,28.54,23.1,3.96,0.34,,4.91,6,0,0,9.997
2018-02-11 02:00:00,0,0,25.57,25.57,4.83,0.4,,2.5,7,0,0,9.997
2018-02-11 03:00:00,0,0,25.6,21.46,5.66,0.42,,3.42,18,0,0,9.997
2018-02-11 04:00:00,0,0,21.35,16.59,3.22,0.45,,3.42,335,0,0,9.997
2018-02-11 05:00:00,0,0,21.17,21.17,4.52,0.48,,2,334,0,0,9.997
2018-02-11 06:00:00,0,0,20.08,20.08,5.15,0.52,,2.99,337,0,0,9.997
2018-02-11 07:00:00,0,0,22.15,16.89,3.81,0.45,,3.85,330,0,0,9.997
2018-02-11 08:00:00,0,0,20.73,14.57,2.97,0.46,,4.38,331,0,0,9.997
2018-02-11 09:00:00,0,0,26.78,23.28,3.73,0.37,,3.08,4,0,1,9.997
2018-02-11 10:00:00,0,0,32.91,27.74,3.36,0.28,,5.47,54,0,2,9.997
2018-02-11 11:00:00,0,0,40,34.87,2.44,0.2,,7.46,76,0,3,9.997
2018-02-11 12:00:00,0,0,42.25,36.93,0.11,0.17,,8.84,67,0,4,9.011
2018-02-11 13:00:00,0,0,46.29,43.52,0.26,0.14,,5.53,103,0,4,9.997
2018-02-11 14:00:00,0,0,47.42,44.12,0,0.14,,6.91,48,0,4,9.997
2018-02-11 15:00:00,0,0,48.98,46.71,-1.88,0.12,,5.53,50,0,3,9.997
2018-02-11 16:00:00,0,0,50.21,50.21,-0.87,0.12,,4.55,78,0,1,9.997
2018-02-11 17:00:00,0,0,49.94,48.53,-1.6,0.12,,4.4,63,0,0,9.997
2018-02-11 18:00:00,0,0,46.14,46.14,-1.78,0.13,,2.8,135,0,0,9.997
2018-02-11 19:00:00,0,0,40.37,40.37,-0.24,0.18,,2.34,51,0,0,9.997
2018-02-11 20:00:00,0,0,38.46,38.46,-1.08,0.18,,2.51,44,0,0,9.997
2018-02-11 21:00:00,0,0,36.93,36.93,-0.41,0.2,,2.12,28,0,0,9.997
2018-02-11 22:00:00,0,0,37.36,33.94,-0.33,0.2,,4.34,349,0,0,9.997
2018-02-11 23:00:00,0,0,37.32,34.57,1.07,0.21,,3.66,345,0.19,0,9.997
2018-02-12 00:00:00,0,0,37.69,34.73,1.36,0.21,,3.91,326,0.19,0,9.997
2018-02-12 01:00:00,0,0,37.31,37.31,1.58,0.22,,2.55,320,0,0,9.997
2018-02-12 02:00:00,0,0,34.85,34.85,3.7,0.26,,2.05,337,0,0,9.997
2018-02-12 03:00:00,0,0,33.87,33.87,4.47,0.28,,2.02,348,0.19,0,9.997
2018-02-12 04:00:00,0,0,33.15,33.15,4.54,0.29,,2.24,274,0.75,0,9.997
2018-02-12 05:00:00,0,0,33.66,33.66,6.52,0.31,,1.07,345,0.44,0,9.997
2018-02-12 06:00:00,0,0,35.35,35.35,9.17,0.33,,1.2,358,0.44,0,9.997
2018-02-12 07:00:00,0,0,39.4,39.4,13.76,0.35,,1.26,172,1,0,9.997
2018-02-12 08:00:00,0,0,39.8,39.8,14.76,0.36,,2.2,172,0,0,9.997
2018-02-12 09:00:00,0,0,41.25,41.25,16.42,0.36,,2.3,138,1,1,9.997
2018-02-12 10:00:00,0,0,40.9,35.7,24.96,0.53,,7.96,200,1,2,9.011
2018-02-12 11:00:00,0,0,44.2,40.85,29.04,0.55,,5.85,187,1,2,9.997
2018-02-12 12:00:00,0,0,38.78,32.21,31.76,0.76,,9.81,170,0.75,3,9.011
2018-02-12 13:00:00,0.0005,0.03,37.63,31.31,33.24,0.84,,8.76,192,1,3,4.085
2018-02-12 14:00:00,0.027,0.92,35.28,35.28,32.74,0.9,,2.57,206,0.75,3,4.964
2018-02-12 15:00:00,0.0297,0.98,38.43,38.43,35.11,0.88,,1.59,48,0.75,2,7.002
2018-02-12 16:00:00,0.0004,0.04,39.69,39.69,35.84,0.86,,2.09,326,1,1,7.995
2018-02-12 17:00:00,0.0049,0.49,37.42,33.57,34.44,0.89,,4.84,311,0.75,0,9.997
2018-02-12 18:00:00,0.0092,0.12,36.67,31.95,32.69,0.85,,5.78,340,0.75,0,9.997
2018-02-12 19:00:00,0,0,35.81,35.81,32.25,0.87,,2.98,327,1,0,3.998
2018-02-12 20:00:00,0.0393,0.96,34.76,34.76,32.97,0.93,,1.5,320,1,0,3.998
2018-02-12 21:00:00,0.0364,0.92,32.47,32.47,31.18,0.95,,1,213,1,0,1.249
2018-02-12 22:00:00,0,0,33.25,33.25,31.73,0.94,,0.82,31,1,0,1.249
2018-02-12 23:00:00,0,0,33.58,33.58,31.89,0.93,,2,316,1,0,2.5
2018-02-13 00:00:00,0,0,33.82,33.82,32.76,0.96,,1.99,9,1,0,1.976
2018-02-13 01:00:00,0,0,32.4,32.4,31.91,0.98,,2.01,219,1,0,8.996
2018-02-13 02:00:00,0,0,32.47,32.47,32.19,0.99,,2.49,333,1,0,9.997
2018-02-13 03:00:00,0,0,32.48,29.49,31.36,0.96,,3.28,187,1,0,1.498
2018-02-13 04:00:00,0,0,32.48,32.48,31.88,0.98,,1.32,303,1,0,9.997
2018-02-13 05:00:00,0,0,33.11,33.11,31.38,0.93,,1.28,0,,0,9.997
2018-02-13 06:00:00,0,0,32.74,32.74,32.26,0.98,,1.5,345,,0,9.997
2018-02-13 07:00:00,0,0,32.73,32.73,32.26,0.98,,2.46,335,,0,9.997
2018-02-13 08:00:00,0,0,32.75,32.75,31.79,0.96,,1,0,,,8.687
2018-02-13 09:00:00,0,0,34.27,34.27,33.17,0.96,,2.49,346,0.44,1,6.263
2018-02-13 10:00:00,0.0476,0.98,36.35,36.35,33.11,0.88,,2.97,329,0.75,2,9.997
2018-02-13 11:00:00,0.0111,0.97,37.04,34.55,33.5,0.87,,3.39,312,0.75,3,9.997
2018-02-13 12:00:00,0.0543,0.5,40.14,40.14,34.99,0.82,,1.99,311,,,9.011
2018-02-13 13:00:00,0.0031,0.09,41.79,41.79,35.49,0.78,,2.01,137,1,3,9.997
2018-02-13 14:00:00,0.0035,0.05,44.38,44.38,36.44,0.74,,2.01,55,1,3,9.997
2018-02-13 15:00:00,0.0003,0.03,44.72,44.72,33.96,0.66,,1.49,107,0.75,2,9.997
2018-02-13 16:00:00,0,0,45.3,45.3,34.61,0.66,,2.11,2,,,9.997
2018-02-13 17:00:00,0,0,44.75,44.75,34.41,0.67,,2.03,42,,,9.997
2018-02-13 18:00:00,0,0,43.96,43.96,34.28,0.69,,2.47,52,,,9.997
2018-02-13 19:00:00,0,0,41.95,41.95,34.48,0.75,,1.52,347,,0,9.997
2018-02-13 20:00:00,0,0,40.45,40.45,35.06,0.81,,2.48,340,,0,9.997
2018-02-13 21:00:00,0,0,40.46,40.46,35.47,0.82,,2.47,326,1,0,9.997
2018-02-13 22:00:00,0,0,40.42,40.42,34.89,0.8,,2.94,328,1,0,9.997
2018-02-13 23:00:00,0,0,40.37,40.37,34.34,0.79,,2.01,333,,0,9.997
2018-02-14 00:00:00,0,0,38.64,38.64,35.24,0.87,,1.96,346,,0,9.997
2018-02-14 01:00:00,0,0,39.75,37.62,34.54,0.81,,3.4,331,,0,9.997
2018-02-14 02:00:00,0,0,39.15,39.15,34.46,0.83,,2.46,327,,0,9.997
2018-02-14 03:00:00,0,0,38.64,38.64,34.48,0.85,,2.44,323,0.75,0,9.997
2018-02-14 04:00:00,0,0,38.59,36.28,34.54,0.85,,3.42,343,0.75,0,9.997
2018-02-14 05:00:00,0,0,37.06,37.06,33.82,0.88,,2.59,329,0.75,0,9.997
2018-02-14 06:00:00,0,0,35.65,35.65,33.39,0.91,,1,298,0.75,0,9.997
2018-02-14 07:00:00,0,0,34.4,34.4,32.84,0.94,,1.01,46,0.75,0,9.997
2018-02-14 08:00:00,0,0,34.83,34.83,33.35,0.94,,2.29,325,1,0,9.997
2018-02-14 09:00:00,0,0,36.19,36.19,34.16,0.92,,1.52,317,1,1,9.997
2018-02-14 10:00:00,0,0,39.46,39.46,35.75,0.86,,1.02,353,1,2,9.997
2018-02-14 11:00:00,0,0,42.9,42.9,36.75,0.79,,1.14,337,1,2,9.997
2018-02-14 12:00:00,0,0,45.89,45.89,37.08,0.71,,2.87,179,,,9.997
2018-02-14 13:00:00,0,0,48.67,46.35,36.95,0.64,,5.51,209,,,9.997
2018-02-14 14:00:00,0,0,49.11,45.9,36.06,0.61,,7.49,207,,,8.996
2018-02-14 15:00:00,0.0279,0.97,47.77,46.09,38.56,0.7,,4.27,180,,,9.997
2018-02-14 16:00:00,0.0018,0.97,47.69,45.83,36.67,0.65,,4.51,216,,,9.997
2018-02-14 17:00:00,0,0,47.78,45.91,37.02,0.66,,4.54,203,1,0,9.997
2018-02-14 18:00:00,0.0052,0.51,42.69,38.71,36.14,0.77,,6.43,255,,,9.997
2018-02-14 19:00:00,0.0395,0.99,40.65,37.67,36.44,0.85,,4.46,255,,0,8.381
2018-02-14 20:00:00,0.0295,0.99,38.77,32.94,35.09,0.86,,8.27,263,1,0,3.999
2018-02-14 21:00:00,0.0296,0.99,38.75,34.7,35.12,0.87,,5.39,257,1,0,9.997
2018-02-14 22:00:00,0.0148,0.99,38.22,38.22,35.19,0.89,,2.13,170,,0,9.997
2018-02-14 23:00:00,0,0,39.2,37.43,36.56,0.9,,3.02,169,,0,5.974
2018-02-15 00:00:00,0.0003,0.02,38.68,38.68,36.61,0.92,,1.76,216,1,0,9.997
2018-02-15 01:00:00,0,0,38.74,36.86,36.32,0.91,,3.07,249,1,0,9.997
2018-02-15 02:00:00,0,0,38.28,36.31,35.2,0.89,,3.09,251,1,0,5.683
2018-02-15 03:00:00,0.005,0.07,39.14,36.69,35.54,0.87,,3.63,254,,0,5.669
2018-02-15 04:00:00,0.0164,0.97,36.31,31.36,33.83,0.91,,6,265,,0,9.997
2018-02-15 05:00:00,0.0185,0.93,37.37,37.37,35.69,0.94,,2.16,231,,0,9.997
2018-02-15 06:00:00,0.0049,0.49,36.72,36.72,34.94,0.93,,2.15,242,1,0,9.997
2018-02-15 07:00:00,0,0,36.24,32.54,34.01,0.92,,4.45,150,0.75,0,9.997
2018-02-15 08:00:00,0,0,35,35,33.22,0.93,,1.61,144,0.75,0,9.997
