date,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2017-12-01 00:00:00,0,0,38.96,34.91,21.3,0.49,,5.44,70,0,0,9.997
2017-12-01 01:00:00,0,0,38.68,36.51,21.25,0.49,,3.3,38,0,0,9.997
2017-12-01 02:00:00,0,0,37.28,35.07,22.88,0.56,,3.18,66,0,0,9.997
2017-12-01 03:00:00,0,0,36.52,36.52,22.93,0.58,,2.44,21,0,0,9.997
2017-12-01 04:00:00,0,0,36.43,34.08,21.29,0.54,,3.2,84,0,0,9.997
2017-12-01 05:00:00,0,0,30.49,30.49,22.82,0.73,,2.43,43,0,0,9.997
2017-12-01 06:00:00,0,0,33.91,31.26,21.31,0.6,,3.17,137,0,0,9.997
2017-12-01 07:00:00,0,0,31.95,31.95,21.28,0.64,,0.26,7,0,0,9.997
2017-12-01 08:00:00,0,0,28.99,28.99,21.36,0.73,,2.52,27,0,0,9.997
2017-12-01 09:00:00,0,0,39.12,39.12,26.32,0.6,,1.98,71,0,0,9.997
2017-12-01 10:00:00,0,0,51.16,51.16,25.36,0.36,,1.54,171,0,1,9.997
2017-12-01 11:00:00,0,0,57.83,57.83,24.91,0.28,,3.42,183,0,2,9.997
2017-12-01 12:00:00,0,0,61.5,61.5,25.42,0.25,,2.94,194,0,3,9.997
2017-12-01 13:00:00,0,0,63.52,63.52,26.46,0.24,,3.54,216,0,3,9.997
2017-12-01 14:00:00,0,0,62.88,62.88,23.87,0.22,,5.68,228,0,2,9.997
2017-12-01 15:00:00,0,0,63.38,63.38,26.08,0.24,,7.52,230,0,1,9.997
2017-12-01 16:00:00,0,0,62.82,62.82,26.18,0.25,,5.28,242,0,0,9.997
2017-12-01 17:00:00,0,0,61.77,61.77,23.76,0.23,,3.38,250,0,0,9.997
2017-12-01 18:00:00,0,0,54.52,54.52,23.66,0.3,,2.48,291,0,0,9.997
2017-12-01 19:00:00,0,0,49.01,49.01,23.06,0.36,,2.12,39,0,0,9.997
2017-12-01 20:00:00,0,0,47.31,47.31,23.04,0.38,,2.64,26,0,0,9.997
2017-12-01 21:00:00,0,0,44.81,44.81,23.92,0.43,,1.9,20,0,0,9.997
2017-12-01 22:00:00,0,0,44.18,44.18,23.8,0.44,,1.95,351,0,0,9.997
2017-12-01 23:00:00,0,0,41.81,37.76,24.77,0.51,,6.26,34,0,0,9.997
2017-12-02 00:00:00,0,0,40.27,36.49,24.7,0.53,,5.42,69,0,0,9.997
2017-12-02 01:00:00,0,0,39.8,37.74,24.75,0.55,,3.35,64,0,0,9.997
2017-12-02 02:00:00,0,0,39.03,36.88,25.18,0.57,,3.33,73,0,0,9.997
2017-12-02 03:00:00,0,0,38.74,35.42,26.33,0.61,,4.48,72,0,0,9.997
2017-12-02 04:00:00,0,0,32.5,32.5,26.29,0.78,,2.14,43,0,0,9.997
2017-12-02 05:00:00,0,0,32.24,29.37,26.32,0.79,,3.15,116,0,0,9.997
