date,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2018-01-01 00:00:00,0,0,0,,,59.65,30.38,7.52,0.28,,3.62,292,0,3,9.997
2018-01-02 00:00:00,0,0,0,,,56.06,27.73,9.5,0.28,,3.72,52,0,3,9.997
2018-01-03 00:00:00,0,0,0,,,55.53,25.82,3.19,0.24,,4.96,55,0,3,9.997
2018-01-04 00:00:00,0,0,0,,,61.09,29.41,1.04,0.2,,3.66,70,0,3,9.856
2018-01-05 00:00:00,0,0,0,,,62.84,36.68,15.9,0.33,,3.56,220,0,3,9.997
2018-01-06 00:00:00,0,0,0,,,57.39,33.63,29.42,0.54,,3.73,286,0.44,3,9.997
2018-01-07 00:00:00,0,0,0,,,57.08,31.67,28.47,0.62,,3.94,71,0.02,3,9.715
2018-01-08 00:00:00,0.0002,0.004,0.95,,rain,50.47,40.04,28.18,0.59,,4.66,99,0.48,2,9.997
2018-01-09 00:00:00,0.015,0.0878,1,,rain,48.66,37.83,39.38,0.86,,5.92,47,0.92,2,9.726
2018-01-10 00:00:00,0.0019,0.0151,0.97,,rain,43.46,29.47,38.68,0.93,,6.53,240,0.94,2,8.944
2018-01-11 00:00:00,0,0,0,,,52.09,27.74,31.6,0.77,,3.21,20,0.09,3,9.371
2018-01-12 00:00:00,0,0,0,,,56.12,26.08,30.13,0.68,,3.57,8,0,3,9.997
2018-01-13 00:00:00,0,0,0,,,57.72,30.93,26.71,0.57,,4.49,18,0,3,9.997
2018-01-14 00:00:00,0,0,0,,,59.18,29.89,29.19,0.59,,4.27,50,0,3,9.997
2018-01-15 00:00:00,0,0,0,,,59.6,35.04,29.79,0.6,,3.71,34,0,3,9.997
2018-01-16 00:00:00,0,0,0,,,57.25,27.88,27.77,0.55,,5.53,37,0.09,3,9.997
2018-01-17 00:00:00,0,0,0,,,60.9,29.36,28.03,0.62,,3.7,1,0,3,9.997
2018-01-18 00:00:00,0,0,0,,,59.63,30.01,28.11,0.59,,4.21,75,0,3,9.997
2018-01-19 00:00:00,0,0,0,,,61.11,42,27.57,0.51,,5.13,193,0.01,3,9.997
2018-01-20 00:00:00,0.0033,0.0433,0.68,,rain,44.86,26.27,30.19,0.73,,7.19,296,0.86,3,9.762
2018-01-21 00:00:00,0,0,0,,,39.75,15.47,16.23,0.53,,8.05,345,0.13,3,9.997
2018-01-22 00:00:00,0,0,0,,,44.84,18.66,13.59,0.58,,3.23,66,0,3,9.997
2018-01-23 00:00:00,0,0,0,,,51.72,26.04,16.43,0.54,,4.43,91,0,3,9.997
2018-01-24 00:00:00,0,0,0,,,55.96,29.34,15.34,0.44,,4.51,97,0,3,9.997
2018-01-25 00:00:00,0,0,0,,,57.39,18.59,11.89,0.32,,9.18,224,0.07,3,9.997
2018-01-26 00:00:00,0,0,0,,,47.1,16.79,13.62,0.51,,4.07,346,0.1,3,9.997
2018-01-27 00:00:00,0,0,0,,,52.42,26.59,8.59,0.41,,3.52,323,0,3,9.997
2018-01-28 00:00:00,0,0,0,,,59.62,29.54,19.61,0.43,,4.08,11,0,3,9.997
2018-01-29 00:00:00,0,0,0,,,61.18,28.09,20.84,0.42,,4.51,54,0,3,9.997
2018-01-30 00:00:00,0,0,0,,,63.71,27.94,20.27,0.4,,4.62,141,0,3,9.997
2018-01-31 00:00:00,0,0,0,,,64.86,31.58,19.09,0.39,,4.3,262,0,3,9.997
2018-02-01 00:00:00,0,0,0,,,63.09,34.5,20.75,0.38,,3.62,317,0,4,9.997
2018-02-02 00:00:00,0,0,0,,,64.87,34.84,26.59,0.44,,3.92,331,0,4,9.997
2018-02-03 00:00:00,0,0,0,,,63.35,36.12,27.76,0.47,,4.24,295,0,4,9.997
2018-02-04 00:00:00,0,0,0,,,66.42,29.94,24.81,0.42,,4.21,275,0,4,9.997
2018-02-05 00:00:00,0,0,0,,,64.93,36.86,22.28,0.4,,4.72,231,0,4,9.997
2018-02-06 00:00:00,0,0,0,,,57.38,24.83,18.76,0.36,,6.71,10,0.12,4,9.997
2018-02-07 00:00:00,0,0,0,,,61.51,28.21,15.04,0.35,,4.19,75,0,4,9.857
2018-02-08 00:00:00,0,0,0,,,66.51,31.99,19.84,0.35,,3.65,61,0,4,9.997
2018-02-09 00:00:00,0,0,0,,,68.16,34.2,21.4,0.37,,4.91,243,0,4,9.857
2018-02-10 00:00:00,0,0,0,,,62.6,17.28,19.46,0.4,,7.94,330,0.11,4,9.995
2018-02-11 00:00:00,0,0,0,,,53.79,34.96,4,0.3,,5.9,74,0,4,9.997
2018-02-12 00:00:00,0.0051,0.0317,0.99,,rain,46.6,31.43,22.86,0.6,,5.09,198,0.7,3,8.34
2018-02-13 00:00:00,0.0065,0.0686,0.93,,rain,48.43,35.18,34.81,0.86,,3.12,76,0.91,3,9.402
2018-02-14 00:00:00,0.004,0.0404,0.94,,rain,50.36,36.67,38.02,0.87,,4.89,197,0.87,2,9.586
2018-02-15 00:00:00,0.002,0.0193,0.95,,rain,50.24,25.94,30.47,0.7,,5.41,308,0.65,3,9.997
2018-02-16 00:00:00,0,0,0,,,50.25,22.69,17.33,0.48,,4.59,27,0,5,9.997
2018-02-17 00:00:00,0,0,0,,,57.15,26.33,22.15,0.56,,3.75,175,0,5,9.996
2018-02-18 00:00:00,0,0,0,,,57.06,34.83,23.86,0.51,,7.18,201,0.09,4,9.997
2018-02-19 00:00:00,0,0,0,,,37.81,17.11,18.7,0.53,,12.08,234,0.4,4,9.549
2018-02-20 00:00:00,0,0,0,,,36.04,15.63,7.78,0.5,,4.27,250,0.23,4,9.997
2018-02-21 00:00:00,0,0,0,,,37.82,13.33,7.66,0.42,,5.28,24,0.36,5,9.997
2018-02-22 00:00:00,0,0,0,,,39.92,18.69,14.01,0.59,,5.82,205,0.39,5,8.989
2018-02-23 00:00:00,0.0001,0.0012,0.02,,rain,37.62,10,21.48,0.77,,4.99,266,0.46,4,9.889
2018-02-24 00:00:00,0,0,0,,,35.99,18.6,11.24,0.55,,4.91,256,0.17,5,9.997
2018-02-25 00:00:00,0,0,0,,,43.68,17.36,13.37,0.51,,4.02,115,0.13,6,9.997
2018-02-26 00:00:00,0,0,0,,,51.74,26.18,11.45,0.45,,5.01,191,0,6,9.997
2018-02-27 00:00:00,0,0,0,,,52.15,24.45,13.04,0.39,,5.37,163,0.14,6,9.997
2018-02-28 00:00:00,0,0,0,,,50.44,22.8,20.7,0.56,,5.31,237,0,6,9.997
2018-03-01 00:00:00,0,0,0,,,53.78,28.19,21.19,0.55,,5.21,179,0.27,5,9.997
2018-03-02 00:00:00,0,0,0,,,61.37,31.73,16.17,0.35,,9.35,187,0,6,9.997
2018-03-03 00:00:00,0,0,0,,,59.23,31.45,20.8,0.37,,9.03,192,0.24,6,9.997
2018-03-04 00:00:00,0.0006,0.0115,0.95,,rain,44.81,17.52,21.27,0.56,,8.97,266,0.63,5,9.646
2018-03-05 00:00:00,0,0,0,,,50.09,22.6,5.53,0.37,,5.44,29,0,6,9.997
2018-03-06 00:00:00,0,0,0,,,59.52,25.86,-3.71,0.17,,6.41,37,0,6,9.997
2018-03-07 00:00:00,0,0,0,,,54.47,28.21,2.47,0.21,,5.44,53,0.14,6,9.997
2018-03-08 00:00:00,0,0,0,,,64.89,29.69,10.78,0.28,,4.33,257,0.01,7,9.997
2018-03-09 00:00:00,0,0,0,,,66.47,29.24,16.33,0.33,,4.48,260,0,7,9.997
2018-03-10 00:00:00,0.0012,0.0138,0.4,,rain,59.36,42.64,27.02,0.51,,4.71,193,0.23,7,9.997
2018-03-11 00:00:00,0.007,0.0295,0.99,,rain,56.17,35.25,41.52,0.81,,4.75,53,0.8,4,9.992
