date,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility
2016-05-20 00:00:00,0,0,67.48,67.48,33.69,0.29,,3.67,182,0.44,0,9.997
2016-05-20 01:00:00,0,0,66.4,66.4,33.69,0.3,,4.92,197,0,0,9.997
2016-05-20 02:00:00,0,0,62.67,62.67,33.76,0.34,,9.08,184,0,0,9.997
2016-05-20 03:00:00,0,0,64.08,64.08,34.18,0.33,,7.98,177,0,0,9.997
2016-05-20 04:00:00,0,0,62.6,62.6,35.56,0.36,,7.93,162,0,0,9.997
2016-05-20 05:00:00,0,0,64.24,64.24,33.81,0.32,,7.67,157,0.75,0,9.997
2016-05-20 06:00:00,0,0,62.57,62.57,35.49,0.36,,7.9,175,0,0,9.997
2016-05-20 07:00:00,0,0,60.82,60.82,35.49,0.39,,15.61,173,0,0,9.997
2016-05-20 08:00:00,0,0,62.53,62.53,34.73,0.35,,7.95,177,0,1,9.997
2016-05-20 09:00:00,0,0,64.37,64.37,35.52,0.34,,15.68,176,0,2,9.997
2016-05-20 10:00:00,0,0,69.63,69.63,34.02,0.27,,21.23,170,0,5,9.997
2016-05-20 11:00:00,0,0,71.18,71.18,32.08,0.24,,22.27,190,0,8,9.997
2016-05-20 12:00:00,0,0,75,75,28.5,0.18,,21.3,191,0.19,9,9.997
2016-05-20 13:00:00,0,0,76.78,76.78,26.63,0.16,,19.3,181,0.44,8,9.997
2016-05-20 14:00:00,0,0,76.83,76.83,24.81,0.14,,17.02,181,0.44,8,9.997
2016-05-20 15:00:00,0,0,76.36,76.36,24.79,0.15,,13.84,181,0,10,9.997
2016-05-20 16:00:00,0,0,76.83,76.83,23.09,0.13,,14.25,182,0.44,6,9.997
2016-05-20 17:00:00,0,0,75.19,75.19,26.46,0.16,,20.35,181,0.44,4,9.997
2016-05-20 18:00:00,0,0,75.09,75.09,23.04,0.14,,12.96,182,0.44,2,9.997
2016-05-20 19:00:00,0,0,73.3,73.3,22.94,0.15,,23.28,200,0,1,9.997
2016-05-20 20:00:00,0,0,71.52,71.52,21.23,0.15,,16.78,220,0.44,0,9.997
2016-05-20 21:00:00,0,0,68.01,68.01,22.93,0.18,,11.26,206,0.19,0,9.997
2016-05-20 22:00:00,0,0,66.19,66.19,23.29,0.19,,12.47,200,0,0,9.997
2016-05-20 23:00:00,0,0,66.46,66.46,24.76,0.21,,8.04,172,0.44,0,9.997
2016-05-21 00:00:00,0,0,64.54,64.54,25.59,0.23,,8.94,195,0.75,0,9.997
2016-05-21 01:00:00,0,0,64.28,64.28,28.17,0.25,,10.98,170,0.75,0,9.997
2016-05-21 02:00:00,0,0,62.39,62.39,29.39,0.29,,6.89,192,0,0,9.997
2016-05-21 03:00:00,0,0,60.76,60.76,31.87,0.34,,7.9,192,0,0,9.997
2016-05-21 04:00:00,0,0,60.7,60.7,29.12,0.3,,9.19,196,0,0,9.997
2016-05-21 05:00:00,0,0,58.92,58.92,28.78,0.32,,10.18,197,0,0,9.997
2016-05-21 06:00:00,0,0,57.47,57.47,29.98,0.35,,4.82,223,0,0,9.997
2016-05-21 07:00:00,0,0,51.96,51.96,31.73,0.46,,3.49,171,0,0,9.997
2016-05-21 08:00:00,0,0,55.35,55.35,29.98,0.38,,4.8,181,0,1,9.997
2016-05-21 09:00:00,0,0,57.15,57.15,26.5,0.31,,4.86,223,0.75,2,9.997
2016-05-21 10:00:00,0,0,59.37,59.37,28.2,0.3,,11.07,194,0.75,4,9.997
2016-05-21 11:00:00,0,0,61.78,61.78,21.38,0.21,,6.52,218,1,4,9.997
2016-05-21 12:00:00,0,0,63.77,63.77,22.66,0.21,,10.21,210,0.75,6,9.997
2016-05-21 13:00:00,0,0,66.11,66.11,19.42,0.17,,14.65,230,0,11,9.997
2016-05-21 14:00:00,0,0,67.1,67.1,17.67,0.15,,17.88,210,0,11,9.997
2016-05-21 15:00:00,0,0,71.4,71.4,17.63,0.13,,19.03,208,0,10,9.997
2016-05-21 16:00:00,0,0,71.35,71.35,17.57,0.13,,20.05,209,0,7,9.997
2016-05-21 17:00:00,0,0,69.7,69.7,15.83,0.13,,14.7,239,0,5,9.997
2016-05-21 18:00:00,0,0,69.67,69.67,15.74,0.13,,14.69,219,0,2,9.997
2016-05-21 19:00:00,0,0,67.87,67.87,13.92,0.12,,13.69,234,0,1,9.997
2016-05-21 20:00:00,0,0,64.35,64.35,11.6,0.13,,11.25,268,0,0,9.997
2016-05-21 21:00:00,0,0,59.06,59.06,11.31,0.15,,6.95,240,0,0,9.997
2016-05-21 22:00:00,0,0,57.7,57.7,11.89,0.16,,3.47,240,0,0,9.997
2016-05-21 23:00:00,0,0,51.85,51.85,10.23,0.18,,4.59,220,0,0,9.997
2016-05-22 00:00:00,0,0,54.32,54.32,9.67,0.16,,3.56,233,0,0,9.997
2016-05-22 01:00:00,0,0,53.66,53.66,12.17,0.19,,3.42,250,0,0,9.997
2016-05-22 02:00:00,0,0,51.57,51.57,14.22,0.22,,3.32,184,0,0,9.997
2016-05-22 03:00:00,0,0,46.1,43.9,16.03,0.3,,4.61,180,0,0,9.997
2016-05-22 04:00:00,0,0,41.13,39.3,20.79,0.44,,3.31,178,0,0,9.997
2016-05-22 05:00:00,0,0,42.78,41.21,19.29,0.39,,3.28,183,0,0,9.997
2016-05-22 06:00:00,0,0,40.9,39.04,17.57,0.39,,3.3,163,0,0,9.997
2016-05-22 07:00:00,0,0,42.62,40.65,16.91,0.35,,3.67,52,0,0,9.997
2016-05-22 08:00:00,0,0,49.7,49.7,18.96,0.29,,2.91,88,0,1,9.997
2016-05-22 09:00:00,0,0,57.01,57.01,19.7,0.23,,4.34,187,0,2,9.997
2016-05-22 10:00:00,0,0,58.82,58.82,21.35,0.23,,4.07,229,0.19,5,9.997
2016-05-22 11:00:00,0,0,60.65,60.65,22.86,0.23,,6.86,218,0,8,9.997
2016-05-22 12:00:00,0,0,62.44,62.44,22.18,0.21,,5.75,249,0,10,9.997
2016-05-22 13:00:00,0,0,62.68,62.68,21.17,0.2,,5.91,240,0.44,8,9.997
2016-05-22 14:00:00,0,0,66.02,66.02,19.47,0.17,,6.77,237,0,11,9.997
2016-05-22 15:00:00,0,0,67.79,67.79,17.81,0.15,,6.89,221,0,10,9.997
2016-05-22 16:00:00,0,0,67.85,67.85,21.04,0.17,,7.94,244,0,7,9.997
2016-05-22 17:00:00,0,0,69.63,69.63,16.75,0.13,,6.91,233,0,5,9.997
2016-05-22 18:00:00,0,0,69.66,69.66,15.09,0.12,,5.86,230,0,2,9.997
2016-05-22 19:00:00,0,0,67.9,67.9,14.86,0.13,,5.19,262,0,1,9.997
2016-05-22 20:00:00,0,0,66.07,66.07,14.17,0.13,,5.71,331,0,0,9.997
2016-05-22 21:00:00,0,0,58.92,58.92,20.99,0.23,,3.31,320,0,0,9.997
2016-05-22 22:00:00,0,0,55.25,55.25,24.57,0.3,,3.02,333,0,0,9.997
2016-05-22 23:00:00,0,0,52.02,52.02,19.7,0.28,,1.8,0,0,0,9.997
2016-05-23 00:00:00,0,0,49.14,48.51,18.78,0.3,,3.21,39,0,0,9.997
2016-05-23 01:00:00,0,0,44.21,42.75,19.31,0.37,,3.37,118,0,0,9.997
2016-05-23 02:00:00,0,0,45.29,42.21,19.17,0.35,,5.74,49,0,0,9.997
2016-05-23 03:00:00,0,0,44.51,40.68,18.81,0.35,,6.79,58,0,0,9.997
2016-05-23 04:00:00,0,0,42.85,41.34,19.22,0.38,,3.23,30,0,0,9.997
2016-05-23 05:00:00,0,0,35.93,33.27,18.9,0.5,,3.4,78,0,0,9.997
2016-05-23 06:00:00,0,0,40.89,36.96,19.62,0.42,,5.78,138,0,0,9.997
2016-05-23 07:00:00,0,0,34.01,29.71,19.55,0.55,,4.69,138,0,0,9.997
2016-05-23 08:00:00,0,0,51.14,51.14,21.38,0.31,,3.39,103,0,1,9.997
2016-05-23 09:00:00,0,0,58.87,58.87,22.9,0.25,,2.56,75,0,2,9.997
2016-05-23 10:00:00,0,0,61.48,61.48,21.22,0.21,,4.59,191,0,5,9.997
2016-05-23 11:00:00,0,0,63.48,63.48,19.41,0.18,,3.38,186,0,8,9.997
2016-05-23 12:00:00,0,0,66.33,66.33,19.42,0.16,,4.67,171,0,10,9.997
2016-05-23 13:00:00,0,0,67.4,67.4,19.3,0.16,,3.49,211,0,11,9.997
2016-05-23 14:00:00,0,0,69.08,69.08,19.36,0.15,,4.68,162,0,11,9.997
2016-05-23 15:00:00,0,0,70.73,70.73,19.3,0.14,,6.22,212,0,10,9.997
2016-05-23 16:00:00,0,0,72.08,72.08,19.33,0.13,,10.12,203,0,7,9.997
2016-05-23 17:00:00,0,0,72.97,72.97,18.49,0.13,,7.69,231,0,5,9.997
2016-05-23 18:00:00,0,0,73.27,73.27,21.05,0.14,,4.85,235,0.19,2,9.997
