date,value
2016-06-01 00:00:00,
2016-06-01 00:15:00,
2016-06-01 00:30:00,
2016-06-01 00:45:00,
2016-06-01 01:00:00,
2016-06-01 01:15:00,
2016-06-01 01:30:00,
2016-06-01 01:45:00,
2016-06-01 02:00:00,
2016-06-01 02:15:00,
2016-06-01 02:30:00,
2016-06-01 02:45:00,
2016-06-01 03:00:00,
2016-06-01 03:15:00,
2016-06-01 03:30:00,
2016-06-01 03:45:00,
2016-06-01 04:00:00,
2016-06-01 04:15:00,
2016-06-01 04:30:00,
2016-06-01 04:45:00,
2016-06-01 05:00:00,0.0
2016-06-01 05:15:00,2.283325
2016-06-01 05:30:00,25.39458
2016-06-01 05:45:00,52.380585
2016-06-01 06:00:00,80.89249
2016-06-01 06:15:00,116.785545
2016-06-01 06:30:00,189.65616
2016-06-01 06:45:00,289.92868
2016-06-01 07:00:00,419.55792
2016-06-01 07:15:00,583.8637
2016-06-01 07:30:00,798.97107
2016-06-01 07:45:00,1025.3776
2016-06-01 08:00:00,1311.2714
2016-06-01 08:15:00,1593.9078
2016-06-01 08:30:00,1892.4111
2016-06-01 08:45:00,2195.0276
2016-06-01 09:00:00,2546.4065
2016-06-01 09:15:00,2846.9282
2016-06-01 09:30:00,3123.2195
2016-06-01 09:45:00,3388.9895
2016-06-01 10:00:00,3621.6685
2016-06-01 10:15:00,3807.6606
2016-06-01 10:30:00,3979.0347
2016-06-01 10:45:00,4154.4546
2016-06-01 11:00:00,4291.5483
2016-06-01 11:15:00,4392.26
2016-06-01 11:30:00,4540.2017
2016-06-01 11:45:00,4615.2207
2016-06-01 12:00:00,4672.637
2016-06-01 12:15:00,4794.67
2016-06-01 12:30:00,4932.3643
2016-06-01 12:45:00,4935.939
2016-06-01 13:00:00,4895.9097
2016-06-01 13:15:00,4915.4614
2016-06-01 13:30:00,4863.821
2016-06-01 13:45:00,4778.4194
2016-06-01 14:00:00,2361.3794
2016-06-01 14:15:00,2945.9514
2016-06-01 14:30:00,4365.8765
2016-06-01 14:45:00,3510.6555
2016-06-01 15:00:00,1946.0552
2016-06-01 15:15:00,3065.0757
2016-06-01 15:30:00,3514.8977
2016-06-01 15:45:00,3265.409
2016-06-01 16:00:00,2968.214
2016-06-01 16:15:00,2555.3772
2016-06-01 16:30:00,2191.6055
2016-06-01 16:45:00,1740.4283
2016-06-01 17:00:00,1321.7806
2016-06-01 17:15:00,944.7091
2016-06-01 17:30:00,611.46796
2016-06-01 17:45:00,427.39465
2016-06-01 18:00:00,330.1482
2016-06-01 18:15:00,278.4802
2016-06-01 18:30:00,240.97775
2016-06-01 18:45:00,205.30898
2016-06-01 19:00:00,172.99673
2016-06-01 19:15:00,137.6086
2016-06-01 19:30:00,94.77207
2016-06-01 19:45:00,66.20164
2016-06-01 20:00:00,45.80583
2016-06-01 20:15:00,21.638046
2016-06-01 20:30:00,1.6697265
2016-06-01 20:45:00,0.0
2016-06-01 21:00:00,
2016-06-01 21:15:00,
2016-06-01 21:30:00,
2016-06-01 21:45:00,
2016-06-01 22:00:00,
2016-06-01 22:15:00,
2016-06-01 22:30:00,
2016-06-01 22:45:00,
2016-06-01 23:00:00,
2016-06-01 23:15:00,
2016-06-01 23:30:00,
2016-06-01 23:45:00,
