date,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility,ozone,sunriseTime,sunsetTime
2017-07-20 00:00:00,0,0,0,,,91.84,62.25,56.56,0.53,,3.91,251,0.08,11,9.997,,,
2017-07-21 00:00:00,0,0,0,,,93.66,70.4,50.99,0.41,,5.51,242,0.12,11,9.997,,,
2017-07-22 00:00:00,0,0,0,,,97.24,63.64,51.57,0.36,,5.34,29,0.14,11,9.856,,,
2017-07-23 00:00:00,0,0,0,,,97.26,63.78,48.21,0.34,,4.9,114,0.1,11,9.997,,,
2017-07-24 00:00:00,0.0008,0.0421,0.98,,rain,90.35,63.11,55.17,0.5,,4.63,166,0.3,11,9.879,,,
2017-07-25 00:00:00,0.0361,0.139,1,,rain,74.06,60.13,63.76,0.89,,3.54,255,0.61,9,8.408,,,
2017-07-26 00:00:00,0,0,0,,,88.41,63.68,59.98,0.66,,3.8,201,0.03,11,9.997,,,
2017-07-27 00:00:00,0,0,0,,,93.81,65.72,55.81,0.49,,4.2,279,0.01,11,9.997,,,
2017-07-28 00:00:00,0,0,0,,,92.45,64.01,53.68,0.45,,4.44,251,0.08,11,9.997,,,
2017-07-29 00:00:00,0,0,0,,,92.29,63.86,52.8,0.44,,5.33,24,0.11,11,9.997,,,
2017-07-30 00:00:00,0,0,0,,,95.31,64.03,49.43,0.38,,4.1,33,0.05,11,9.997,,,
2017-07-31 00:00:00,0.0001,0.0023,0.96,,rain,93.57,60.57,49.59,0.36,,4.92,71,0.13,11,9.997,,,
2017-08-01 00:00:00,0,0,0,,,97.25,62.37,46.42,0.34,,4.46,40,0,11,9.997,,,
2017-08-02 00:00:00,0,0,0,,,93.52,59.75,49.79,0.38,,4.38,156,0.01,11,9.997,,,
2017-08-03 00:00:00,0.0084,0.1099,0.58,,rain,90.81,64.19,53.57,0.52,,4.65,189,0,7,9.997,,,
2017-08-04 00:00:00,0,0,0,,,83.13,62.3,57.93,0.6,,3.03,228,,0,,,,
2017-08-05 00:00:00,0.0023,0.0377,0.65,,rain,81.19,62.45,58.66,0.66,,4.65,185,,0,,,,
2017-08-06 00:00:00,0,0,0,,,85.72,64.25,55.1,0.54,,4.29,223,,0,,,,
2017-08-07 00:00:00,0,0,0,,,87.45,65.13,50.97,0.45,,5.23,310,,0,,,,
2017-08-08 00:00:00,0,0,0,,,90.14,60.98,48.52,0.38,,4.42,277,,0,,,,
2017-08-09 00:00:00,0,0,0,,,91.64,64.24,42.98,0.32,,4.07,232,,0,,,,
2017-08-10 00:00:00,0,0,0,,,92.29,65.15,44.13,0.31,,4.45,245,,0,,,,
2017-08-11 00:00:00,0,0,0,,,90.77,63.79,50.86,0.41,,5.05,19,,0,,,,
2017-08-12 00:00:00,0.0013,0.0269,0.64,,rain,88.23,60.21,52.34,0.47,,4.74,111,,0,,,,
2017-08-13 00:00:00,0,0,0,,,84.59,58.71,57.94,0.64,,4.37,169,0.25,4,9.997,,,
2017-08-14 00:00:00,0,0,0,,,90.03,58.44,42.07,0.43,,6.67,211,0.16,9,9.997,,,
2017-08-15 00:00:00,0,0,0,,,86.76,49.26,32.26,0.26,,4.54,174,0.06,10,9.997,,,
2017-08-16 00:00:00,0,0,0,,,90,52.55,34.37,0.3,,4.19,169,0,9,9.997,,,
2017-08-17 00:00:00,0,0,0,,,91.84,54.57,37.41,0.3,,3.92,165,0.09,10,9.997,,,
2017-08-18 00:00:00,0,0,0,,,95.51,53.56,38.95,0.29,,3.98,236,0,10,9.997,,,
2017-08-19 00:00:00,0,0,0,,,93.64,55.18,37.9,0.28,,5.11,219,0,10,9.997,,,
2017-08-20 00:00:00,0,0,0,,,90.15,60.49,41.86,0.32,,4.92,173,0.05,10,9.997,,,
2017-08-21 00:00:00,0,0,0,,,86.75,62.38,48.03,0.42,,5.15,299,0.36,9,9.997,,,
2017-08-22 00:00:00,0,0,0,,,90.25,57.98,48.61,0.42,,4.58,154,0.32,10,9.997,,,
2017-08-23 00:00:00,0,0,0,,,92.09,58.73,41.76,0.34,,4.6,249,0.27,9,9.997,,,
2017-08-24 00:00:00,0.0005,0.0115,0.24,,rain,88.27,54.91,47.1,0.39,,4.73,228,0.21,10,9.997,,,
2017-08-25 00:00:00,0,0,0,,,91.1,58.83,43.27,0.38,,3.56,183,0.04,10,9.997,,,
2017-08-26 00:00:00,0,0,0,,,97.17,65.14,41.85,0.31,,3.93,316,0.03,10,9.997,,,
2017-08-27 00:00:00,0,0,0,,,100.81,59.93,37.3,0.23,,4.29,54,0,10,9.997,,,
2017-08-28 00:00:00,0,0,0,,,99.03,63.7,37.07,0.23,,4.77,100,0.02,9,9.997,,,
2017-08-29 00:00:00,0,0,0,,,97.06,61.88,39.76,0.26,,4.53,34,0,9,9.997,,,
2017-08-30 00:00:00,0,0,0,,,95.92,67.6,40.7,0.27,,4.94,273,0,9,9.856,,,
2017-08-31 00:00:00,0,0,0,,,91.85,59.84,45.61,0.32,,4.26,328,0.3,9,9.997,,,
2017-09-01 00:00:00,0,0,0,,,95.39,64.16,40.03,0.28,,5.06,32,0,9,9.997,,,
2017-09-02 00:00:00,0,0,0,,,95.86,56.99,35.88,0.21,,5.07,87,0,9,9.997,,,
2017-09-03 00:00:00,0,0,0,,,95.63,58.25,41.5,0.3,,4.52,119,0.02,9,9.997,,,
2017-09-04 00:00:00,0.0018,0.0382,0.97,,rain,95.86,53.1,44.08,0.35,,4.6,310,0.05,9,9.997,,,
2017-09-05 00:00:00,0,0,0,,,99.09,60.68,41.21,0.32,,4.75,332,0.02,9,9.997,,,
2017-09-06 00:00:00,0,0,0,,,93.73,56.71,43.84,0.34,,5.35,217,0.08,9,9.997,,,
2017-09-07 00:00:00,0,0,0,,,88.47,54.84,46.85,0.42,,4.69,106,0.23,9,9.609,,,
2017-09-08 00:00:00,0.0001,0.0016,0.16,,rain,77.39,57.81,49.39,0.56,,4.58,41,0.4,7,9.997,,,
2017-09-09 00:00:00,0.0039,0.0644,1,,rain,77.71,54.59,57.04,0.74,,4.02,173,0.59,7,9.635,,,
2017-09-10 00:00:00,0,0,0,,,88.52,60.58,51.68,0.54,,3.53,45,0.07,8,9.997,,,
2017-09-11 00:00:00,0,0,0,,,91.87,60.3,48.57,0.4,,3.77,99,0,7,9.997,,,
2017-09-12 00:00:00,0,0,0,,,92.14,54.73,46.12,0.39,,5,235,0.07,7,9.997,,,
2017-09-13 00:00:00,0,0,0,,,90.46,60.37,42.76,0.37,,5.21,111,0.09,7,9.997,,,
2017-09-14 00:00:00,0.0032,0.0308,0.98,,rain,73.94,46.14,51.5,0.62,,5.43,40,0.44,6,9.997,,,
2017-09-15 00:00:00,0,0,0,,,76.72,49.68,40.62,0.51,,5.24,226,0.08,7,9.997,,,
2017-09-16 00:00:00,0,0,0,,,79.43,53.46,40.36,0.45,,4.03,341,0.26,8,9.997,,,
2017-09-17 00:00:00,0,0,0,,,79.41,50.44,36.61,0.36,,3.81,239,,0,,,,
2017-09-18 00:00:00,0,0,0,,,80.46,57.01,33.56,0.33,,4.98,216,,0,,,,
2017-09-19 00:00:00,0,0,0,,,79.58,51.34,35.29,0.3,,6,220,,0,,,,
2017-09-20 00:00:00,0,0,0,,,81.48,61.89,34.83,0.32,,5.61,215,,0,,,,
2017-09-21 00:00:00,0,0,0,,,77.82,46.43,35.84,0.31,,9.23,198,,0,,,,
2017-09-22 00:00:00,0,0,0,,,66.65,41.08,29.42,0.38,,5.38,248,,0,,,,
