date,value
2015-11-01 00:00:00,
2015-11-01 00:15:00,
2015-11-01 00:30:00,
2015-11-01 00:45:00,
2015-11-01 01:00:00,
2015-11-01 01:15:00,
2015-11-01 01:30:00,
2015-11-01 01:45:00,
2015-11-01 02:00:00,
2015-11-01 02:15:00,
2015-11-01 02:30:00,
2015-11-01 02:45:00,
2015-11-01 03:00:00,
2015-11-01 03:15:00,
2015-11-01 03:30:00,
2015-11-01 03:45:00,
2015-11-01 04:00:00,
2015-11-01 04:15:00,
2015-11-01 04:30:00,
2015-11-01 04:45:00,
2015-11-01 05:00:00,
2015-11-01 05:15:00,
2015-11-01 05:30:00,
2015-11-01 05:45:00,
2015-11-01 06:00:00,
2015-11-01 06:15:00,
2015-11-01 06:30:00,0.0
2015-11-01 06:45:00,0.004205833
2015-11-01 07:00:00,7.134382
2015-11-01 07:15:00,41.428017
2015-11-01 07:30:00,164.13165
2015-11-01 07:45:00,344.6644
2015-11-01 08:00:00,501.97916
2015-11-01 08:15:00,660.6266
2015-11-01 08:30:00,812.9905
2015-11-01 08:45:00,946.8396
2015-11-01 09:00:00,1119.0575
2015-11-01 09:15:00,1152.3538
2015-11-01 09:30:00,1190.5251
2015-11-01 09:45:00,1367.2808
2015-11-01 10:00:00,1427.1057
2015-11-01 10:15:00,1540.9827
2015-11-01 10:30:00,1489.1105
2015-11-01 10:45:00,1700.4868
2015-11-01 11:00:00,1423.6924
2015-11-01 11:15:00,1738.2216
2015-11-01 11:30:00,1740.2354
2015-11-01 11:45:00,1752.4001
2015-11-01 12:00:00,1658.8533
2015-11-01 12:15:00,1740.4686
2015-11-01 12:30:00,1719.7822
2015-11-01 12:45:00,1711.9343
2015-11-01 13:00:00,1694.5592
2015-11-01 13:15:00,1657.5094
2015-11-01 13:30:00,1610.1917
2015-11-01 13:45:00,1564.5116
2015-11-01 14:00:00,1496.7429
2015-11-01 14:15:00,1436.4436
2015-11-01 14:30:00,1367.0353
2015-11-01 14:45:00,1274.4279
2015-11-01 15:00:00,1178.5815
2015-11-01 15:15:00,1070.9385
2015-11-01 15:30:00,956.91425
2015-11-01 15:45:00,829.60065
2015-11-01 16:00:00,690.0557
2015-11-01 16:15:00,547.5054
2015-11-01 16:30:00,383.671
2015-11-01 16:45:00,209.23082
2015-11-01 17:00:00,46.65578
2015-11-01 17:15:00,10.589687
2015-11-01 17:30:00,0.06035156
2015-11-01 17:45:00,0.0
2015-11-01 18:00:00,
2015-11-01 18:15:00,
2015-11-01 18:30:00,
2015-11-01 18:45:00,
2015-11-01 19:00:00,
2015-11-01 19:15:00,
2015-11-01 19:30:00,
2015-11-01 19:45:00,
2015-11-01 20:00:00,
2015-11-01 20:15:00,
2015-11-01 20:30:00,
2015-11-01 20:45:00,
2015-11-01 21:00:00,
2015-11-01 21:15:00,
2015-11-01 21:30:00,
2015-11-01 21:45:00,
2015-11-01 22:00:00,
2015-11-01 22:15:00,
2015-11-01 22:30:00,
2015-11-01 22:45:00,
2015-11-01 23:00:00,
2015-11-01 23:15:00,
2015-11-01 23:30:00,
2015-11-01 23:45:00,
2015-11-02 00:00:00,
2015-11-02 00:15:00,
2015-11-02 00:30:00,
2015-11-02 00:45:00,
2015-11-02 01:00:00,
2015-11-02 01:15:00,
2015-11-02 01:30:00,
2015-11-02 01:45:00,
2015-11-02 02:00:00,
2015-11-02 02:15:00,
2015-11-02 02:30:00,
2015-11-02 02:45:00,
2015-11-02 03:00:00,
2015-11-02 03:15:00,
2015-11-02 03:30:00,
2015-11-02 03:45:00,
2015-11-02 04:00:00,
