date,value
2017-01-01 00:00:00,
2017-01-01 00:15:00,
2017-01-01 00:30:00,
2017-01-01 00:45:00,
2017-01-01 01:00:00,
2017-01-01 01:15:00,
2017-01-01 01:30:00,
2017-01-01 01:45:00,
2017-01-01 02:00:00,
2017-01-01 02:15:00,
2017-01-01 02:30:00,
2017-01-01 02:45:00,
2017-01-01 03:00:00,
2017-01-01 03:15:00,
2017-01-01 03:30:00,
2017-01-01 03:45:00,
2017-01-01 04:00:00,
2017-01-01 04:15:00,
2017-01-01 04:30:00,
2017-01-01 04:45:00,
2017-01-01 05:00:00,
2017-01-01 05:15:00,
2017-01-01 05:30:00,
2017-01-01 05:45:00,
2017-01-01 06:00:00,
2017-01-01 06:15:00,
2017-01-01 06:30:00,
2017-01-01 06:45:00,
2017-01-01 07:00:00,
2017-01-01 07:15:00,
2017-01-01 07:30:00,0.0
2017-01-01 07:45:00,19.88482
2017-01-01 08:00:00,72.118614
2017-01-01 08:15:00,125.98611
2017-01-01 08:30:00,116.69438
2017-01-01 08:45:00,145.79375
2017-01-01 09:00:00,133.45023
2017-01-01 09:15:00,132.68335
2017-01-01 09:30:00,198.6769
2017-01-01 09:45:00,176.81839
2017-01-01 10:00:00,237.12053
2017-01-01 10:15:00,372.6744
2017-01-01 10:30:00,515.32385
2017-01-01 10:45:00,465.9915
2017-01-01 11:00:00,423.50226
2017-01-01 11:15:00,536.97473
2017-01-01 11:30:00,524.1
2017-01-01 11:45:00,353.12024
2017-01-01 12:00:00,361.2212
2017-01-01 12:15:00,973.53656
2017-01-01 12:30:00,943.51263
2017-01-01 12:45:00,858.93146
2017-01-01 13:00:00,497.7002
2017-01-01 13:15:00,765.4429
2017-01-01 13:30:00,850.5919
2017-01-01 13:45:00,891.8915
2017-01-01 14:00:00,948.3242
2017-01-01 14:15:00,914.989
2017-01-01 14:30:00,865.5651
2017-01-01 14:45:00,822.98706
2017-01-01 15:00:00,480.14697
2017-01-01 15:15:00,333.64053
2017-01-01 15:30:00,536.00433
2017-01-01 15:45:00,204.42583
2017-01-01 16:00:00,137.78362
2017-01-01 16:15:00,136.30702
2017-01-01 16:30:00,37.29626
2017-01-01 16:45:00,9.630097
2017-01-01 17:00:00,0.0
2017-01-01 17:15:00,
2017-01-01 17:30:00,
2017-01-01 17:45:00,
2017-01-01 18:00:00,
2017-01-01 18:15:00,
2017-01-01 18:30:00,
2017-01-01 18:45:00,
2017-01-01 19:00:00,
2017-01-01 19:15:00,
2017-01-01 19:30:00,
2017-01-01 19:45:00,
2017-01-01 20:00:00,
2017-01-01 20:15:00,
2017-01-01 20:30:00,
2017-01-01 20:45:00,
2017-01-01 21:00:00,
2017-01-01 21:15:00,
2017-01-01 21:30:00,
2017-01-01 21:45:00,
2017-01-01 22:00:00,
2017-01-01 22:15:00,
2017-01-01 22:30:00,
2017-01-01 22:45:00,
2017-01-01 23:00:00,
2017-01-01 23:15:00,
2017-01-01 23:30:00,
2017-01-01 23:45:00,
2017-01-02 00:00:00,
2017-01-02 00:15:00,
2017-01-02 00:30:00,
2017-01-02 00:45:00,
2017-01-02 01:00:00,
2017-01-02 01:15:00,
2017-01-02 01:30:00,
2017-01-02 01:45:00,
2017-01-02 02:00:00,
2017-01-02 02:15:00,
2017-01-02 02:30:00,
2017-01-02 02:45:00,
2017-01-02 03:00:00,
2017-01-02 03:15:00,
2017-01-02 03:30:00,
2017-01-02 03:45:00,
2017-01-02 04:00:00,
2017-01-02 04:15:00,
2017-01-02 04:30:00,
2017-01-02 04:45:00,
2017-01-02 05:00:00,
2017-01-02 05:15:00,
2017-01-02 05:30:00,
2017-01-02 05:45:00,
2017-01-02 06:00:00,
2017-01-02 06:15:00,
2017-01-02 06:30:00,
2017-01-02 06:45:00,
2017-01-02 07:00:00,
2017-01-02 07:15:00,0.0
2017-01-02 07:30:00,8.703686
2017-01-02 07:45:00,26.882635
2017-01-02 08:00:00,30.802368
2017-01-02 08:15:00,40.129475
2017-01-02 08:30:00,60.06368
2017-01-02 08:45:00,128.8233
2017-01-02 09:00:00,59.99464
2017-01-02 09:15:00,40.48829
2017-01-02 09:30:00,74.1434
2017-01-02 09:45:00,226.07022
2017-01-02 10:00:00,361.4552
2017-01-02 10:15:00,428.4156
2017-01-02 10:30:00,273.90506
2017-01-02 10:45:00,472.22894
2017-01-02 11:00:00,670.60895
2017-01-02 11:15:00,524.32684
2017-01-02 11:30:00,384.40674
2017-01-02 11:45:00,268.51364
2017-01-02 12:00:00,406.4376
2017-01-02 12:15:00,485.95178
2017-01-02 12:30:00,524.10803
2017-01-02 12:45:00,471.73697
2017-01-02 13:00:00,393.47708
2017-01-02 13:15:00,408.5896
2017-01-02 13:30:00,363.89426
2017-01-02 13:45:00,565.08777
2017-01-02 14:00:00,818.53613
2017-01-02 14:15:00,887.13477
2017-01-02 14:30:00,606.6217
2017-01-02 14:45:00,484.12817
2017-01-02 15:00:00,553.3936
2017-01-02 15:15:00,225.47041
2017-01-02 15:30:00,290.26987
2017-01-02 15:45:00,230.02495
2017-01-02 16:00:00,261.5184
2017-01-02 16:15:00,55.480183
2017-01-02 16:30:00,31.88071
2017-01-02 16:45:00,7.3729486
2017-01-02 17:00:00,0.0
2017-01-02 17:15:00,
2017-01-02 17:30:00,
2017-01-02 17:45:00,
2017-01-02 18:00:00,
2017-01-02 18:15:00,
2017-01-02 18:30:00,
2017-01-02 18:45:00,
2017-01-02 19:00:00,
2017-01-02 19:15:00,
2017-01-02 19:30:00,
2017-01-02 19:45:00,
2017-01-02 20:00:00,
2017-01-02 20:15:00,
