date,value
2018-09-01 00:00:00,
2018-09-01 00:15:00,
2018-09-01 00:30:00,
2018-09-01 00:45:00,
2018-09-01 01:00:00,
2018-09-01 01:15:00,
2018-09-01 01:30:00,
2018-09-01 01:45:00,
2018-09-01 02:00:00,
2018-09-01 02:15:00,
2018-09-01 02:30:00,
2018-09-01 02:45:00,
2018-09-01 03:00:00,
2018-09-01 03:15:00,
2018-09-01 03:30:00,
2018-09-01 03:45:00,
2018-09-01 04:00:00,
2018-09-01 04:15:00,
2018-09-01 04:30:00,
2018-09-01 04:45:00,
2018-09-01 05:00:00,
2018-09-01 05:15:00,
2018-09-01 05:30:00,
2018-09-01 05:45:00,0.0
2018-09-01 06:00:00,7.0
2018-09-01 06:15:00,133.0
2018-09-01 06:30:00,399.0
2018-09-01 06:45:00,779.0
2018-09-01 07:00:00,1276.0
2018-09-01 07:15:00,1914.0
2018-09-01 07:30:00,2679.0
2018-09-01 07:45:00,3474.0
2018-09-01 08:00:00,4211.0
2018-09-01 08:15:00,4993.0
2018-09-01 08:30:00,5772.0
2018-09-01 08:45:00,6505.0
2018-09-01 09:00:00,7182.0
2018-09-01 09:15:00,7897.0
2018-09-01 09:30:00,8480.0
2018-09-01 09:45:00,9002.0
2018-09-01 10:00:00,9516.0
2018-09-01 10:15:00,9989.0
2018-09-01 10:30:00,10368.0
2018-09-01 10:45:00,10655.0
2018-09-01 11:00:00,10951.0
2018-09-01 11:15:00,11370.0
2018-09-01 11:30:00,11752.0
2018-09-01 11:45:00,11975.0
2018-09-01 12:00:00,12242.0
2018-09-01 12:15:00,12501.0
2018-09-01 12:30:00,12448.0
2018-09-01 12:45:00,12585.0
2018-09-01 13:00:00,11729.0
2018-09-01 13:15:00,12220.0
2018-09-01 13:30:00,12299.0
2018-09-01 13:45:00,12124.0
2018-09-01 14:00:00,11828.0
2018-09-01 14:15:00,11642.0
2018-09-01 14:30:00,11297.0
2018-09-01 14:45:00,10907.0
2018-09-01 15:00:00,10673.0
2018-09-01 15:15:00,10184.0
2018-09-01 15:30:00,9598.0
2018-09-01 15:45:00,9114.0
2018-09-01 16:00:00,8553.0
2018-09-01 16:15:00,7923.0
2018-09-01 16:30:00,7194.0
2018-09-01 16:45:00,6408.0
2018-09-01 17:00:00,5633.0
2018-09-01 17:15:00,4794.0
2018-09-01 17:30:00,3910.0
2018-09-01 17:45:00,3017.0
2018-09-01 18:00:00,2103.0
2018-09-01 18:15:00,1277.0
2018-09-01 18:30:00,610.0
2018-09-01 18:45:00,95.0
2018-09-01 19:00:00,0.0
2018-09-01 19:15:00,0.0
2018-09-01 19:30:00,
2018-09-01 19:45:00,
2018-09-01 20:00:00,
2018-09-01 20:15:00,0.0
2018-09-01 20:30:00,0.0
2018-09-01 20:45:00,
2018-09-01 21:00:00,0.0
2018-09-01 21:15:00,
2018-09-01 21:30:00,
2018-09-01 21:45:00,
2018-09-01 22:00:00,
2018-09-01 22:15:00,
2018-09-01 22:30:00,
2018-09-01 22:45:00,
2018-09-01 23:00:00,
2018-09-01 23:15:00,
2018-09-01 23:30:00,
2018-09-01 23:45:00,
2018-09-02 00:00:00,
2018-09-02 00:15:00,
2018-09-02 00:30:00,
2018-09-02 00:45:00,
2018-09-02 01:00:00,
2018-09-02 01:15:00,
2018-09-02 01:30:00,
2018-09-02 01:45:00,
2018-09-02 02:00:00,
2018-09-02 02:15:00,
2018-09-02 02:30:00,
2018-09-02 02:45:00,
2018-09-02 03:00:00,
2018-09-02 03:15:00,
2018-09-02 03:30:00,
2018-09-02 03:45:00,
2018-09-02 04:00:00,
2018-09-02 04:15:00,
2018-09-02 04:30:00,
2018-09-02 04:45:00,
2018-09-02 05:00:00,
2018-09-02 05:15:00,
