date,value
2019-06-01 00:00:00,
2019-06-01 00:15:00,
2019-06-01 00:30:00,
2019-06-01 00:45:00,
2019-06-01 01:00:00,
2019-06-01 01:15:00,
2019-06-01 01:30:00,
2019-06-01 01:45:00,
2019-06-01 02:00:00,
2019-06-01 02:15:00,
2019-06-01 02:30:00,
2019-06-01 02:45:00,
2019-06-01 03:00:00,
2019-06-01 03:15:00,
2019-06-01 03:30:00,
2019-06-01 03:45:00,
2019-06-01 04:00:00,
2019-06-01 04:15:00,
2019-06-01 04:30:00,
2019-06-01 04:45:00,
2019-06-01 05:00:00,
2019-06-01 05:15:00,
2019-06-01 05:30:00,
2019-06-01 05:45:00,
2019-06-01 06:00:00,0.0
2019-06-01 06:15:00,12.0
2019-06-01 06:30:00,211.0
2019-06-01 06:45:00,648.0
2019-06-01 07:00:00,947.0
2019-06-01 07:15:00,1252.0
2019-06-01 07:30:00,1402.0
2019-06-01 07:45:00,1267.0
2019-06-01 08:00:00,1299.0
2019-06-01 08:15:00,1489.0
2019-06-01 08:30:00,1931.0
2019-06-01 08:45:00,2249.0
2019-06-01 09:00:00,2315.0
2019-06-01 09:15:00,1932.0
2019-06-01 09:30:00,3052.0
2019-06-01 09:45:00,3533.0
2019-06-01 10:00:00,3977.0
2019-06-01 10:15:00,4565.0
2019-06-01 10:30:00,4586.0
2019-06-01 10:45:00,5025.0
2019-06-01 11:00:00,5324.0
2019-06-01 11:15:00,5522.0
2019-06-01 11:30:00,5693.0
2019-06-01 11:45:00,5861.0
2019-06-01 12:00:00,5928.0
2019-06-01 12:15:00,5067.0
2019-06-01 12:30:00,5061.0
2019-06-01 12:45:00,5991.0
2019-06-01 13:00:00,6010.0
2019-06-01 13:15:00,6142.0
2019-06-01 13:30:00,5799.0
2019-06-01 13:45:00,6011.0
2019-06-01 14:00:00,5871.0
2019-06-01 14:15:00,6087.0
2019-06-01 14:30:00,5512.0
2019-06-01 14:45:00,5175.0
2019-06-01 15:00:00,5014.0
2019-06-01 15:15:00,4357.0
2019-06-01 15:30:00,6084.0
2019-06-01 15:45:00,4452.0
2019-06-01 16:00:00,5732.0
2019-06-01 16:15:00,5498.0
2019-06-01 16:30:00,5403.0
2019-06-01 16:45:00,5056.0
2019-06-01 17:00:00,4930.0
2019-06-01 17:15:00,4654.0
2019-06-01 17:30:00,4259.0
2019-06-01 17:45:00,3864.0
2019-06-01 18:00:00,3563.0
2019-06-01 18:15:00,3349.0
2019-06-01 18:30:00,3191.0
2019-06-01 18:45:00,2809.0
2019-06-01 19:00:00,2385.0
2019-06-01 19:15:00,2061.0
2019-06-01 19:30:00,1112.0
2019-06-01 19:45:00,225.0
2019-06-01 20:00:00,156.0
2019-06-01 20:15:00,89.0
2019-06-01 20:30:00,12.0
2019-06-01 20:45:00,0.0
2019-06-01 21:00:00,
2019-06-01 21:15:00,
2019-06-01 21:30:00,
2019-06-01 21:45:00,
2019-06-01 22:00:00,
2019-06-01 22:15:00,
2019-06-01 22:30:00,0.0
2019-06-01 22:45:00,0.0
2019-06-01 23:00:00,
2019-06-01 23:15:00,
2019-06-01 23:30:00,
2019-06-01 23:45:00,
2019-06-02 00:00:00,
2019-06-02 00:15:00,
2019-06-02 00:30:00,
2019-06-02 00:45:00,
2019-06-02 01:00:00,
2019-06-02 01:15:00,
2019-06-02 01:30:00,
2019-06-02 01:45:00,
2019-06-02 02:00:00,
2019-06-02 02:15:00,
2019-06-02 02:30:00,
2019-06-02 02:45:00,
