date,value
2017-07-01 00:00:00,
2017-07-01 00:15:00,
2017-07-01 00:30:00,
2017-07-01 00:45:00,
2017-07-01 01:00:00,
2017-07-01 01:15:00,
2017-07-01 01:30:00,
2017-07-01 01:45:00,
2017-07-01 02:00:00,
2017-07-01 02:15:00,
2017-07-01 02:30:00,
2017-07-01 02:45:00,
2017-07-01 03:00:00,
2017-07-01 03:15:00,
2017-07-01 03:30:00,
2017-07-01 03:45:00,
2017-07-01 04:00:00,
2017-07-01 04:15:00,
2017-07-01 04:30:00,
2017-07-01 04:45:00,
2017-07-01 05:00:00,
2017-07-01 05:15:00,0.0
2017-07-01 05:30:00,24.0
2017-07-01 05:45:00,74.0
2017-07-01 06:00:00,140.0
2017-07-01 06:15:00,194.0
2017-07-01 06:30:00,264.0
2017-07-01 06:45:00,356.0
2017-07-01 07:00:00,486.0
2017-07-01 07:15:00,694.0
2017-07-01 07:30:00,969.0
2017-07-01 07:45:00,1271.0
2017-07-01 08:00:00,1593.0
2017-07-01 08:15:00,1931.0
2017-07-01 08:30:00,2220.0
2017-07-01 08:45:00,2494.0
2017-07-01 09:00:00,2778.0
2017-07-01 09:15:00,2520.0
2017-07-01 09:30:00,3202.0
2017-07-01 09:45:00,3411.0
2017-07-01 10:00:00,3599.0
2017-07-01 10:15:00,3754.0
2017-07-01 10:30:00,3890.0
2017-07-01 10:45:00,4005.0
2017-07-01 11:00:00,4121.0
2017-07-01 11:15:00,4260.0
2017-07-01 11:30:00,4339.0
2017-07-01 11:45:00,4439.0
2017-07-01 12:00:00,4460.0
2017-07-01 12:15:00,4519.0
2017-07-01 12:30:00,4553.0
2017-07-01 12:45:00,4671.0
2017-07-01 13:00:00,4620.0
2017-07-01 13:15:00,4474.0
2017-07-01 13:30:00,4360.0
2017-07-01 13:45:00,4261.0
2017-07-01 14:00:00,4048.0
2017-07-01 14:15:00,3860.0
2017-07-01 14:30:00,3654.0
2017-07-01 14:45:00,3491.0
2017-07-01 15:00:00,3181.0
2017-07-01 15:15:00,2902.0
2017-07-01 15:30:00,2688.0
2017-07-01 15:45:00,2357.0
2017-07-01 16:00:00,2067.0
2017-07-01 16:15:00,1693.0
2017-07-01 16:30:00,1321.0
2017-07-01 16:45:00,1015.0
2017-07-01 17:00:00,815.0
2017-07-01 17:15:00,643.0
2017-07-01 17:30:00,476.0
2017-07-01 17:45:00,385.0
2017-07-01 18:00:00,311.0
2017-07-01 18:15:00,258.0
2017-07-01 18:30:00,218.0
2017-07-01 18:45:00,175.0
2017-07-01 19:00:00,134.0
2017-07-01 19:15:00,94.0
2017-07-01 19:30:00,30.0
2017-07-01 19:45:00,1.0
2017-07-01 20:00:00,0.0
2017-07-01 20:15:00,
2017-07-01 20:30:00,
2017-07-01 20:45:00,
2017-07-01 21:00:00,
2017-07-01 21:15:00,
2017-07-01 21:30:00,
2017-07-01 21:45:00,0.0
2017-07-01 22:00:00,
2017-07-01 22:15:00,
2017-07-01 22:30:00,
2017-07-01 22:45:00,
2017-07-01 23:00:00,
2017-07-01 23:15:00,
2017-07-01 23:30:00,
2017-07-01 23:45:00,
2017-07-02 00:00:00,
2017-07-02 00:15:00,
2017-07-02 00:30:00,
2017-07-02 00:45:00,
2017-07-02 01:00:00,
2017-07-02 01:15:00,
2017-07-02 01:30:00,
2017-07-02 01:45:00,
2017-07-02 02:00:00,
2017-07-02 02:15:00,
2017-07-02 02:30:00,
2017-07-02 02:45:00,
2017-07-02 03:00:00,
2017-07-02 03:15:00,
2017-07-02 03:30:00,
2017-07-02 03:45:00,
2017-07-02 04:00:00,
2017-07-02 04:15:00,
2017-07-02 04:30:00,
2017-07-02 04:45:00,
2017-07-02 05:00:00,
2017-07-02 05:15:00,0.0
2017-07-02 05:30:00,0.0
2017-07-02 05:45:00,29.0
2017-07-02 06:00:00,102.0
2017-07-02 06:15:00,173.0
2017-07-02 06:30:00,244.0
2017-07-02 06:45:00,331.0
2017-07-02 07:00:00,453.0
2017-07-02 07:15:00,645.0
2017-07-02 07:30:00,896.0
2017-07-02 07:45:00,1204.0
2017-07-02 08:00:00,1523.0
2017-07-02 08:15:00,1897.0
2017-07-02 08:30:00,2232.0
2017-07-02 08:45:00,2542.0
2017-07-02 09:00:00,2838.0
2017-07-02 09:15:00,3155.0
2017-07-02 09:30:00,3394.0
2017-07-02 09:45:00,3598.0
2017-07-02 10:00:00,3820.0
2017-07-02 10:15:00,3964.0
2017-07-02 10:30:00,4115.0
2017-07-02 10:45:00,4267.0
2017-07-02 11:00:00,4371.0
2017-07-02 11:15:00,4509.0
2017-07-02 11:30:00,4614.0
2017-07-02 11:45:00,4703.0
2017-07-02 12:00:00,4700.0
2017-07-02 12:15:00,4681.0
2017-07-02 12:30:00,4734.0
2017-07-02 12:45:00,4754.0
2017-07-02 13:00:00,4667.0
2017-07-02 13:15:00,4537.0
2017-07-02 13:30:00,4472.0
2017-07-02 13:45:00,4344.0
2017-07-02 14:00:00,4181.0
2017-07-02 14:15:00,3980.0
2017-07-02 14:30:00,3723.0
2017-07-02 14:45:00,3467.0
2017-07-02 15:00:00,3224.0
2017-07-02 15:15:00,2951.0
2017-07-02 15:30:00,2658.0
2017-07-02 15:45:00,2378.0
2017-07-02 16:00:00,2106.0
2017-07-02 16:15:00,1731.0
2017-07-02 16:30:00,1364.0
2017-07-02 16:45:00,1033.0
2017-07-02 17:00:00,794.0
2017-07-02 17:15:00,617.0
2017-07-02 17:30:00,436.0
2017-07-02 17:45:00,352.0
2017-07-02 18:00:00,282.0
2017-07-02 18:15:00,235.0
2017-07-02 18:30:00,199.0
2017-07-02 18:45:00,163.0
2017-07-02 19:00:00,125.0
2017-07-02 19:15:00,88.0
2017-07-02 19:30:00,43.0
2017-07-02 19:45:00,3.0
2017-07-02 20:00:00,0.0
2017-07-02 20:15:00,
2017-07-02 20:30:00,
2017-07-02 20:45:00,
2017-07-02 21:00:00,
2017-07-02 21:15:00,
2017-07-02 21:30:00,
2017-07-02 21:45:00,0.0
2017-07-02 22:00:00,
2017-07-02 22:15:00,
2017-07-02 22:30:00,
2017-07-02 22:45:00,
2017-07-02 23:00:00,
2017-07-02 23:15:00,
2017-07-02 23:30:00,
2017-07-02 23:45:00,
2017-07-03 00:00:00,
2017-07-03 00:15:00,
2017-07-03 00:30:00,
2017-07-03 00:45:00,
2017-07-03 01:00:00,
2017-07-03 01:15:00,
2017-07-03 01:30:00,
2017-07-03 01:45:00,
2017-07-03 02:00:00,
2017-07-03 02:15:00,
2017-07-03 02:30:00,
2017-07-03 02:45:00,
2017-07-03 03:00:00,
2017-07-03 03:15:00,
2017-07-03 03:30:00,
2017-07-03 03:45:00,
2017-07-03 04:00:00,
2017-07-03 04:15:00,
2017-07-03 04:30:00,
2017-07-03 04:45:00,
2017-07-03 05:00:00,
2017-07-03 05:15:00,0.0
2017-07-03 05:30:00,27.0
2017-07-03 05:45:00,75.0
2017-07-03 06:00:00,142.0
2017-07-03 06:15:00,199.0
2017-07-03 06:30:00,271.0
2017-07-03 06:45:00,365.0
2017-07-03 07:00:00,498.0
2017-07-03 07:15:00,698.0
2017-07-03 07:30:00,965.0
2017-07-03 07:45:00,1256.0
2017-07-03 08:00:00,1584.0
2017-07-03 08:15:00,1940.0
2017-07-03 08:30:00,2253.0
2017-07-03 08:45:00,2565.0
2017-07-03 09:00:00,2863.0
