# Please note that there may be discrepancies between your electric bill and what Sense reports due to data interruptions (such as Wi-Fi signal loss or loss of power) or other issues.
DateTime,Device ID,Name,Device Type,Device Make,Device Model,Device Location,Avg Wattage,kWh
2020-01-01 00:00:00,783fbb30,Motor 4,Mystery Motor,,,,244.568,0.245
2020-01-01 00:00:00,000f976b,Light 2,Light,,,,3.875,0.004
2020-01-01 00:00:00,2867db67,Heat pump,Heat Pump,,,,62.372,0.062
2020-01-01 00:00:00,c783b11c,AC 5,AC,,,,3.595,0.004
2020-01-01 00:00:00,e3eaa9b7,AC 4,AC,,,,294.573,0.295
2020-01-01 00:00:00,mains,Total Usage,,,,,1993.615,1.994
2020-01-01 00:00:00,always_on,Always On,AlwaysOn,,,,523.000,0.523
2020-01-01 00:00:00,03eddf75,Fridge 2,Fridge,,,,98.088,0.098
2020-01-01 01:00:00,783fbb30,Motor 4,Mystery Motor,,,,358.020,0.358
2020-01-01 01:00:00,000f976b,Light 2,Light,,,,1.944,0.002
2020-01-01 01:00:00,c783b11c,AC 5,AC,,,,7.769,0.008
2020-01-01 01:00:00,e3eaa9b7,AC 4,AC,,,,698.012,0.698
2020-01-01 01:00:00,mains,Total Usage,,,,,2278.892,2.279
2020-01-01 01:00:00,always_on,Always On,AlwaysOn,,,,522.300,0.522
2020-01-01 01:00:00,03eddf75,Fridge 2,Fridge,,,,98.138,0.098
2020-01-01 02:00:00,783fbb30,Motor 4,Mystery Motor,,,,193.864,0.194
2020-01-01 02:00:00,000f976b,Light 2,Light,,,,1.944,0.002
2020-01-01 02:00:00,c783b11c,AC 5,AC,,,,8.057,0.008
2020-01-01 02:00:00,e3eaa9b7,AC 4,AC,,,,452.427,0.452
2020-01-01 02:00:00,mains,Total Usage,,,,,1777.636,1.778
2020-01-01 02:00:00,36a3ac21,Microwave,Microwave,,,,5.137,0.005
2020-01-01 02:00:00,always_on,Always On,AlwaysOn,,,,522.000,0.522
2020-01-01 02:00:00,03eddf75,Fridge 2,Fridge,,,,100.620,0.101
2020-01-01 03:00:00,783fbb30,Motor 4,Mystery Motor,,,,195.865,0.196
2020-01-01 03:00:00,000f976b,Light 2,Light,,,,1.944,0.002
2020-01-01 03:00:00,c783b11c,AC 5,AC,,,,4.173,0.004
2020-01-01 03:00:00,e3eaa9b7,AC 4,AC,,,,601.276,0.601
2020-01-01 03:00:00,312d0d50,Heat 5,Mystery Heat,,,,107.642,0.108
2020-01-01 03:00:00,mains,Total Usage,,,,,2097.024,2.097
2020-01-01 03:00:00,always_on,Always On,AlwaysOn,,,,522.533,0.523
2020-01-01 03:00:00,03eddf75,Fridge 2,Fridge,,,,99.816,0.100
2020-01-01 04:00:00,000f976b,Light 2,Light,,,,60.547,0.061
2020-01-01 04:00:00,2867db67,Heat pump,Heat Pump,,,,70.078,0.070
2020-01-01 04:00:00,a28ba2c6,Device 4,Mystery Device,,,,46.883,0.047
2020-01-01 04:00:00,c783b11c,AC 5,AC,,,,8.634,0.009
2020-01-01 04:00:00,e3eaa9b7,AC 4,AC,,,,351.666,0.352
2020-01-01 04:00:00,mains,Total Usage,,,,,2090.841,2.091
2020-01-01 04:00:00,36a3ac21,Microwave,Microwave,,,,5.402,0.005
2020-01-01 04:00:00,always_on,Always On,AlwaysOn,,,,525.133,0.525
2020-01-01 04:00:00,0b50b3cf,Device 1,Mystery Device,,,,32.433,0.032
2020-01-01 04:00:00,03eddf75,Fridge 2,Fridge,,,,30.128,0.030
2020-01-01 05:00:00,783fbb30,Motor 4,Mystery Motor,,,,465.939,0.466
2020-01-01 05:00:00,000f976b,Light 2,Light,,,,1.944,0.002
2020-01-01 05:00:00,c783b11c,AC 5,AC,,,,8.057,0.008
2020-01-01 05:00:00,e3eaa9b7,AC 4,AC,,,,587.393,0.587
2020-01-01 05:00:00,mains,Total Usage,,,,,1996.853,1.997
2020-01-01 05:00:00,always_on,Always On,AlwaysOn,,,,527.733,0.528
2020-01-01 05:00:00,03eddf75,Fridge 2,Fridge,,,,100.600,0.101
2020-01-01 06:00:00,000f976b,Light 2,Light,,,,1.944,0.002
2020-01-01 06:00:00,2867db67,Heat pump,Heat Pump,,,,100.689,0.101
2020-01-01 06:00:00,c783b11c,AC 5,AC,,,,4.461,0.004
2020-01-01 06:00:00,e3eaa9b7,AC 4,AC,,,,369.775,0.370
2020-01-01 06:00:00,mains,Total Usage,,,,,2213.556,2.214
2020-01-01 06:00:00,always_on,Always On,AlwaysOn,,,,534.133,0.534
2020-01-01 06:00:00,03eddf75,Fridge 2,Fridge,,,,33.044,0.033
2020-01-01 07:00:00,783fbb30,Motor 4,Mystery Motor,,,,337.522,0.338
2020-01-01 07:00:00,000f976b,Light 2,Light,,,,17.891,0.018
2020-01-01 07:00:00,a28ba2c6,Device 4,Mystery Device,,,,6.340,0.006
2020-01-01 07:00:00,c783b11c,AC 5,AC,,,,8.346,0.008
2020-01-01 07:00:00,e3eaa9b7,AC 4,AC,,,,584.663,0.585
2020-01-01 07:00:00,01f015b7,Coffee Maker,Coffee Maker,,,,93.131,0.093
2020-01-01 07:00:00,mains,Total Usage,,,,,2177.420,2.177
2020-01-01 07:00:00,always_on,Always On,AlwaysOn,,,,535.800,0.536
2020-01-01 07:00:00,0b50b3cf,Device 1,Mystery Device,,,,7.593,0.008
2020-01-01 07:00:00,03eddf75,Fridge 2,Fridge,,,,76.720,0.077
2020-01-01 08:00:00,000f976b,Light 2,Light,,,,35.194,0.035
2020-01-01 08:00:00,2867db67,Heat pump,Heat Pump,,,,96.572,0.097
2020-01-01 08:00:00,a28ba2c6,Device 4,Mystery Device,,,,32.420,0.032
2020-01-01 08:00:00,c783b11c,AC 5,AC,,,,4.173,0.004
2020-01-01 08:00:00,e3eaa9b7,AC 4,AC,,,,273.435,0.273
2020-01-01 08:00:00,01f015b7,Coffee Maker,Coffee Maker,,,,89.332,0.089
2020-01-01 08:00:00,mains,Total Usage,,,,,2301.708,2.302
2020-01-01 08:00:00,always_on,Always On,AlwaysOn,,,,544.366,0.544
2020-01-01 08:00:00,0b50b3cf,Device 1,Mystery Device,,,,19.489,0.019
2020-01-01 08:00:00,03eddf75,Fridge 2,Fridge,,,,59.407,0.059
2020-01-01 09:00:00,783fbb30,Motor 4,Mystery Motor,,,,366.429,0.366
2020-01-01 09:00:00,000f976b,Light 2,Light,,,,3.875,0.004
2020-01-01 09:00:00,c783b11c,AC 5,AC,,,,7.769,0.008
2020-01-01 09:00:00,e3eaa9b7,AC 4,AC,,,,583.224,0.583
2020-01-01 09:00:00,01f015b7,Coffee Maker,Coffee Maker,,,,69.025,0.069
2020-01-01 09:00:00,mains,Total Usage,,,,,2346.524,2.347
2020-01-01 09:00:00,2593b8f0,Fan,Fan,,,,11.255,0.011
2020-01-01 09:00:00,always_on,Always On,AlwaysOn,,,,548.000,0.548
2020-01-01 09:00:00,03eddf75,Fridge 2,Fridge,,,,94.084,0.094
2020-01-01 10:00:00,2e7bf875,Heat 3,Coffee Maker,,,,40.592,0.041
2020-01-01 10:00:00,000f976b,Light 2,Light,,,,1.944,0.002
2020-01-01 10:00:00,2867db67,Heat pump,Heat Pump,,,,51.078,0.051
2020-01-01 10:00:00,c783b11c,AC 5,AC,,,,4.750,0.005
2020-01-01 10:00:00,e3eaa9b7,AC 4,AC,,,,284.746,0.285
2020-01-01 10:00:00,01f015b7,Coffee Maker,Coffee Maker,,,,4.370,0.004
2020-01-01 10:00:00,mains,Total Usage,,,,,2013.382,2.013
2020-01-01 10:00:00,36a3ac21,Microwave,Microwave,,,,3.013,0.003
2020-01-01 10:00:00,always_on,Always On,AlwaysOn,,,,548.000,0.548
2020-01-01 10:00:00,03eddf75,Fridge 2,Fridge,,,,25.420,0.025
2020-01-01 11:00:00,783fbb30,Motor 4,Mystery Motor,,,,50.556,0.051
2020-01-01 11:00:00,000f976b,Light 2,Light,,,,45.295,0.045
2020-01-01 11:00:00,a28ba2c6,Device 4,Mystery Device,,,,33.994,0.034
2020-01-01 11:00:00,c783b11c,AC 5,AC,,,,7.769,0.008
2020-01-01 11:00:00,e3eaa9b7,AC 4,AC,,,,330.164,0.330
2020-01-01 11:00:00,01f015b7,Coffee Maker,Coffee Maker,,,,30.318,0.030
2020-01-01 11:00:00,312d0d50,Heat 5,Mystery Heat,,,,96.400,0.096
2020-01-01 11:00:00,mains,Total Usage,,,,,2080.196,2.080
2020-01-01 11:00:00,always_on,Always On,AlwaysOn,,,,548.000,0.548
2020-01-01 11:00:00,0b50b3cf,Device 1,Mystery Device,,,,24.028,0.024
2020-01-01 11:00:00,03eddf75,Fridge 2,Fridge,,,,51.299,0.051
2020-01-01 12:00:00,783fbb30,Motor 4,Mystery Motor,,,,235.634,0.236
2020-01-01 12:00:00,000f976b,Light 2,Light,,,,25.909,0.026
2020-01-01 12:00:00,a28ba2c6,Device 4,Mystery Device,,,,23.749,0.024
2020-01-01 12:00:00,c783b11c,AC 5,AC,,,,4.461,0.004
2020-01-01 12:00:00,e3eaa9b7,AC 4,AC,,,,445.461,0.445
2020-01-01 12:00:00,01f015b7,Coffee Maker,Coffee Maker,,,,71.514,0.072
2020-01-01 12:00:00,312d0d50,Heat 5,Mystery Heat,,,,3.568,0.004
2020-01-01 12:00:00,mains,Total Usage,,,,,2321.976,2.322
2020-01-01 12:00:00,always_on,Always On,AlwaysOn,,,,548.000,0.548
2020-01-01 12:00:00,0b50b3cf,Device 1,Mystery Device,,,,14.535,0.015
2020-01-01 12:00:00,03eddf75,Fridge 2,Fridge,,,,70.754,0.071
2020-01-01 13:00:00,783fbb30,Motor 4,Mystery Motor,,,,256.758,0.257
2020-01-01 13:00:00,000f976b,Light 2,Light,,,,3.888,0.004
2020-01-01 13:00:00,2867db67,Heat pump,Heat Pump,,,,28.911,0.029
2020-01-01 13:00:00,c783b11c,AC 5,AC,,,,3.595,0.004
2020-01-01 13:00:00,e3eaa9b7,AC 4,AC,,,,245.195,0.245
2020-01-01 13:00:00,01f015b7,Coffee Maker,Coffee Maker,,,,50.963,0.051
2020-01-01 13:00:00,mains,Total Usage,,,,,1959.509,1.960
2020-01-01 13:00:00,always_on,Always On,AlwaysOn,,,,548.000,0.548
2020-01-01 13:00:00,720e5d0c,Motor 1,Mystery Motor,,,,0.032,0.000
2020-01-01 13:00:00,03eddf75,Fridge 2,Fridge,,,,95.251,0.095
2020-01-01 14:00:00,783fbb30,Motor 4,Mystery Motor,,,,189.033,0.189
2020-01-01 14:00:00,000f976b,Light 2,Light,,,,34.965,0.035
2020-01-01 14:00:00,2867db67,Heat pump,Heat Pump,,,,76.000,0.076
2020-01-01 14:00:00,a28ba2c6,Device 4,Mystery Device,,,,24.563,0.025
2020-01-01 14:00:00,c783b11c,AC 5,AC,,,,4.173,0.004
2020-01-01 14:00:00,e3eaa9b7,AC 4,AC,,,,439.768,0.440
2020-01-01 14:00:00,mains,Total Usage,,,,,2242.342,2.242
2020-01-01 14:00:00,always_on,Always On,AlwaysOn,,,,551.333,0.551
2020-01-01 14:00:00,0b50b3cf,Device 1,Mystery Device,,,,18.209,0.018
2020-01-01 14:00:00,03eddf75,Fridge 2,Fridge,,,,64.174,0.064
2020-01-01 15:00:00,5ec23b7e,Dishwasher,Dishwasher,,,,66.899,0.067
2020-01-01 15:00:00,783fbb30,Motor 4,Mystery Motor,,,,286.191,0.286
2020-01-01 15:00:00,000f976b,Light 2,Light,,,,20.246,0.020
2020-01-01 15:00:00,a28ba2c6,Device 4,Mystery Device,,,,15.944,0.016
2020-01-01 15:00:00,c783b11c,AC 5,AC,,,,3.595,0.004
2020-01-01 15:00:00,e3eaa9b7,AC 4,AC,,,,260.559,0.261
2020-01-01 15:00:00,mains,Total Usage,,,,,1872.498,1.872
2020-01-01 15:00:00,36a3ac21,Microwave,Microwave,,,,24.936,0.025
2020-01-01 15:00:00,always_on,Always On,AlwaysOn,,,,553.000,0.553
2020-01-01 15:00:00,0b50b3cf,Device 1,Mystery Device,,,,10.079,0.010
2020-01-01 15:00:00,03eddf75,Fridge 2,Fridge,,,,77.921,0.078
2020-01-01 16:00:00,5ec23b7e,Dishwasher,Dishwasher,,,,967.788,0.968
2020-01-01 16:00:00,783fbb30,Motor 4,Mystery Motor,,,,96.295,0.096
2020-01-01 16:00:00,000f976b,Light 2,Light,,,,1.931,0.002
2020-01-01 16:00:00,c783b11c,AC 5,AC,,,,381.684,0.382
2020-01-01 16:00:00,e3eaa9b7,AC 4,AC,,,,306.178,0.306
2020-01-01 16:00:00,mains,Total Usage,,,,,2865.734,2.866
2020-01-01 16:00:00,always_on,Always On,AlwaysOn,,,,553.000,0.553
2020-01-01 16:00:00,03eddf75,Fridge 2,Fridge,,,,97.706,0.098
2020-01-01 17:00:00,2e7bf875,Heat 3,Coffee Maker,,,,165.184,0.165
2020-01-01 17:00:00,5ec23b7e,Dishwasher,Dishwasher,,,,114.494,0.114
2020-01-01 17:00:00,000f976b,Light 2,Light,,,,1.944,0.002
2020-01-01 17:00:00,2867db67,Heat pump,Heat Pump,,,,37.355,0.037
2020-01-01 17:00:00,c783b11c,AC 5,AC,,,,303.733,0.304
2020-01-01 17:00:00,e3eaa9b7,AC 4,AC,,,,282.596,0.283
2020-01-01 17:00:00,mains,Total Usage,,,,,2561.902,2.562
2020-01-01 17:00:00,2593b8f0,Fan,Fan,,,,94.471,0.094
2020-01-01 17:00:00,36a3ac21,Microwave,Microwave,,,,7.255,0.007
2020-01-01 17:00:00,always_on,Always On,AlwaysOn,,,,553.000,0.553
2020-01-01 17:00:00,03eddf75,Fridge 2,Fridge,,,,100.658,0.101
2020-01-01 18:00:00,783fbb30,Motor 4,Mystery Motor,,,,17.052,0.017
2020-01-01 18:00:00,000f976b,Light 2,Light,,,,1.944,0.002
2020-01-01 18:00:00,c783b11c,AC 5,AC,,,,8.057,0.008
2020-01-01 18:00:00,e3eaa9b7,AC 4,AC,,,,240.932,0.241
2020-01-01 18:00:00,mains,Total Usage,,,,,1641.111,1.641
2020-01-01 18:00:00,2593b8f0,Fan,Fan,,,,30.384,0.030
2020-01-01 18:00:00,always_on,Always On,AlwaysOn,,,,553.000,0.553
2020-01-01 18:00:00,03eddf75,Fridge 2,Fridge,,,,99.627,0.100
2020-01-01 19:00:00,783fbb30,Motor 4,Mystery Motor,,,,258.452,0.258
2020-01-01 19:00:00,000f976b,Light 2,Light,,,,54.726,0.055
2020-01-01 19:00:00,a28ba2c6,Device 4,Mystery Device,,,,41.763,0.042
2020-01-01 19:00:00,c783b11c,AC 5,AC,,,,4.461,0.004
2020-01-01 19:00:00,e3eaa9b7,AC 4,AC,,,,515.930,0.516
2020-01-01 19:00:00,mains,Total Usage,,,,,2483.068,2.483
2020-01-01 19:00:00,always_on,Always On,AlwaysOn,,,,553.000,0.553
2020-01-01 19:00:00,0b50b3cf,Device 1,Mystery Device,,,,29.113,0.029
2020-01-01 19:00:00,03eddf75,Fridge 2,Fridge,,,,37.190,0.037
2020-01-01 20:00:00,000f976b,Light 2,Light,,,,1.944,0.002
2020-01-01 20:00:00,2867db67,Heat pump,Heat Pump,,,,56.672,0.057
2020-01-01 20:00:00,c783b11c,AC 5,AC,,,,211.157,0.211
2020-01-01 20:00:00,e3eaa9b7,AC 4,AC,,,,107.093,0.107
2020-01-01 20:00:00,mains,Total Usage,,,,,1986.989,1.987
2020-01-01 20:00:00,36a3ac21,Microwave,Microwave,,,,154.461,0.154
2020-01-01 20:00:00,always_on,Always On,AlwaysOn,,,,553.000,0.553
2020-01-01 20:00:00,03eddf75,Fridge 2,Fridge,,,,100.390,0.100
2020-01-01 21:00:00,000f976b,Light 2,Light,,,,2.423,0.002
2020-01-01 21:00:00,c783b11c,AC 5,AC,,,,8.923,0.009
2020-01-01 21:00:00,e3eaa9b7,AC 4,AC,,,,479.559,0.480
2020-01-01 21:00:00,mains,Total Usage,,,,,2125.342,2.125
2020-01-01 21:00:00,always_on,Always On,AlwaysOn,,,,553.000,0.553
2020-01-01 21:00:00,03eddf75,Fridge 2,Fridge,,,,100.222,0.100
2020-01-01 22:00:00,783fbb30,Motor 4,Mystery Motor,,,,339.274,0.339
2020-01-01 22:00:00,000f976b,Light 2,Light,,,,3.396,0.003
2020-01-01 22:00:00,c783b11c,AC 5,AC,,,,3.595,0.004
2020-01-01 22:00:00,e3eaa9b7,AC 4,AC,,,,436.786,0.437
