# Please note that there may be discrepancies between your electric bill and what Sense reports due to data interruptions (such as Wi-Fi signal loss or loss of power) or other issues.
DateTime,Device ID,Name,Device Type,Device Make,Device Model,Device Location,Avg Wattage,kWh
2020-01-01 00:00:00,fe39b6d0,Light 2,Light,,,,15.397,0.015
2020-01-01 00:00:00,a5d71ff7,AC 4,AC,,,,466.045,0.466
2020-01-01 00:00:00,39d864c1,Fridge 5,Fridge,,,,90.212,0.090
2020-01-01 00:00:00,6a0788e4,Fridge 4,Fridge,,,,8.669,0.009
2020-01-01 00:00:00,714059b7,AC 3,AC,,,,393.766,0.394
2020-01-01 00:00:00,mains,Total Usage,,,,,1816.177,1.816
2020-01-01 00:00:00,always_on,Always On,AlwaysOn,,,,595.000,0.595
2020-01-01 00:00:00,041939a8,Motor 1,Mystery Motor,,,,233.410,0.233
2020-01-01 00:00:00,170e3ed6,Device 1,Mystery Device,,,,2.259,0.002
2020-01-01 01:00:00,fe39b6d0,Light 2,Light,,,,86.745,0.087
2020-01-01 01:00:00,a5d71ff7,AC 4,AC,,,,584.877,0.585
2020-01-01 01:00:00,6a0788e4,Fridge 4,Fridge,,,,22.900,0.023
2020-01-01 01:00:00,714059b7,AC 3,AC,,,,469.607,0.470
2020-01-01 01:00:00,mains,Total Usage,,,,,3404.050,3.404
2020-01-01 01:00:00,always_on,Always On,AlwaysOn,,,,595.000,0.595
2020-01-01 01:00:00,90e29231,Dryer,Dryer,,,,85.532,0.086
2020-01-01 01:00:00,041939a8,Motor 1,Mystery Motor,,,,283.807,0.284
2020-01-01 01:00:00,170e3ed6,Device 1,Mystery Device,,,,18.936,0.019
2020-01-01 02:00:00,fe39b6d0,Light 2,Light,,,,83.393,0.083
2020-01-01 02:00:00,a5d71ff7,AC 4,AC,,,,805.518,0.806
2020-01-01 02:00:00,39d864c1,Fridge 5,Fridge,,,,3.948,0.004
2020-01-01 02:00:00,6a0788e4,Fridge 4,Fridge,,,,46.002,0.046
2020-01-01 02:00:00,714059b7,AC 3,AC,,,,614.458,0.614
2020-01-01 02:00:00,mains,Total Usage,,,,,5864.533,5.865
