,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2017,1,1,0,0,0,0,0,0.9,-4.0,89.09
1,2017,1,1,0,30,0,0,0,1.0,-4.0,94.03
2,2017,1,1,1,0,0,0,0,1.2000000000000002,-5.0,99.18
3,2017,1,1,1,30,0,0,0,1.3,-6.0,104.51
4,2017,1,1,2,0,0,0,0,1.5,-7.0,109.98
5,2017,1,1,2,30,0,0,0,1.5,-7.0,115.54
6,2017,1,1,3,0,0,0,0,1.6,-8.0,121.18
7,2017,1,1,3,30,0,0,0,1.6,-8.0,126.85
8,2017,1,1,4,0,0,0,0,1.7000000000000002,-8.0,132.53
9,2017,1,1,4,30,0,0,0,1.7000000000000002,-8.0,138.15
10,2017,1,1,5,0,0,0,0,1.7000000000000002,-9.0,143.66
11,2017,1,1,5,30,0,0,0,1.6,-9.0,148.94
12,2017,1,1,6,0,0,0,0,1.6,-9.0,153.83
13,2017,1,1,6,30,0,0,0,1.6,-9.0,158.03
14,2017,1,1,7,0,0,0,0,1.6,-9.0,161.04
15,2017,1,1,7,30,0,0,0,1.6,-9.0,162.24
16,2017,1,1,8,0,0,0,0,1.6,-10.0,161.25
17,2017,1,1,8,30,0,0,0,1.7000000000000002,-10.0,158.39
18,2017,1,1,9,0,0,0,0,1.8,-10.0,154.29
19,2017,1,1,9,30,0,0,0,1.9,-9.0,149.45000000000005
20,2017,1,1,10,0,0,0,0,2.0,-9.0,144.19
21,2017,1,1,10,30,0,0,0,2.0,-9.0,138.70000000000002
22,2017,1,1,11,0,0,0,0,2.1,-9.0,133.08
23,2017,1,1,11,30,0,0,0,2.1,-9.0,127.41
24,2017,1,1,12,0,0,0,0,2.2,-9.0,121.73
25,2017,1,1,12,30,0,0,0,2.1,-9.0,116.09
26,2017,1,1,13,0,0,0,0,2.1,-9.0,110.51
27,2017,1,1,13,30,0,0,0,2.0,-9.0,105.03
28,2017,1,1,14,0,0,0,0,2.0,-9.0,99.68
29,2017,1,1,14,30,0,0,0,2.0,-9.0,94.51
30,2017,1,1,15,0,0,0,0,2.0,-9.0,89.53
31,2017,1,1,15,30,67,31,405,2.0,-7.0,84.82000000000002
32,2017,1,1,16,0,145,47,585,2.1,-6.0,80.42
33,2017,1,1,16,30,223,59,694,2.5,-4.0,76.38
34,2017,1,1,17,0,84,84,0,3.0,-2.0,72.77
35,2017,1,1,17,30,102,102,0,2.8000000000000003,-1.0,69.66
36,2017,1,1,18,0,99,99,0,2.7,0.0,67.14
37,2017,1,1,18,30,108,108,0,2.7,0.0,65.26
38,2017,1,1,19,0,137,137,0,2.8000000000000003,0.0,64.08
