,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2018,1,1,0,0,32,11,333,0.5,9.3,86.3
1,2018,1,1,0,30,2,3,34,0.7000000000000001,8.4,91.65
2,2018,1,1,1,0,0,0,0,0.8,7.5,97.04
3,2018,1,1,1,30,0,0,0,1.0,7.0,102.61
4,2018,1,1,2,0,0,0,0,1.1,6.5,108.32
5,2018,1,1,2,30,0,0,0,1.2000000000000002,6.0,114.14
6,2018,1,1,3,0,0,0,0,1.2000000000000002,5.6000000000000005,120.04
7,2018,1,1,3,30,0,0,0,1.3,5.2,126.0
8,2018,1,1,4,0,0,0,0,1.4,4.800000000000002,131.99
9,2018,1,1,4,30,0,0,0,1.4,4.5,137.96
10,2018,1,1,5,0,0,0,0,1.4,4.1000000000000005,143.87
11,2018,1,1,5,30,0,0,0,1.4,3.8,149.65
12,2018,1,1,6,0,0,0,0,1.4,3.4000000000000004,155.16
13,2018,1,1,6,30,0,0,0,1.4,3.1,160.14
14,2018,1,1,7,0,0,0,0,1.4,2.7,164.05
15,2018,1,1,7,30,0,0,0,1.4,2.4000000000000004,165.95000000000005
16,2018,1,1,8,0,0,0,0,1.4,2.0,165.03
17,2018,1,1,8,30,0,0,0,1.4,1.7000000000000002,161.72
18,2018,1,1,9,0,0,0,0,1.4,1.5,157.04
19,2018,1,1,9,30,0,0,0,1.4,1.2000000000000002,151.68
20,2018,1,1,10,0,0,0,0,1.4,0.9,145.98
21,2018,1,1,10,30,0,0,0,1.3,0.8,140.1
22,2018,1,1,11,0,0,0,0,1.3,0.7000000000000001,134.14
23,2018,1,1,11,30,0,0,0,1.3,0.6000000000000001,128.16
24,2018,1,1,12,0,0,0,0,1.3,0.5,122.18
25,2018,1,1,12,30,0,0,0,1.3,0.4,116.25
26,2018,1,1,13,0,0,0,0,1.3,0.4,110.4
27,2018,1,1,13,30,0,0,0,1.3,0.30000000000000004,104.64
28,2018,1,1,14,0,0,0,0,1.3,0.2,99.01
29,2018,1,1,14,30,0,0,0,1.3,1.0,93.55
30,2018,1,1,15,0,25,16,249,1.2000000000000002,1.8,88.03
31,2018,1,1,15,30,99,30,581,1.5,4.1000000000000005,83.16
32,2018,1,1,16,0,182,40,713,1.7000000000000002,6.300000000000002,78.49
33,2018,1,1,16,30,269,45,819,1.6,7.800000000000002,74.15
34,2018,1,1,17,0,345,50,873,1.5,9.4,70.24
