date,value
2019-12-01 00:00:00,
2019-12-01 00:15:00,
2019-12-01 00:30:00,
2019-12-01 00:45:00,
2019-12-01 01:00:00,
2019-12-01 01:15:00,
2019-12-01 01:30:00,
2019-12-01 01:45:00,
2019-12-01 02:00:00,
2019-12-01 02:15:00,
2019-12-01 02:30:00,
2019-12-01 02:45:00,
2019-12-01 03:00:00,
2019-12-01 03:15:00,
2019-12-01 03:30:00,
2019-12-01 03:45:00,
2019-12-01 04:00:00,
2019-12-01 04:15:00,
2019-12-01 04:30:00,
2019-12-01 04:45:00,
2019-12-01 05:00:00,0.0
2019-12-01 05:15:00,0.0
2019-12-01 05:30:00,
2019-12-01 05:45:00,
2019-12-01 06:00:00,
2019-12-01 06:15:00,
2019-12-01 06:30:00,
2019-12-01 06:45:00,
2019-12-01 07:00:00,
2019-12-01 07:15:00,0.0
2019-12-01 07:30:00,0.0
2019-12-01 07:45:00,48.0
2019-12-01 08:00:00,113.0
2019-12-01 08:15:00,283.0
2019-12-01 08:30:00,584.0
2019-12-01 08:45:00,739.0
2019-12-01 09:00:00,822.0
2019-12-01 09:15:00,1149.0
2019-12-01 09:30:00,1342.0
2019-12-01 09:45:00,1632.0
2019-12-01 10:00:00,1673.0
2019-12-01 10:15:00,1904.0
2019-12-01 10:30:00,2077.0
2019-12-01 10:45:00,2262.0
2019-12-01 11:00:00,2486.0
2019-12-01 11:15:00,3029.0
2019-12-01 11:30:00,3151.0
2019-12-01 11:45:00,2721.0
2019-12-01 12:00:00,3040.0
2019-12-01 12:15:00,3143.0
2019-12-01 12:30:00,3845.0
2019-12-01 12:45:00,3707.0
2019-12-01 13:00:00,2678.0
2019-12-01 13:15:00,2655.0
2019-12-01 13:30:00,2746.0
2019-12-01 13:45:00,2610.0
2019-12-01 14:00:00,2330.0
2019-12-01 14:15:00,3273.0
2019-12-01 14:30:00,2804.0
2019-12-01 14:45:00,2323.0
2019-12-01 15:00:00,2060.0
2019-12-01 15:15:00,1537.0
2019-12-01 15:30:00,1214.0
2019-12-01 15:45:00,1023.0
2019-12-01 16:00:00,660.0
2019-12-01 16:15:00,474.0
2019-12-01 16:30:00,306.0
2019-12-01 16:45:00,137.0
2019-12-01 17:00:00,5.0
2019-12-01 17:15:00,0.0
2019-12-01 17:30:00,
2019-12-01 17:45:00,
2019-12-01 18:00:00,
2019-12-01 18:15:00,
2019-12-01 18:30:00,
2019-12-01 18:45:00,
2019-12-01 19:00:00,0.0
2019-12-01 19:15:00,
2019-12-01 19:30:00,
2019-12-01 19:45:00,
2019-12-01 20:00:00,
2019-12-01 20:15:00,
2019-12-01 20:30:00,
2019-12-01 20:45:00,
2019-12-01 21:00:00,
2019-12-01 21:15:00,
2019-12-01 21:30:00,
2019-12-01 21:45:00,
2019-12-01 22:00:00,
2019-12-01 22:15:00,
2019-12-01 22:30:00,
2019-12-01 22:45:00,
2019-12-01 23:00:00,
2019-12-01 23:15:00,
2019-12-01 23:30:00,
2019-12-01 23:45:00,
2019-12-02 00:00:00,
2019-12-02 00:15:00,
2019-12-02 00:30:00,
2019-12-02 00:45:00,
2019-12-02 01:00:00,
2019-12-02 01:15:00,
2019-12-02 01:30:00,
2019-12-02 01:45:00,
2019-12-02 02:00:00,
2019-12-02 02:15:00,
2019-12-02 02:30:00,
2019-12-02 02:45:00,
2019-12-02 03:00:00,
2019-12-02 03:15:00,
2019-12-02 03:30:00,
2019-12-02 03:45:00,
2019-12-02 04:00:00,
2019-12-02 04:15:00,
2019-12-02 04:30:00,
2019-12-02 04:45:00,
2019-12-02 05:00:00,0.0
2019-12-02 05:15:00,
2019-12-02 05:30:00,
2019-12-02 05:45:00,
2019-12-02 06:00:00,
2019-12-02 06:15:00,
2019-12-02 06:30:00,
2019-12-02 06:45:00,
2019-12-02 07:00:00,
2019-12-02 07:15:00,0.0
2019-12-02 07:30:00,0.0
2019-12-02 07:45:00,46.0
2019-12-02 08:00:00,125.0
2019-12-02 08:15:00,270.0
2019-12-02 08:30:00,515.0
2019-12-02 08:45:00,866.0
2019-12-02 09:00:00,1712.0
2019-12-02 09:15:00,1976.0
2019-12-02 09:30:00,2330.0
2019-12-02 09:45:00,2769.0
2019-12-02 10:00:00,2742.0
2019-12-02 10:15:00,3152.0
2019-12-02 10:30:00,3864.0
2019-12-02 10:45:00,3638.0
2019-12-02 11:00:00,2414.0
2019-12-02 11:15:00,3392.0
2019-12-02 11:30:00,2661.0
2019-12-02 11:45:00,3074.0
2019-12-02 12:00:00,4462.0
2019-12-02 12:15:00,4261.0
2019-12-02 12:30:00,3075.0
2019-12-02 12:45:00,2217.0
2019-12-02 13:00:00,2621.0
2019-12-02 13:15:00,2551.0
2019-12-02 13:30:00,2128.0
2019-12-02 13:45:00,2146.0
2019-12-02 14:00:00,1977.0
2019-12-02 14:15:00,2946.0
2019-12-02 14:30:00,3450.0
2019-12-02 14:45:00,2998.0
2019-12-02 15:00:00,2844.0
2019-12-02 15:15:00,2319.0
2019-12-02 15:30:00,2075.0
2019-12-02 15:45:00,1825.0
2019-12-02 16:00:00,1458.0
2019-12-02 16:15:00,1696.0
2019-12-02 16:30:00,1145.0
2019-12-02 16:45:00,447.0
2019-12-02 17:00:00,9.0
2019-12-02 17:15:00,0.0
2019-12-02 17:30:00,
2019-12-02 17:45:00,
2019-12-02 18:00:00,
2019-12-02 18:15:00,
2019-12-02 18:30:00,
2019-12-02 18:45:00,
2019-12-02 19:00:00,0.0
2019-12-02 19:15:00,0.0
2019-12-02 19:30:00,
2019-12-02 19:45:00,
2019-12-02 20:00:00,
2019-12-02 20:15:00,
2019-12-02 20:30:00,
2019-12-02 20:45:00,
2019-12-02 21:00:00,
2019-12-02 21:15:00,
2019-12-02 21:30:00,
2019-12-02 21:45:00,
2019-12-02 22:00:00,
2019-12-02 22:15:00,
2019-12-02 22:30:00,
2019-12-02 22:45:00,
2019-12-02 23:00:00,
2019-12-02 23:15:00,
2019-12-02 23:30:00,
2019-12-02 23:45:00,
2019-12-03 00:00:00,
2019-12-03 00:15:00,
2019-12-03 00:30:00,
2019-12-03 00:45:00,
2019-12-03 01:00:00,
2019-12-03 01:15:00,
2019-12-03 01:30:00,
2019-12-03 01:45:00,
2019-12-03 02:00:00,
2019-12-03 02:15:00,
2019-12-03 02:30:00,
2019-12-03 02:45:00,
2019-12-03 03:00:00,
2019-12-03 03:15:00,
2019-12-03 03:30:00,
2019-12-03 03:45:00,
2019-12-03 04:00:00,
2019-12-03 04:15:00,
2019-12-03 04:30:00,
2019-12-03 04:45:00,
2019-12-03 05:00:00,0.0
2019-12-03 05:15:00,0.0
2019-12-03 05:30:00,
2019-12-03 05:45:00,
2019-12-03 06:00:00,
2019-12-03 06:15:00,
2019-12-03 06:30:00,
2019-12-03 06:45:00,
2019-12-03 07:00:00,
2019-12-03 07:15:00,0.0
2019-12-03 07:30:00,4.0
2019-12-03 07:45:00,120.0
2019-12-03 08:00:00,290.0
2019-12-03 08:15:00,799.0
2019-12-03 08:30:00,956.0
2019-12-03 08:45:00,973.0
2019-12-03 09:00:00,1372.0
2019-12-03 09:15:00,2066.0
2019-12-03 09:30:00,1844.0
2019-12-03 09:45:00,1841.0
2019-12-03 10:00:00,2222.0
2019-12-03 10:15:00,2268.0
2019-12-03 10:30:00,2377.0
2019-12-03 10:45:00,2594.0
2019-12-03 11:00:00,1644.0
2019-12-03 11:15:00,2913.0
2019-12-03 11:30:00,3174.0
2019-12-03 11:45:00,3221.0
2019-12-03 12:00:00,3224.0
2019-12-03 12:15:00,2808.0
2019-12-03 12:30:00,3292.0
2019-12-03 12:45:00,3646.0
2019-12-03 13:00:00,3875.0
2019-12-03 13:15:00,3609.0
2019-12-03 13:30:00,3287.0
2019-12-03 13:45:00,2296.0
2019-12-03 14:00:00,2256.0
2019-12-03 14:15:00,2519.0
2019-12-03 14:30:00,2128.0
2019-12-03 14:45:00,1695.0
2019-12-03 15:00:00,1737.0
2019-12-03 15:15:00,1336.0
2019-12-03 15:30:00,1158.0
2019-12-03 15:45:00,849.0
2019-12-03 16:00:00,588.0
2019-12-03 16:15:00,387.0
2019-12-03 16:30:00,224.0
2019-12-03 16:45:00,92.0
2019-12-03 17:00:00,0.0
2019-12-03 17:15:00,0.0
2019-12-03 17:30:00,
2019-12-03 17:45:00,
2019-12-03 18:00:00,
2019-12-03 18:15:00,
2019-12-03 18:30:00,
2019-12-03 18:45:00,
2019-12-03 19:00:00,0.0
2019-12-03 19:15:00,
2019-12-03 19:30:00,
2019-12-03 19:45:00,
2019-12-03 20:00:00,
2019-12-03 20:15:00,
2019-12-03 20:30:00,
2019-12-03 20:45:00,
2019-12-03 21:00:00,
2019-12-03 21:15:00,
2019-12-03 21:30:00,
2019-12-03 21:45:00,
2019-12-03 22:00:00,
2019-12-03 22:15:00,
2019-12-03 22:30:00,
2019-12-03 22:45:00,
