date,precipIntensity,precipProbability,precipAccumulation,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,windGust,cloudCover,uvIndex,visibility,ozone
2015-01-31 00:00:00,0.0053,0.75,,rain,39.47,37.12,37.41,0.92,,3.58,34,5.69,1,0,9.997,
2015-01-31 01:00:00,0.0004,0.31,,rain,41.09,38.63,37.4,0.87,,3.94,68,6.43,1,0,9.997,
2015-01-31 02:00:00,0,0,,,39.62,39.62,38.09,0.94,,2.94,44,5.93,1,0,9.997,
2015-01-31 03:00:00,0,0,,,39.4,37.45,37.75,0.94,,3.2,72,5.42,1,0,9.997,
2015-01-31 04:00:00,0,0,,,39,35.66,39,1,,4.56,41,6.19,1,0,9.997,
2015-01-31 05:00:00,0,0,,,40.66,40.66,40.19,0.98,,2.95,70,5.01,1,0,9.997,
2015-01-31 06:00:00,0,0,,,40.48,38.58,39.87,0.98,,3.3,13,5.43,1,0,9.997,
2015-01-31 07:00:00,0,0,,,39.5,39.5,39.19,0.99,,2.25,63,5.84,1,0,0.248,
2015-01-31 08:00:00,0,0,,,39.01,39.01,39.01,1,,2.21,107,6.66,1,0,0.248,
2015-01-31 09:00:00,0,0,,,40.11,40.11,40.11,1,,2.25,82,5.18,1,0,0.248,
2015-01-31 10:00:00,0,0,,,42.37,40.68,41.69,0.97,,3.35,31,8.15,1,1,9.997,
2015-01-31 11:00:00,0,0,,,47.36,45.36,40.43,0.77,,4.63,333,7.85,1,2,9.997,
2015-01-31 12:00:00,0,0,,,48.25,45.99,40.12,0.73,,5.28,61,9.78,0.75,3,9.997,
2015-01-31 13:00:00,0,0,,,49.6,47.28,39.59,0.68,,5.83,10,10.88,0.75,3,9.997,
2015-01-31 14:00:00,0,0,,,51.96,51.96,37.39,0.57,,5.88,342,10.64,0.75,3,9.997,
2015-01-31 15:00:00,0,0,,,51.1,51.1,37.11,0.59,,9.05,359,13.27,0.44,2,9.997,
2015-01-31 16:00:00,0,0,,,49.75,45.35,36.12,0.59,,11.18,3,12.91,0.75,1,9.997,
2015-01-31 17:00:00,0,0,,,51.25,51.25,34.76,0.53,,10.24,358,14.22,0.19,0,9.997,
2015-01-31 18:00:00,0,0,,,48.42,45.37,37.64,0.66,,6.82,323,11.82,0,0,9.997,
2015-01-31 19:00:00,0,0,,,43.46,39.9,36.83,0.77,,5.95,1,9.53,0,0,9.997,
2015-01-31 20:00:00,0,0,,,41.43,36.92,32.07,0.69,,6.89,26,10.46,0,0,9.997,
2015-01-31 21:00:00,0,0,,,41.58,39.65,31.28,0.67,,3.47,333,11,0.19,0,9.997,
2015-01-31 22:00:00,0,0,,,37.21,34.31,29.91,0.75,,3.79,31,12.45,0,0,9.997,
2015-01-31 23:00:00,0,0,,,39.4,36.03,30.73,0.71,,4.67,41,10.51,0,0,9.997,
2015-02-01 00:00:00,0,0,,,38.48,35.26,31.17,0.75,,4.32,16,10.77,0,0,9.997,
2015-02-01 01:00:00,0,0,,,37.99,34.44,29.13,0.7,,4.6,23,7.87,0,0,9.997,
2015-02-01 02:00:00,0,0,,,32.19,27.66,31.36,0.97,,4.61,10,8.68,0,0,9.997,
2015-02-01 03:00:00,0,0,,,30.61,25.22,29.48,0.96,,5.24,359,9.14,0,0,9.997,
2015-02-01 04:00:00,0,0,,,35.03,30.92,27.47,0.74,,4.68,20,7.7,0,0,9.997,
2015-02-01 05:00:00,0,0,,,27.83,23.96,25.99,0.93,,3.45,23,8.12,0,0,9.997,
2015-02-01 06:00:00,0,0,,,32.71,29.22,24.17,0.7,,3.71,106,7.09,0,0,9.997,
2015-02-01 07:00:00,0,0,,,32.7,30.04,24.25,0.71,,3.05,3,7.86,0.44,0,9.997,
2015-02-01 08:00:00,0,0,,,31.98,27.44,23.27,0.7,,4.59,78,4.77,0,0,9.997,
2015-02-01 09:00:00,0,0,,,37.12,34.68,30.07,0.75,,3.35,131,5.84,0,0,9.997,
2015-02-01 10:00:00,0,0,,,40.43,38.51,29.53,0.65,,3.3,107,5.69,0,1,9.997,
2015-02-01 11:00:00,0,0,,,44.26,44.26,33.17,0.65,,2.47,232,5.63,0,3,9.997,
