date,value
2018-11-01 00:00:00,
2018-11-01 00:15:00,
2018-11-01 00:30:00,
2018-11-01 00:45:00,
2018-11-01 01:00:00,
2018-11-01 01:15:00,
2018-11-01 01:30:00,
2018-11-01 01:45:00,
2018-11-01 02:00:00,
2018-11-01 02:15:00,
2018-11-01 02:30:00,
2018-11-01 02:45:00,
2018-11-01 03:00:00,
2018-11-01 03:15:00,
2018-11-01 03:30:00,
2018-11-01 03:45:00,
2018-11-01 04:00:00,
2018-11-01 04:15:00,
2018-11-01 04:30:00,
2018-11-01 04:45:00,
2018-11-01 05:00:00,
2018-11-01 05:15:00,
2018-11-01 05:30:00,0.0
2018-11-01 05:45:00,
2018-11-01 06:00:00,
2018-11-01 06:15:00,
2018-11-01 06:30:00,
2018-11-01 06:45:00,0.0
2018-11-01 07:00:00,10.0
2018-11-01 07:15:00,72.0
2018-11-01 07:30:00,190.0
2018-11-01 07:45:00,843.0
2018-11-01 08:00:00,1335.0
2018-11-01 08:15:00,1527.0
2018-11-01 08:30:00,948.0
2018-11-01 08:45:00,1196.0
2018-11-01 09:00:00,2091.0
2018-11-01 09:15:00,3082.0
2018-11-01 09:30:00,3562.0
2018-11-01 09:45:00,3165.0
2018-11-01 10:00:00,2843.0
2018-11-01 10:15:00,2508.0
2018-11-01 10:30:00,3290.0
2018-11-01 10:45:00,3262.0
2018-11-01 11:00:00,3554.0
2018-11-01 11:15:00,4129.0
2018-11-01 11:30:00,4298.0
2018-11-01 11:45:00,2940.0
2018-11-01 12:00:00,4433.0
2018-11-01 12:15:00,4779.0
2018-11-01 12:30:00,4735.0
2018-11-01 12:45:00,4707.0
2018-11-01 13:00:00,4660.0
2018-11-01 13:15:00,4617.0
2018-11-01 13:30:00,4575.0
2018-11-01 13:45:00,4418.0
2018-11-01 14:00:00,4185.0
2018-11-01 14:15:00,4004.0
2018-11-01 14:30:00,3804.0
2018-11-01 14:45:00,3531.0
2018-11-01 15:00:00,3183.0
2018-11-01 15:15:00,2827.0
2018-11-01 15:30:00,2521.0
2018-11-01 15:45:00,2101.0
2018-11-01 16:00:00,1692.0
2018-11-01 16:15:00,1195.0
2018-11-01 16:30:00,871.0
2018-11-01 16:45:00,545.0
2018-11-01 17:00:00,274.0
2018-11-01 17:15:00,26.0
2018-11-01 17:30:00,0.0
2018-11-01 17:45:00,
2018-11-01 18:00:00,
2018-11-01 18:15:00,
2018-11-01 18:30:00,
2018-11-01 18:45:00,
2018-11-01 19:00:00,
2018-11-01 19:15:00,
2018-11-01 19:30:00,0.0
2018-11-01 19:45:00,
2018-11-01 20:00:00,
2018-11-01 20:15:00,
2018-11-01 20:30:00,
2018-11-01 20:45:00,
2018-11-01 21:00:00,
2018-11-01 21:15:00,
2018-11-01 21:30:00,
2018-11-01 21:45:00,
2018-11-01 22:00:00,
2018-11-01 22:15:00,
2018-11-01 22:30:00,
2018-11-01 22:45:00,
2018-11-01 23:00:00,
2018-11-01 23:15:00,
2018-11-01 23:30:00,
2018-11-01 23:45:00,
2018-11-02 00:00:00,
2018-11-02 00:15:00,0.0
2018-11-02 00:30:00,
2018-11-02 00:45:00,
2018-11-02 01:00:00,
2018-11-02 01:15:00,
2018-11-02 01:30:00,
2018-11-02 01:45:00,
2018-11-02 02:00:00,0.0
2018-11-02 02:15:00,
2018-11-02 02:30:00,
2018-11-02 02:45:00,
2018-11-02 03:00:00,
2018-11-02 03:15:00,
2018-11-02 03:30:00,
2018-11-02 03:45:00,
2018-11-02 04:00:00,
2018-11-02 04:15:00,
2018-11-02 04:30:00,
2018-11-02 04:45:00,
2018-11-02 05:00:00,
2018-11-02 05:15:00,
2018-11-02 05:30:00,
2018-11-02 05:45:00,
2018-11-02 06:00:00,
2018-11-02 06:15:00,
2018-11-02 06:30:00,
2018-11-02 06:45:00,0.0
2018-11-02 07:00:00,20.0
2018-11-02 07:15:00,238.0
2018-11-02 07:30:00,493.0
2018-11-02 07:45:00,855.0
2018-11-02 08:00:00,1166.0
2018-11-02 08:15:00,1501.0
2018-11-02 08:30:00,1876.0
2018-11-02 08:45:00,2221.0
2018-11-02 09:00:00,2547.0
2018-11-02 09:15:00,2842.0
2018-11-02 09:30:00,3097.0
2018-11-02 09:45:00,3353.0
2018-11-02 10:00:00,3583.0
2018-11-02 10:15:00,3775.0
2018-11-02 10:30:00,3942.0
2018-11-02 10:45:00,4083.0
2018-11-02 11:00:00,4234.0
2018-11-02 11:15:00,4360.0
2018-11-02 11:30:00,4462.0
2018-11-02 11:45:00,4510.0
2018-11-02 12:00:00,4568.0
2018-11-02 12:15:00,4627.0
2018-11-02 12:30:00,4623.0
2018-11-02 12:45:00,4593.0
2018-11-02 13:00:00,4556.0
2018-11-02 13:15:00,4494.0
2018-11-02 13:30:00,4482.0
2018-11-02 13:45:00,4107.0
2018-11-02 14:00:00,4165.0
2018-11-02 14:15:00,4000.0
2018-11-02 14:30:00,3771.0
2018-11-02 14:45:00,2894.0
2018-11-02 15:00:00,2559.0
2018-11-02 15:15:00,2967.0
2018-11-02 15:30:00,2260.0
2018-11-02 15:45:00,1950.0
2018-11-02 16:00:00,1300.0
2018-11-02 16:15:00,526.0
2018-11-02 16:30:00,327.0
2018-11-02 16:45:00,495.0
2018-11-02 17:00:00,116.0
2018-11-02 17:15:00,2.0
2018-11-02 17:30:00,0.0
2018-11-02 17:45:00,
2018-11-02 18:00:00,
2018-11-02 18:15:00,
2018-11-02 18:30:00,
2018-11-02 18:45:00,
2018-11-02 19:00:00,
2018-11-02 19:15:00,
2018-11-02 19:30:00,0.0
2018-11-02 19:45:00,
2018-11-02 20:00:00,
2018-11-02 20:15:00,
2018-11-02 20:30:00,
2018-11-02 20:45:00,
2018-11-02 21:00:00,
2018-11-02 21:15:00,
2018-11-02 21:30:00,
2018-11-02 21:45:00,
2018-11-02 22:00:00,
2018-11-02 22:15:00,
2018-11-02 22:30:00,
2018-11-02 22:45:00,
2018-11-02 23:00:00,
2018-11-02 23:15:00,
2018-11-02 23:30:00,
2018-11-02 23:45:00,
2018-11-03 00:00:00,
2018-11-03 00:15:00,
2018-11-03 00:30:00,
2018-11-03 00:45:00,
2018-11-03 01:00:00,
2018-11-03 01:15:00,
2018-11-03 01:30:00,
2018-11-03 01:45:00,
2018-11-03 02:00:00,
2018-11-03 02:15:00,
