date,value
2015-08-01 00:00:00,
2015-08-01 00:15:00,
2015-08-01 00:30:00,
2015-08-01 00:45:00,
2015-08-01 01:00:00,
2015-08-01 01:15:00,
2015-08-01 01:30:00,
2015-08-01 01:45:00,
2015-08-01 02:00:00,
2015-08-01 02:15:00,
2015-08-01 02:30:00,
2015-08-01 02:45:00,
2015-08-01 03:00:00,
2015-08-01 03:15:00,
2015-08-01 03:30:00,
2015-08-01 03:45:00,
2015-08-01 04:00:00,
2015-08-01 04:15:00,
2015-08-01 04:30:00,
2015-08-01 04:45:00,
2015-08-01 05:00:00,
2015-08-01 05:15:00,
2015-08-01 05:30:00,0.0
2015-08-01 05:45:00,1.7842636
2015-08-01 06:00:00,26.443163
2015-08-01 06:15:00,61.76773
2015-08-01 06:30:00,83.76955
2015-08-01 06:45:00,130.6283
2015-08-01 07:00:00,170.61292
2015-08-01 07:15:00,247.08932
2015-08-01 07:30:00,389.45126
2015-08-01 07:45:00,422.07806
2015-08-01 08:00:00,609.2527
2015-08-01 08:15:00,582.7622
2015-08-01 08:30:00,762.86664
2015-08-01 08:45:00,1119.0374
2015-08-01 09:00:00,1198.6589
2015-08-01 09:15:00,874.7059
2015-08-01 09:30:00,780.8678
2015-08-01 09:45:00,1295.9407
2015-08-01 10:00:00,1364.9381
2015-08-01 10:15:00,1144.315
2015-08-01 10:30:00,1069.3301
2015-08-01 10:45:00,1473.4854
2015-08-01 11:00:00,1688.9314
2015-08-01 11:15:00,1798.395
2015-08-01 11:30:00,2021.5138
2015-08-01 11:45:00,1941.3892
2015-08-01 12:00:00,1727.0807
2015-08-01 12:15:00,1431.704
2015-08-01 12:30:00,1088.5671
2015-08-01 12:45:00,963.82855
2015-08-01 13:00:00,1093.5642
2015-08-01 13:15:00,612.2706
2015-08-01 13:30:00,587.5023
2015-08-01 13:45:00,903.4991
2015-08-01 14:00:00,927.1066
2015-08-01 14:15:00,826.89087
2015-08-01 14:30:00,847.10657
2015-08-01 14:45:00,1425.2263
2015-08-01 15:00:00,1153.0366
2015-08-01 15:15:00,880.40454
2015-08-01 15:30:00,879.797
2015-08-01 15:45:00,1026.8094
2015-08-01 16:00:00,1067.1565
2015-08-01 16:15:00,752.7771
2015-08-01 16:30:00,524.8132
2015-08-01 16:45:00,339.3649
2015-08-01 17:00:00,327.93832
2015-08-01 17:15:00,440.7837
2015-08-01 17:30:00,268.29892
2015-08-01 17:45:00,256.13605
2015-08-01 18:00:00,222.16617
2015-08-01 18:15:00,140.16449
2015-08-01 18:30:00,134.90988
2015-08-01 18:45:00,63.924377
2015-08-01 19:00:00,32.815155
2015-08-01 19:15:00,10.95582
2015-08-01 19:30:00,0.024140624
2015-08-01 19:45:00,0.0
2015-08-01 20:00:00,
2015-08-01 20:15:00,
2015-08-01 20:30:00,
2015-08-01 20:45:00,
2015-08-01 21:00:00,
2015-08-01 21:15:00,
2015-08-01 21:30:00,
2015-08-01 21:45:00,
2015-08-01 22:00:00,
2015-08-01 22:15:00,
2015-08-01 22:30:00,
2015-08-01 22:45:00,
2015-08-01 23:00:00,
2015-08-01 23:15:00,
2015-08-01 23:30:00,
2015-08-01 23:45:00,
2015-08-02 00:00:00,
2015-08-02 00:15:00,
2015-08-02 00:30:00,
2015-08-02 00:45:00,
2015-08-02 01:00:00,
2015-08-02 01:15:00,
2015-08-02 01:30:00,
2015-08-02 01:45:00,
2015-08-02 02:00:00,
2015-08-02 02:15:00,
2015-08-02 02:30:00,
2015-08-02 02:45:00,
2015-08-02 03:00:00,
2015-08-02 03:15:00,
2015-08-02 03:30:00,
2015-08-02 03:45:00,
2015-08-02 04:00:00,
2015-08-02 04:15:00,
2015-08-02 04:30:00,
2015-08-02 04:45:00,
2015-08-02 05:00:00,
2015-08-02 05:15:00,
2015-08-02 05:30:00,0.0
2015-08-02 05:45:00,36.108612
2015-08-02 06:00:00,50.16085
2015-08-02 06:15:00,146.45331
2015-08-02 06:30:00,219.52565
2015-08-02 06:45:00,112.077225
2015-08-02 07:00:00,41.534008
2015-08-02 07:15:00,24.613945
2015-08-02 07:30:00,27.578966
2015-08-02 07:45:00,19.120192
2015-08-02 08:00:00,24.484314
2015-08-02 08:15:00,82.190216
2015-08-02 08:30:00,226.25983
2015-08-02 08:45:00,689.8977
2015-08-02 09:00:00,811.8114
2015-08-02 09:15:00,1092.7234
2015-08-02 09:30:00,1521.188
2015-08-02 09:45:00,1538.4895
2015-08-02 10:00:00,1264.9069
2015-08-02 10:15:00,1441.7184
2015-08-02 10:30:00,860.2783
2015-08-02 10:45:00,1010.1484
2015-08-02 11:00:00,863.30194
2015-08-02 11:15:00,924.4512
2015-08-02 11:30:00,1676.3894
2015-08-02 11:45:00,1599.8193
2015-08-02 12:00:00,1675.2296
2015-08-02 12:15:00,1382.7107
2015-08-02 12:30:00,1927.8784
2015-08-02 12:45:00,1682.2515
2015-08-02 13:00:00,1488.2856
2015-08-02 13:15:00,1959.1465
2015-08-02 13:30:00,1992.0502
2015-08-02 13:45:00,1964.7653
2015-08-02 14:00:00,1764.0138
2015-08-02 14:15:00,1753.5085
2015-08-02 14:30:00,1181.579
2015-08-02 14:45:00,1119.956
2015-08-02 15:00:00,868.89355
2015-08-02 15:15:00,875.43164
2015-08-02 15:30:00,970.0266
2015-08-02 15:45:00,1277.8035
2015-08-02 16:00:00,1290.1917
2015-08-02 16:15:00,1426.9202
2015-08-02 16:30:00,1256.8132
2015-08-02 16:45:00,1093.3088
2015-08-02 17:00:00,969.9784
2015-08-02 17:15:00,801.41644
2015-08-02 17:30:00,651.133
2015-08-02 17:45:00,523.32043
2015-08-02 18:00:00,398.53757
2015-08-02 18:15:00,278.79605
2015-08-02 18:30:00,169.83734
2015-08-02 18:45:00,83.61508
2015-08-02 19:00:00,31.805273
2015-08-02 19:15:00,9.583828
2015-08-02 19:30:00,0.19714844
2015-08-02 19:45:00,0.0
2015-08-02 20:00:00,
2015-08-02 20:15:00,
2015-08-02 20:30:00,
2015-08-02 20:45:00,
2015-08-02 21:00:00,
2015-08-02 21:15:00,
2015-08-02 21:30:00,
2015-08-02 21:45:00,
2015-08-02 22:00:00,
2015-08-02 22:15:00,
2015-08-02 22:30:00,
2015-08-02 22:45:00,
2015-08-02 23:00:00,
2015-08-02 23:15:00,
2015-08-02 23:30:00,
2015-08-02 23:45:00,
2015-08-03 00:00:00,
2015-08-03 00:15:00,
2015-08-03 00:30:00,
2015-08-03 00:45:00,
2015-08-03 01:00:00,
2015-08-03 01:15:00,
2015-08-03 01:30:00,
2015-08-03 01:45:00,
2015-08-03 02:00:00,
2015-08-03 02:15:00,
2015-08-03 02:30:00,
2015-08-03 02:45:00,
2015-08-03 03:00:00,
2015-08-03 03:15:00,
2015-08-03 03:30:00,
2015-08-03 03:45:00,
2015-08-03 04:00:00,
2015-08-03 04:15:00,
2015-08-03 04:30:00,
2015-08-03 04:45:00,
2015-08-03 05:00:00,
2015-08-03 05:15:00,
2015-08-03 05:30:00,0.0
2015-08-03 05:45:00,5.5543094
2015-08-03 06:00:00,21.491629
2015-08-03 06:15:00,33.749054
2015-08-03 06:30:00,61.10814
2015-08-03 06:45:00,108.010895
2015-08-03 07:00:00,192.55905
2015-08-03 07:15:00,305.59116
2015-08-03 07:30:00,480.7586
2015-08-03 07:45:00,625.1531
2015-08-03 08:00:00,753.6223
2015-08-03 08:15:00,893.3369
2015-08-03 08:30:00,1002.87976
2015-08-03 08:45:00,1101.519
2015-08-03 09:00:00,1186.804
2015-08-03 09:15:00,1292.7164
2015-08-03 09:30:00,1400.8115
2015-08-03 09:45:00,1473.3718
2015-08-03 10:00:00,1563.4464
2015-08-03 10:15:00,1700.2524
2015-08-03 10:30:00,1774.0552
2015-08-03 10:45:00,1831.3572
2015-08-03 11:00:00,1876.1289
2015-08-03 11:15:00,1952.8518
2015-08-03 11:30:00,2008.5925
2015-08-03 11:45:00,2019.1682
2015-08-03 12:00:00,1739.7244
2015-08-03 12:15:00,2014.6477
2015-08-03 12:30:00,2150.7908
2015-08-03 12:45:00,1313.7147
2015-08-03 13:00:00,2268.1565
2015-08-03 13:15:00,1961.989
2015-08-03 13:30:00,1679.8374
2015-08-03 13:45:00,1775.6073
2015-08-03 14:00:00,1197.041
2015-08-03 14:15:00,2020.699
2015-08-03 14:30:00,1871.1963
2015-08-03 14:45:00,1012.9688
2015-08-03 15:00:00,1791.1096
2015-08-03 15:15:00,1688.3914
2015-08-03 15:30:00,1611.2579
2015-08-03 15:45:00,1534.1448
2015-08-03 16:00:00,1450.5498
2015-08-03 16:15:00,1341.2772
2015-08-03 16:30:00,1241.9587
2015-08-03 16:45:00,1123.8024
2015-08-03 17:00:00,831.7854
2015-08-03 17:15:00,629.1449
2015-08-03 17:30:00,731.60175
2015-08-03 17:45:00,631.3015
2015-08-03 18:00:00,197.60712
2015-08-03 18:15:00,332.06635
2015-08-03 18:30:00,205.69824
2015-08-03 18:45:00,104.46453
2015-08-03 19:00:00,38.242775
2015-08-03 19:15:00,11.953632
2015-08-03 19:30:00,0.51097655
2015-08-03 19:45:00,0.0
2015-08-03 20:00:00,
2015-08-03 20:15:00,
2015-08-03 20:30:00,
2015-08-03 20:45:00,
2015-08-03 21:00:00,
2015-08-03 21:15:00,
2015-08-03 21:30:00,
2015-08-03 21:45:00,
2015-08-03 22:00:00,
2015-08-03 22:15:00,
2015-08-03 22:30:00,
2015-08-03 22:45:00,
2015-08-03 23:00:00,
2015-08-03 23:15:00,
2015-08-03 23:30:00,
2015-08-03 23:45:00,
2015-08-04 00:00:00,
2015-08-04 00:15:00,
2015-08-04 00:30:00,
2015-08-04 00:45:00,
2015-08-04 01:00:00,
2015-08-04 01:15:00,
2015-08-04 01:30:00,
2015-08-04 01:45:00,
2015-08-04 02:00:00,
2015-08-04 02:15:00,
2015-08-04 02:30:00,
2015-08-04 02:45:00,
2015-08-04 03:00:00,
2015-08-04 03:15:00,
2015-08-04 03:30:00,
2015-08-04 03:45:00,
2015-08-04 04:00:00,
2015-08-04 04:15:00,
2015-08-04 04:30:00,
2015-08-04 04:45:00,
2015-08-04 05:00:00,
2015-08-04 05:15:00,
2015-08-04 05:30:00,0.0
2015-08-04 05:45:00,1.6397116
2015-08-04 06:00:00,13.883934
2015-08-04 06:15:00,26.426193
2015-08-04 06:30:00,56.27033
2015-08-04 06:45:00,106.782326
2015-08-04 07:00:00,192.9857
2015-08-04 07:15:00,308.04602
2015-08-04 07:30:00,493.03357
2015-08-04 07:45:00,641.1658
2015-08-04 08:00:00,773.07935
2015-08-04 08:15:00,921.2472
2015-08-04 08:30:00,1026.8596
2015-08-04 08:45:00,1120.1808
2015-08-04 09:00:00,1213.8163
2015-08-04 09:15:00,1324.3989
2015-08-04 09:30:00,1431.3485
2015-08-04 09:45:00,1546.9052
2015-08-04 10:00:00,1636.2426
2015-08-04 10:15:00,1725.3466
2015-08-04 10:30:00,1800.0698
2015-08-04 10:45:00,1830.6409
2015-08-04 11:00:00,1865.1409
2015-08-04 11:15:00,1924.4946
2015-08-04 11:30:00,1972.4601
2015-08-04 11:45:00,1994.2952
2015-08-04 12:00:00,2033.6687
2015-08-04 12:15:00,2028.5669
2015-08-04 12:30:00,2056.4211
2015-08-04 12:45:00,2064.8765
2015-08-04 13:00:00,2059.3442
2015-08-04 13:15:00,2027.3337
2015-08-04 13:30:00,2000.3003
2015-08-04 13:45:00,1975.2704
2015-08-04 14:00:00,1917.2886
2015-08-04 14:15:00,1884.4332
2015-08-04 14:30:00,1837.0815
2015-08-04 14:45:00,1744.3894
2015-08-04 15:00:00,1715.0425
2015-08-04 15:15:00,1561.484
2015-08-04 15:30:00,1068.987
2015-08-04 15:45:00,1171.8665
2015-08-04 16:00:00,1011.41174
2015-08-04 16:15:00,965.9187
2015-08-04 16:30:00,1196.345
2015-08-04 16:45:00,611.75964
2015-08-04 17:00:00,413.3881
2015-08-04 17:15:00,405.1682
2015-08-04 17:30:00,422.09076
2015-08-04 17:45:00,388.59164
2015-08-04 18:00:00,273.92368
2015-08-04 18:15:00,189.72118
2015-08-04 18:30:00,156.01685
2015-08-04 18:45:00,99.02887
2015-08-04 19:00:00,46.587383
2015-08-04 19:15:00,17.03121
2015-08-04 19:30:00,0.10863281
2015-08-04 19:45:00,0.0
2015-08-04 20:00:00,
2015-08-04 20:15:00,
2015-08-04 20:30:00,
2015-08-04 20:45:00,
2015-08-04 21:00:00,
2015-08-04 21:15:00,
2015-08-04 21:30:00,
