date,value
2020-01-01 00:00:00,
2020-01-01 00:15:00,
2020-01-01 00:30:00,
2020-01-01 00:45:00,
2020-01-01 01:00:00,
2020-01-01 01:15:00,
2020-01-01 01:30:00,
2020-01-01 01:45:00,
2020-01-01 02:00:00,
2020-01-01 02:15:00,
2020-01-01 02:30:00,
2020-01-01 02:45:00,
2020-01-01 03:00:00,
2020-01-01 03:15:00,
2020-01-01 03:30:00,
2020-01-01 03:45:00,
2020-01-01 04:00:00,
2020-01-01 04:15:00,
2020-01-01 04:30:00,
2020-01-01 04:45:00,
2020-01-01 05:00:00,
2020-01-01 05:15:00,
2020-01-01 05:30:00,
2020-01-01 05:45:00,0.0
2020-01-01 06:00:00,
2020-01-01 06:15:00,
2020-01-01 06:30:00,
2020-01-01 06:45:00,
2020-01-01 07:00:00,
2020-01-01 07:15:00,
2020-01-01 07:30:00,0.0
2020-01-01 07:45:00,0.0
2020-01-01 08:00:00,4.0
2020-01-01 08:15:00,10.0
2020-01-01 08:30:00,24.0
2020-01-01 08:45:00,60.0
2020-01-01 09:00:00,87.0
2020-01-01 09:15:00,114.0
2020-01-01 09:30:00,131.0
2020-01-01 09:45:00,164.0
2020-01-01 10:00:00,114.0
2020-01-01 10:15:00,196.0
2020-01-01 10:30:00,278.0
2020-01-01 10:45:00,238.0
2020-01-01 11:00:00,237.0
2020-01-01 11:15:00,296.0
2020-01-01 11:30:00,353.0
2020-01-01 11:45:00,344.0
2020-01-01 12:00:00,442.0
2020-01-01 12:15:00,524.0
2020-01-01 12:30:00,469.0
2020-01-01 12:45:00,611.0
2020-01-01 13:00:00,582.0
2020-01-01 13:15:00,961.0
2020-01-01 13:30:00,1405.0
2020-01-01 13:45:00,1014.0
2020-01-01 14:00:00,640.0
2020-01-01 14:15:00,571.0
2020-01-01 14:30:00,320.0
2020-01-01 14:45:00,186.0
2020-01-01 15:00:00,201.0
2020-01-01 15:15:00,290.0
2020-01-01 15:30:00,336.0
2020-01-01 15:45:00,378.0
2020-01-01 16:00:00,580.0
2020-01-01 16:15:00,247.0
2020-01-01 16:30:00,70.0
2020-01-01 16:45:00,51.0
2020-01-01 17:00:00,20.0
2020-01-01 17:15:00,0.0
2020-01-01 17:30:00,
2020-01-01 17:45:00,
2020-01-01 18:00:00,
2020-01-01 18:15:00,
2020-01-01 18:30:00,
2020-01-01 18:45:00,
2020-01-01 19:00:00,
2020-01-01 19:15:00,
2020-01-01 19:30:00,0.0
2020-01-01 19:45:00,
2020-01-01 20:00:00,
2020-01-01 20:15:00,
2020-01-01 20:30:00,
2020-01-01 20:45:00,
2020-01-01 21:00:00,
2020-01-01 21:15:00,
2020-01-01 21:30:00,
2020-01-01 21:45:00,
2020-01-01 22:00:00,
2020-01-01 22:15:00,
2020-01-01 22:30:00,
2020-01-01 22:45:00,
2020-01-01 23:00:00,
2020-01-01 23:15:00,
2020-01-01 23:30:00,
2020-01-01 23:45:00,
2020-01-02 00:00:00,
2020-01-02 00:15:00,
2020-01-02 00:30:00,
2020-01-02 00:45:00,
2020-01-02 01:00:00,
2020-01-02 01:15:00,
2020-01-02 01:30:00,
2020-01-02 01:45:00,
2020-01-02 02:00:00,
2020-01-02 02:15:00,
2020-01-02 02:30:00,
2020-01-02 02:45:00,
2020-01-02 03:00:00,
2020-01-02 03:15:00,
2020-01-02 03:30:00,
2020-01-02 03:45:00,
2020-01-02 04:00:00,
2020-01-02 04:15:00,
2020-01-02 04:30:00,
2020-01-02 04:45:00,
2020-01-02 05:00:00,
2020-01-02 05:15:00,
2020-01-02 05:30:00,0.0
2020-01-02 05:45:00,
2020-01-02 06:00:00,
2020-01-02 06:15:00,
2020-01-02 06:30:00,
2020-01-02 06:45:00,
2020-01-02 07:00:00,
2020-01-02 07:15:00,
2020-01-02 07:30:00,
2020-01-02 07:45:00,0.0
2020-01-02 08:00:00,4.0
2020-01-02 08:15:00,13.0
2020-01-02 08:30:00,133.0
2020-01-02 08:45:00,261.0
2020-01-02 09:00:00,369.0
2020-01-02 09:15:00,687.0
2020-01-02 09:30:00,963.0
2020-01-02 09:45:00,1131.0
2020-01-02 10:00:00,1211.0
2020-01-02 10:15:00,1219.0
2020-01-02 10:30:00,1289.0
2020-01-02 10:45:00,1350.0
2020-01-02 11:00:00,1414.0
2020-01-02 11:15:00,1443.0
2020-01-02 11:30:00,1465.0
2020-01-02 11:45:00,1460.0
2020-01-02 12:00:00,1452.0
2020-01-02 12:15:00,1439.0
2020-01-02 12:30:00,1424.0
2020-01-02 12:45:00,1400.0
2020-01-02 13:00:00,1372.0
2020-01-02 13:15:00,1338.0
2020-01-02 13:30:00,1271.0
2020-01-02 13:45:00,1231.0
2020-01-02 14:00:00,1158.0
2020-01-02 14:15:00,1100.0
2020-01-02 14:30:00,1028.0
2020-01-02 14:45:00,957.0
2020-01-02 15:00:00,876.0
2020-01-02 15:15:00,791.0
2020-01-02 15:30:00,708.0
2020-01-02 15:45:00,627.0
2020-01-02 16:00:00,538.0
2020-01-02 16:15:00,443.0
2020-01-02 16:30:00,341.0
2020-01-02 16:45:00,236.0
2020-01-02 17:00:00,84.0
2020-01-02 17:15:00,2.0
2020-01-02 17:30:00,
2020-01-02 17:45:00,
2020-01-02 18:00:00,
2020-01-02 18:15:00,
2020-01-02 18:30:00,
2020-01-02 18:45:00,
2020-01-02 19:00:00,
2020-01-02 19:15:00,
2020-01-02 19:30:00,
2020-01-02 19:45:00,0.0
2020-01-02 20:00:00,
2020-01-02 20:15:00,
2020-01-02 20:30:00,
2020-01-02 20:45:00,
2020-01-02 21:00:00,
2020-01-02 21:15:00,
2020-01-02 21:30:00,
2020-01-02 21:45:00,
2020-01-02 22:00:00,
2020-01-02 22:15:00,
2020-01-02 22:30:00,
2020-01-02 22:45:00,
2020-01-02 23:00:00,
2020-01-02 23:15:00,
2020-01-02 23:30:00,
2020-01-02 23:45:00,
2020-01-03 00:00:00,
2020-01-03 00:15:00,
2020-01-03 00:30:00,
2020-01-03 00:45:00,
2020-01-03 01:00:00,
2020-01-03 01:15:00,
2020-01-03 01:30:00,
2020-01-03 01:45:00,
2020-01-03 02:00:00,
2020-01-03 02:15:00,
2020-01-03 02:30:00,
2020-01-03 02:45:00,
2020-01-03 03:00:00,
2020-01-03 03:15:00,
2020-01-03 03:30:00,
2020-01-03 03:45:00,
2020-01-03 04:00:00,
2020-01-03 04:15:00,
2020-01-03 04:30:00,
2020-01-03 04:45:00,
2020-01-03 05:00:00,
2020-01-03 05:15:00,
2020-01-03 05:30:00,
2020-01-03 05:45:00,0.0
2020-01-03 06:00:00,
2020-01-03 06:15:00,
2020-01-03 06:30:00,
2020-01-03 06:45:00,
2020-01-03 07:00:00,
2020-01-03 07:15:00,
2020-01-03 07:30:00,0.0
2020-01-03 07:45:00,1.0
2020-01-03 08:00:00,11.0
2020-01-03 08:15:00,33.0
2020-01-03 08:30:00,287.0
2020-01-03 08:45:00,652.0
2020-01-03 09:00:00,792.0
2020-01-03 09:15:00,886.0
2020-01-03 09:30:00,834.0
2020-01-03 09:45:00,1126.0
2020-01-03 10:00:00,801.0
2020-01-03 10:15:00,1176.0
