date,value
2017-10-01 00:00:00,
2017-10-01 00:15:00,
2017-10-01 00:30:00,
2017-10-01 00:45:00,
2017-10-01 01:00:00,
2017-10-01 01:15:00,
2017-10-01 01:30:00,
2017-10-01 01:45:00,
2017-10-01 02:00:00,
2017-10-01 02:15:00,
2017-10-01 02:30:00,
2017-10-01 02:45:00,
2017-10-01 03:00:00,
2017-10-01 03:15:00,
2017-10-01 03:30:00,
2017-10-01 03:45:00,
2017-10-01 04:00:00,
2017-10-01 04:15:00,
2017-10-01 04:30:00,
2017-10-01 04:45:00,
2017-10-01 05:00:00,
2017-10-01 05:15:00,
2017-10-01 05:30:00,
2017-10-01 05:45:00,
2017-10-01 06:00:00,
2017-10-01 06:15:00,
2017-10-01 06:30:00,
2017-10-01 06:45:00,
2017-10-01 07:00:00,0.0
2017-10-01 07:15:00,10.355619
2017-10-01 07:30:00,26.123764
2017-10-01 07:45:00,37.436623
2017-10-01 08:00:00,45.968708
2017-10-01 08:15:00,50.55127
2017-10-01 08:30:00,64.74471
2017-10-01 08:45:00,97.76289
2017-10-01 09:00:00,154.68433
2017-10-01 09:15:00,221.69743
2017-10-01 09:30:00,308.80914
2017-10-01 09:45:00,397.04413
2017-10-01 10:00:00,494.5261
2017-10-01 10:15:00,586.8447
2017-10-01 10:30:00,662.6941
2017-10-01 10:45:00,733.75757
2017-10-01 11:00:00,810.3616
2017-10-01 11:15:00,888.77026
2017-10-01 11:30:00,951.3584
2017-10-01 11:45:00,993.4038
2017-10-01 12:00:00,985.7281
2017-10-01 12:15:00,1028.3604
2017-10-01 12:30:00,1060.3779
2017-10-01 12:45:00,1128.5269
2017-10-01 13:00:00,1192.8848
2017-10-01 13:15:00,1216.2117
2017-10-01 13:30:00,1261.1425
2017-10-01 13:45:00,1272.4423
2017-10-01 14:00:00,1242.3751
2017-10-01 14:15:00,1273.6875
2017-10-01 14:30:00,1263.8743
2017-10-01 14:45:00,1243.6505
2017-10-01 15:00:00,1215.2772
2017-10-01 15:15:00,1207.8077
2017-10-01 15:30:00,1175.1697
2017-10-01 15:45:00,1150.4797
2017-10-01 16:00:00,1099.7704
2017-10-01 16:15:00,1030.5693
2017-10-01 16:30:00,990.57227
2017-10-01 16:45:00,922.96045
2017-10-01 17:00:00,842.01697
2017-10-01 17:15:00,712.48035
2017-10-01 17:30:00,568.10333
2017-10-01 17:45:00,322.45435
2017-10-01 18:00:00,88.21185
2017-10-01 18:15:00,36.63943
2017-10-01 18:30:00,20.0508
2017-10-01 18:45:00,2.9129686
2017-10-01 19:00:00,0.0
2017-10-01 19:15:00,
2017-10-01 19:30:00,
2017-10-01 19:45:00,
2017-10-01 20:00:00,
2017-10-01 20:15:00,
2017-10-01 20:30:00,
2017-10-01 20:45:00,
2017-10-01 21:00:00,
2017-10-01 21:15:00,
2017-10-01 21:30:00,
2017-10-01 21:45:00,
2017-10-01 22:00:00,
2017-10-01 22:15:00,
2017-10-01 22:30:00,
2017-10-01 22:45:00,
2017-10-01 23:00:00,
2017-10-01 23:15:00,
2017-10-01 23:30:00,
2017-10-01 23:45:00,
2017-10-02 00:00:00,
2017-10-02 00:15:00,
2017-10-02 00:30:00,
2017-10-02 00:45:00,
2017-10-02 01:00:00,
2017-10-02 01:15:00,
2017-10-02 01:30:00,
2017-10-02 01:45:00,
2017-10-02 02:00:00,
2017-10-02 02:15:00,
2017-10-02 02:30:00,
2017-10-02 02:45:00,
2017-10-02 03:00:00,
2017-10-02 03:15:00,
2017-10-02 03:30:00,
2017-10-02 03:45:00,
2017-10-02 04:00:00,
2017-10-02 04:15:00,
2017-10-02 04:30:00,
2017-10-02 04:45:00,
2017-10-02 05:00:00,
2017-10-02 05:15:00,
2017-10-02 05:30:00,
2017-10-02 05:45:00,
2017-10-02 06:00:00,
2017-10-02 06:15:00,
2017-10-02 06:30:00,
2017-10-02 06:45:00,
2017-10-02 07:00:00,0.004577778
