date,value
2019-08-01 00:00:00,
2019-08-01 00:15:00,
2019-08-01 00:30:00,
2019-08-01 00:45:00,
2019-08-01 01:00:00,
2019-08-01 01:15:00,
2019-08-01 01:30:00,
2019-08-01 01:45:00,
2019-08-01 02:00:00,
2019-08-01 02:15:00,
2019-08-01 02:30:00,
2019-08-01 02:45:00,
2019-08-01 03:00:00,
2019-08-01 03:15:00,
2019-08-01 03:30:00,
2019-08-01 03:45:00,
2019-08-01 04:00:00,
2019-08-01 04:15:00,
2019-08-01 04:30:00,
2019-08-01 04:45:00,
2019-08-01 05:00:00,
2019-08-01 05:15:00,
2019-08-01 05:30:00,0.0
2019-08-01 05:45:00,19.0
2019-08-01 06:00:00,75.0
2019-08-01 06:15:00,149.0
2019-08-01 06:30:00,164.0
2019-08-01 06:45:00,197.0
2019-08-01 07:00:00,287.0
2019-08-01 07:15:00,400.0
2019-08-01 07:30:00,517.0
2019-08-01 07:45:00,660.0
2019-08-01 08:00:00,790.0
2019-08-01 08:15:00,914.0
2019-08-01 08:30:00,1041.0
2019-08-01 08:45:00,1146.0
2019-08-01 09:00:00,1246.0
2019-08-01 09:15:00,1339.0
2019-08-01 09:30:00,1427.0
2019-08-01 09:45:00,1499.0
2019-08-01 10:00:00,1576.0
2019-08-01 10:15:00,1642.0
2019-08-01 10:30:00,1696.0
2019-08-01 10:45:00,1746.0
2019-08-01 11:00:00,1779.0
2019-08-01 11:15:00,1812.0
2019-08-01 11:30:00,1854.0
2019-08-01 11:45:00,1874.0
2019-08-01 12:00:00,1881.0
2019-08-01 12:15:00,1892.0
2019-08-01 12:30:00,1898.0
2019-08-01 12:45:00,1916.0
2019-08-01 13:00:00,1896.0
2019-08-01 13:15:00,1896.0
2019-08-01 13:30:00,1897.0
2019-08-01 13:45:00,1871.0
2019-08-01 14:00:00,1858.0
2019-08-01 14:15:00,1830.0
2019-08-01 14:30:00,1808.0
2019-08-01 14:45:00,1753.0
2019-08-01 15:00:00,1725.0
2019-08-01 15:15:00,1658.0
2019-08-01 15:30:00,1615.0
2019-08-01 15:45:00,1555.0
2019-08-01 16:00:00,1526.0
2019-08-01 16:15:00,1440.0
2019-08-01 16:30:00,939.0
2019-08-01 16:45:00,424.0
2019-08-01 17:00:00,626.0
2019-08-01 17:15:00,802.0
2019-08-01 17:30:00,548.0
2019-08-01 17:45:00,120.0
2019-08-01 18:00:00,171.0
2019-08-01 18:15:00,157.0
2019-08-01 18:30:00,69.0
2019-08-01 18:45:00,33.0
2019-08-01 19:00:00,11.0
2019-08-01 19:15:00,1.0
2019-08-01 19:30:00,0.0
2019-08-01 19:45:00,
2019-08-01 20:00:00,
2019-08-01 20:15:00,
2019-08-01 20:30:00,
2019-08-01 20:45:00,
2019-08-01 21:00:00,
2019-08-01 21:15:00,0.0
2019-08-01 21:30:00,
2019-08-01 21:45:00,
2019-08-01 22:00:00,
2019-08-01 22:15:00,
2019-08-01 22:30:00,
2019-08-01 22:45:00,
2019-08-01 23:00:00,
2019-08-01 23:15:00,
2019-08-01 23:30:00,
2019-08-01 23:45:00,
2019-08-02 00:00:00,
2019-08-02 00:15:00,
2019-08-02 00:30:00,
2019-08-02 00:45:00,
2019-08-02 01:00:00,
2019-08-02 01:15:00,
2019-08-02 01:30:00,
2019-08-02 01:45:00,
2019-08-02 02:00:00,
2019-08-02 02:15:00,
2019-08-02 02:30:00,
2019-08-02 02:45:00,
2019-08-02 03:00:00,
2019-08-02 03:15:00,
2019-08-02 03:30:00,
2019-08-02 03:45:00,
2019-08-02 04:00:00,
2019-08-02 04:15:00,
2019-08-02 04:30:00,
2019-08-02 04:45:00,
2019-08-02 05:00:00,
2019-08-02 05:15:00,
2019-08-02 05:30:00,0.0
2019-08-02 05:45:00,3.0
2019-08-02 06:00:00,18.0
2019-08-02 06:15:00,43.0
2019-08-02 06:30:00,100.0
2019-08-02 06:45:00,185.0
2019-08-02 07:00:00,234.0
2019-08-02 07:15:00,313.0
2019-08-02 07:30:00,517.0
2019-08-02 07:45:00,650.0
2019-08-02 08:00:00,789.0
2019-08-02 08:15:00,914.0
2019-08-02 08:30:00,1028.0
2019-08-02 08:45:00,1131.0
2019-08-02 09:00:00,1226.0
2019-08-02 09:15:00,1312.0
2019-08-02 09:30:00,1395.0
2019-08-02 09:45:00,1474.0
2019-08-02 10:00:00,1543.0
2019-08-02 10:15:00,1599.0
2019-08-02 10:30:00,1658.0
2019-08-02 10:45:00,1691.0
2019-08-02 11:00:00,1761.0
2019-08-02 11:15:00,1806.0
2019-08-02 11:30:00,1852.0
2019-08-02 11:45:00,1766.0
2019-08-02 12:00:00,1876.0
2019-08-02 12:15:00,1904.0
2019-08-02 12:30:00,1902.0
2019-08-02 12:45:00,1827.0
2019-08-02 13:00:00,1949.0
2019-08-02 13:15:00,2008.0
2019-08-02 13:30:00,1954.0
2019-08-02 13:45:00,1931.0
2019-08-02 14:00:00,1899.0
2019-08-02 14:15:00,1860.0
2019-08-02 14:30:00,1860.0
2019-08-02 14:45:00,1831.0
2019-08-02 15:00:00,708.0
2019-08-02 15:15:00,1730.0
2019-08-02 15:30:00,1727.0
2019-08-02 15:45:00,1480.0
2019-08-02 16:00:00,1305.0
2019-08-02 16:15:00,561.0
2019-08-02 16:30:00,189.0
2019-08-02 16:45:00,97.0
2019-08-02 17:00:00,4.0
2019-08-02 17:15:00,0.0
2019-08-02 17:30:00,0.0
2019-08-02 17:45:00,
2019-08-02 18:00:00,0.0
2019-08-02 18:15:00,0.0
2019-08-02 18:30:00,0.0
2019-08-02 18:45:00,0.0
2019-08-02 19:00:00,0.0
2019-08-02 19:15:00,
2019-08-02 19:30:00,
2019-08-02 19:45:00,
2019-08-02 20:00:00,
2019-08-02 20:15:00,
2019-08-02 20:30:00,
2019-08-02 20:45:00,
2019-08-02 21:00:00,
2019-08-02 21:15:00,
2019-08-02 21:30:00,
2019-08-02 21:45:00,
2019-08-02 22:00:00,
2019-08-02 22:15:00,
2019-08-02 22:30:00,
2019-08-02 22:45:00,
2019-08-02 23:00:00,
2019-08-02 23:15:00,
2019-08-02 23:30:00,
2019-08-02 23:45:00,
2019-08-03 00:00:00,
2019-08-03 00:15:00,
2019-08-03 00:30:00,
2019-08-03 00:45:00,
2019-08-03 01:00:00,
2019-08-03 01:15:00,
2019-08-03 01:30:00,
2019-08-03 01:45:00,
2019-08-03 02:00:00,
2019-08-03 02:15:00,
2019-08-03 02:30:00,
2019-08-03 02:45:00,
2019-08-03 03:00:00,
2019-08-03 03:15:00,
2019-08-03 03:30:00,
2019-08-03 03:45:00,
2019-08-03 04:00:00,0.0
2019-08-03 04:15:00,
2019-08-03 04:30:00,
2019-08-03 04:45:00,
2019-08-03 05:00:00,
2019-08-03 05:15:00,
2019-08-03 05:30:00,0.0
2019-08-03 05:45:00,10.0
2019-08-03 06:00:00,40.0
2019-08-03 06:15:00,75.0
2019-08-03 06:30:00,108.0
2019-08-03 06:45:00,157.0
2019-08-03 07:00:00,215.0
2019-08-03 07:15:00,436.0
2019-08-03 07:30:00,539.0
2019-08-03 07:45:00,627.0
2019-08-03 08:00:00,657.0
2019-08-03 08:15:00,820.0
2019-08-03 08:30:00,978.0
2019-08-03 08:45:00,1108.0
2019-08-03 09:00:00,1237.0
2019-08-03 09:15:00,1290.0
2019-08-03 09:30:00,1439.0
2019-08-03 09:45:00,1485.0
2019-08-03 10:00:00,1595.0
2019-08-03 10:15:00,1572.0
2019-08-03 10:30:00,1608.0
2019-08-03 10:45:00,1647.0
2019-08-03 11:00:00,1773.0
2019-08-03 11:15:00,1809.0
2019-08-03 11:30:00,1563.0
2019-08-03 11:45:00,1767.0
2019-08-03 12:00:00,1835.0
2019-08-03 12:15:00,1885.0
2019-08-03 12:30:00,1890.0
2019-08-03 12:45:00,1900.0
2019-08-03 13:00:00,1860.0
2019-08-03 13:15:00,1888.0
2019-08-03 13:30:00,1573.0
2019-08-03 13:45:00,1787.0
2019-08-03 14:00:00,1868.0
2019-08-03 14:15:00,1840.0
2019-08-03 14:30:00,1634.0
2019-08-03 14:45:00,1220.0
2019-08-03 15:00:00,246.0
2019-08-03 15:15:00,167.0
2019-08-03 15:30:00,251.0
2019-08-03 15:45:00,563.0
2019-08-03 16:00:00,668.0
2019-08-03 16:15:00,337.0
2019-08-03 16:30:00,163.0
2019-08-03 16:45:00,91.0
2019-08-03 17:00:00,124.0
2019-08-03 17:15:00,389.0
2019-08-03 17:30:00,892.0
2019-08-03 17:45:00,406.0
2019-08-03 18:00:00,237.0
2019-08-03 18:15:00,163.0
2019-08-03 18:30:00,74.0
2019-08-03 18:45:00,20.0
2019-08-03 19:00:00,0.0
2019-08-03 19:15:00,0.0
2019-08-03 19:30:00,
2019-08-03 19:45:00,
2019-08-03 20:00:00,
2019-08-03 20:15:00,
2019-08-03 20:30:00,
2019-08-03 20:45:00,
2019-08-03 21:00:00,0.0
2019-08-03 21:15:00,
2019-08-03 21:30:00,
2019-08-03 21:45:00,
2019-08-03 22:00:00,
2019-08-03 22:15:00,
2019-08-03 22:30:00,
2019-08-03 22:45:00,
2019-08-03 23:00:00,
2019-08-03 23:15:00,
2019-08-03 23:30:00,
2019-08-03 23:45:00,
2019-08-04 00:00:00,
2019-08-04 00:15:00,
2019-08-04 00:30:00,
2019-08-04 00:45:00,
2019-08-04 01:00:00,
2019-08-04 01:15:00,
2019-08-04 01:30:00,
2019-08-04 01:45:00,
2019-08-04 02:00:00,
2019-08-04 02:15:00,
2019-08-04 02:30:00,
2019-08-04 02:45:00,
2019-08-04 03:00:00,
2019-08-04 03:15:00,
2019-08-04 03:30:00,
2019-08-04 03:45:00,
2019-08-04 04:00:00,
2019-08-04 04:15:00,
2019-08-04 04:30:00,
2019-08-04 04:45:00,
2019-08-04 05:00:00,
2019-08-04 05:15:00,
2019-08-04 05:30:00,0.0
2019-08-04 05:45:00,2.0
2019-08-04 06:00:00,27.0
2019-08-04 06:15:00,61.0
2019-08-04 06:30:00,111.0
2019-08-04 06:45:00,186.0
2019-08-04 07:00:00,267.0
2019-08-04 07:15:00,388.0
2019-08-04 07:30:00,662.0
2019-08-04 07:45:00,855.0
2019-08-04 08:00:00,682.0
2019-08-04 08:15:00,830.0
2019-08-04 08:30:00,893.0
2019-08-04 08:45:00,980.0
2019-08-04 09:00:00,798.0
2019-08-04 09:15:00,902.0
2019-08-04 09:30:00,1112.0
2019-08-04 09:45:00,1412.0
2019-08-04 10:00:00,1596.0
2019-08-04 10:15:00,1656.0
2019-08-04 10:30:00,1682.0
2019-08-04 10:45:00,1731.0
2019-08-04 11:00:00,1764.0
2019-08-04 11:15:00,1760.0
2019-08-04 11:30:00,1793.0
2019-08-04 11:45:00,1839.0
2019-08-04 12:00:00,1928.0
2019-08-04 12:15:00,1856.0
2019-08-04 12:30:00,1882.0
2019-08-04 12:45:00,1798.0
2019-08-04 13:00:00,1845.0
2019-08-04 13:15:00,1832.0
2019-08-04 13:30:00,1875.0
2019-08-04 13:45:00,1835.0
2019-08-04 14:00:00,1787.0
2019-08-04 14:15:00,1785.0
2019-08-04 14:30:00,1748.0
2019-08-04 14:45:00,1705.0
2019-08-04 15:00:00,1650.0
2019-08-04 15:15:00,1618.0
2019-08-04 15:30:00,1589.0
2019-08-04 15:45:00,782.0
2019-08-04 16:00:00,393.0
2019-08-04 16:15:00,858.0
2019-08-04 16:30:00,650.0
2019-08-04 16:45:00,261.0
2019-08-04 17:00:00,263.0
2019-08-04 17:15:00,721.0
2019-08-04 17:30:00,497.0
2019-08-04 17:45:00,427.0
2019-08-04 18:00:00,492.0
2019-08-04 18:15:00,442.0
2019-08-04 18:30:00,276.0
2019-08-04 18:45:00,94.0
2019-08-04 19:00:00,34.0
2019-08-04 19:15:00,4.0
