date,value
2019-08-01 00:00:00,0.0
2019-08-01 00:15:00,0.0
2019-08-01 00:30:00,0.0
2019-08-01 00:45:00,0.0
2019-08-01 01:00:00,0.0
2019-08-01 01:15:00,0.0
2019-08-01 01:30:00,0.0
2019-08-01 01:45:00,0.0
2019-08-01 02:00:00,0.0
2019-08-01 02:15:00,0.0
2019-08-01 02:30:00,0.0
2019-08-01 02:45:00,0.0
2019-08-01 03:00:00,0.0
2019-08-01 03:15:00,0.0
2019-08-01 03:30:00,0.0
2019-08-01 03:45:00,0.0
2019-08-01 04:00:00,0.0
2019-08-01 04:15:00,0.0
2019-08-01 04:30:00,0.0
2019-08-01 04:45:00,0.0
2019-08-01 05:00:00,0.0
2019-08-01 05:15:00,0.0
2019-08-01 05:30:00,0.0
2019-08-01 05:45:00,27.0
2019-08-01 06:00:00,107.0
2019-08-01 06:15:00,206.0
2019-08-01 06:30:00,296.0
2019-08-01 06:45:00,424.0
2019-08-01 07:00:00,618.0
2019-08-01 07:15:00,947.0
2019-08-01 07:30:00,1470.0
2019-08-01 07:45:00,2040.0
2019-08-01 08:00:00,2684.0
2019-08-01 08:15:00,3231.0
2019-08-01 08:30:00,3686.0
2019-08-01 08:45:00,4126.0
2019-08-01 09:00:00,4535.0
2019-08-01 09:15:00,4881.0
2019-08-01 09:30:00,5168.0
2019-08-01 09:45:00,5425.0
2019-08-01 10:00:00,5684.0
2019-08-01 10:15:00,5896.0
2019-08-01 10:30:00,6094.0
2019-08-01 10:45:00,6230.0
2019-08-01 11:00:00,6411.0
2019-08-01 11:15:00,6572.0
2019-08-01 11:30:00,6667.0
2019-08-01 11:45:00,6712.0
2019-08-01 12:00:00,6760.0
2019-08-01 12:15:00,6767.0
2019-08-01 12:30:00,6782.0
2019-08-01 12:45:00,6753.0
2019-08-01 13:00:00,6680.0
2019-08-01 13:15:00,6639.0
2019-08-01 13:30:00,6482.0
2019-08-01 13:45:00,6122.0
2019-08-01 14:00:00,6009.0
2019-08-01 14:15:00,5708.0
2019-08-01 14:30:00,5421.0
2019-08-01 14:45:00,4988.0
2019-08-01 15:00:00,4666.0
2019-08-01 15:15:00,4327.0
2019-08-01 15:30:00,3838.0
2019-08-01 15:45:00,2876.0
2019-08-01 16:00:00,2755.0
2019-08-01 16:15:00,2759.0
2019-08-01 16:30:00,2243.0
2019-08-01 16:45:00,1727.0
2019-08-01 17:00:00,1234.0
2019-08-01 17:15:00,815.0
2019-08-01 17:30:00,481.0
2019-08-01 17:45:00,408.0
2019-08-01 18:00:00,382.0
2019-08-01 18:15:00,332.0
2019-08-01 18:30:00,267.0
2019-08-01 18:45:00,213.0
2019-08-01 19:00:00,138.0
2019-08-01 19:15:00,61.0
2019-08-01 19:30:00,0.0
2019-08-01 19:45:00,0.0
2019-08-01 20:00:00,0.0
2019-08-01 20:15:00,0.0
2019-08-01 20:30:00,0.0
2019-08-01 20:45:00,0.0
2019-08-01 21:00:00,0.0
2019-08-01 21:15:00,0.0
2019-08-01 21:30:00,0.0
2019-08-01 21:45:00,0.0
2019-08-01 22:00:00,0.0
2019-08-01 22:15:00,0.0
2019-08-01 22:30:00,0.0
2019-08-01 22:45:00,0.0
2019-08-01 23:00:00,0.0
2019-08-01 23:15:00,0.0
2019-08-01 23:30:00,0.0
2019-08-01 23:45:00,0.0
2019-08-02 00:00:00,0.0
2019-08-02 00:15:00,0.0
2019-08-02 00:30:00,0.0
2019-08-02 00:45:00,0.0
2019-08-02 01:00:00,0.0
2019-08-02 01:15:00,0.0
2019-08-02 01:30:00,0.0
2019-08-02 01:45:00,0.0
2019-08-02 02:00:00,0.0
2019-08-02 02:15:00,0.0
2019-08-02 02:30:00,0.0
2019-08-02 02:45:00,0.0
2019-08-02 03:00:00,0.0
2019-08-02 03:15:00,0.0
2019-08-02 03:30:00,0.0
2019-08-02 03:45:00,0.0
2019-08-02 04:00:00,0.0
2019-08-02 04:15:00,0.0
2019-08-02 04:30:00,0.0
2019-08-02 04:45:00,0.0
2019-08-02 05:00:00,0.0
2019-08-02 05:15:00,0.0
2019-08-02 05:30:00,0.0
2019-08-02 05:45:00,19.0
2019-08-02 06:00:00,94.0
