date,value
2018-07-01 00:00:00,
2018-07-01 00:15:00,
2018-07-01 00:30:00,
2018-07-01 00:45:00,
2018-07-01 01:00:00,
2018-07-01 01:15:00,
2018-07-01 01:30:00,
2018-07-01 01:45:00,
2018-07-01 02:00:00,
2018-07-01 02:15:00,
2018-07-01 02:30:00,
2018-07-01 02:45:00,
2018-07-01 03:00:00,
2018-07-01 03:15:00,
2018-07-01 03:30:00,
2018-07-01 03:45:00,
2018-07-01 04:00:00,
2018-07-01 04:15:00,
2018-07-01 04:30:00,
2018-07-01 04:45:00,
2018-07-01 05:00:00,
2018-07-01 05:15:00,5.3999586
2018-07-01 05:30:00,89.81511
2018-07-01 05:45:00,223.00836
2018-07-01 06:00:00,339.50635
2018-07-01 06:15:00,534.23553
2018-07-01 06:30:00,1006.4535
2018-07-01 06:45:00,1707.8745
2018-07-01 07:00:00,2574.4326
2018-07-01 07:15:00,3555.2493
2018-07-01 07:30:00,4594.878
2018-07-01 07:45:00,5599.548
2018-07-01 08:00:00,6579.4473
2018-07-01 08:15:00,7473.5073
2018-07-01 08:30:00,8315.704
2018-07-01 08:45:00,9152.979
2018-07-01 09:00:00,9936.552
2018-07-01 09:15:00,10589.027
2018-07-01 09:30:00,11223.986
2018-07-01 09:45:00,11801.225
2018-07-01 10:00:00,12408.645
2018-07-01 10:15:00,12912.515
2018-07-01 10:30:00,13258.159
2018-07-01 10:45:00,13616.034
2018-07-01 11:00:00,13892.054
2018-07-01 11:15:00,14099.025
2018-07-01 11:30:00,14373.905
2018-07-01 11:45:00,14531.334
2018-07-01 12:00:00,14765.701
2018-07-01 12:15:00,14848.557
2018-07-01 12:30:00,14935.546
2018-07-01 12:45:00,14964.434
2018-07-01 13:00:00,14905.749
2018-07-01 13:15:00,14629.643
2018-07-01 13:30:00,14609.968
2018-07-01 13:45:00,14423.462
2018-07-01 14:00:00,13999.125
2018-07-01 14:15:00,13731.656
2018-07-01 14:30:00,13324.857
2018-07-01 14:45:00,12845.695
2018-07-01 15:00:00,12363.887
2018-07-01 15:15:00,11883.284
2018-07-01 15:30:00,11275.656
2018-07-01 15:45:00,10483.547
2018-07-01 16:00:00,9842.297
2018-07-01 16:15:00,9056.328
2018-07-01 16:30:00,8274.288
2018-07-01 16:45:00,7435.8506
2018-07-01 17:00:00,6499.8066
2018-07-01 17:15:00,4679.0024
2018-07-01 17:30:00,3908.8782
2018-07-01 17:45:00,3434.122
2018-07-01 18:00:00,2448.5574
2018-07-01 18:15:00,1697.6953
2018-07-01 18:30:00,1064.1869
2018-07-01 18:45:00,593.0109
2018-07-01 19:00:00,365.26202
2018-07-01 19:15:00,239.51703
2018-07-01 19:30:00,103.2475
2018-07-01 19:45:00,17.027813
2018-07-01 20:00:00,0.0
2018-07-01 20:15:00,
2018-07-01 20:30:00,
2018-07-01 20:45:00,
2018-07-01 21:00:00,
2018-07-01 21:15:00,
2018-07-01 21:30:00,
2018-07-01 21:45:00,
2018-07-01 22:00:00,0.0
2018-07-01 22:15:00,
2018-07-01 22:30:00,
2018-07-01 22:45:00,
2018-07-01 23:00:00,
2018-07-01 23:15:00,
2018-07-01 23:30:00,
2018-07-01 23:45:00,
2018-07-02 00:00:00,
2018-07-02 00:15:00,
2018-07-02 00:30:00,
2018-07-02 00:45:00,
2018-07-02 01:00:00,
2018-07-02 01:15:00,
2018-07-02 01:30:00,
2018-07-02 01:45:00,
2018-07-02 02:00:00,
2018-07-02 02:15:00,
2018-07-02 02:30:00,
2018-07-02 02:45:00,
2018-07-02 03:00:00,
2018-07-02 03:15:00,
2018-07-02 03:30:00,
2018-07-02 03:45:00,
2018-07-02 04:00:00,
2018-07-02 04:15:00,
2018-07-02 04:30:00,
2018-07-02 04:45:00,
2018-07-02 05:00:00,
2018-07-02 05:15:00,5.653686
2018-07-02 05:30:00,93.284134
2018-07-02 05:45:00,230.6769
2018-07-02 06:00:00,351.8293
2018-07-02 06:15:00,541.5337
2018-07-02 06:30:00,997.50183
2018-07-02 06:45:00,1686.63
2018-07-02 07:00:00,2558.0476
2018-07-02 07:15:00,3542.0627
2018-07-02 07:30:00,4580.6045
2018-07-02 07:45:00,5555.293
2018-07-02 08:00:00,6506.856
2018-07-02 08:15:00,7428.7627
2018-07-02 08:30:00,8268.413
2018-07-02 08:45:00,9068.108
2018-07-02 09:00:00,9809.302
2018-07-02 09:15:00,10465.661
